"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570544002-1-macsec-aesgcm-e-1464-1500-dstat.csv",,,,"Date:","08 Oct 2019 16:25:23 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.478,1.615,95.611,0.296,0,398272.552,5991575.459,0,0,0,0,15343.317,16787.553
0.498,0.249,99.254,0,0,0,0,0,0,0,0,179,109
0,0,100,0,0,0,0,0,0,0,0,56,44
0,0.250,99.750,0,0,0,294912,0,0,0,0,101,49
0,0,100,0,0,0,0,0,0,0,0,52,30
4.762,3.759,91.479,0,0,0,65536,88231163,1541112,0,0,15316,28817
6.750,5.500,87.750,0,0,0,0,122454024,2118516,0,0,20589,40129
6.767,5.263,87.970,0,0,0,0,122454024,2118516,0,0,20581,40117
6.015,5.764,88.221,0,0,0,102400,122454151,2118626,0,0,20614,40159
6.500,5.750,87.750,0,0,0,0,122452506,2121781,0,0,20848,39575
6.297,5.290,88.413,0,0,0,12288,122454171,2118516,0,0,20591,40132
7.018,4.762,88.221,0,0,0,0,122454024,2118516,0,0,20581,40118
5.063,4.557,90.380,0,0,0,0,122454024,967356,0,0,8780,16796
3.599,3.599,92.802,0,0,0,0,122457060,543886,0,0,4399,8121
3.061,3.316,93.622,0,0,0,0,122450988,551942,0,0,4350,8089
3.797,3.038,93.165,0,0,0,12288,122455542,557454,0,0,4361,8119
2.813,3.069,94.118,0,0,0,0,122449470,561352,0,0,4382,7980
3.053,3.308,93.639,0,0,0,0,122454024,565722,0,0,4351,8116
3.299,3.046,93.655,0,0,0,0,122454024,570174,0,0,4338,8096
3.283,3.788,89.899,3.030,0,0,63905792,122455542,574096,0,0,4438,8138
3.778,4.534,85.894,5.793,0,0,125882368,121819500,564768,0,0,4476,8208
3.109,4.145,90.155,2.591,0,0,125861888,122455542,569644,0,0,4542,8149
3.827,5.102,88.010,3.061,0,0,119545856,122450988,564662,0,0,4511,8146
2.290,9.669,87.277,0.763,0,4096,69206016,85277273,388030,0,0,3426,5617
