"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570544002-1-macsec-aesgcm-we-jumbo-1500-2928-dstat.csv",,,,"Date:","08 Oct 2019 16:32:06 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.561,1.663,95.397,0.379,0,280087.603,7811969.120,0,0,0,0,14010.420,15417.667
0.251,0,99.749,0,0,0,0,0,0,0,0,1068,107
0,0,100,0,0,0,0,0,0,0,0,1033,50
0,0,100,0,0,0,0,0,0,0,0,1033,29
0,0,100,0,0,0,0,0,0,0,0,1036,35
5.779,2.513,91.457,0.251,0,0,65536,87806005,1545002,0,0,15353,29455
7.809,4.030,88.161,0,0,0,0,122814174,2161658,0,0,21037,40124
7.789,4.271,87.940,0,0,0,0,122815728,2161556,0,0,21036,40127
8.521,3.509,87.970,0,0,0,0,122815855,2160916,0,0,21034,40120
6.281,3.518,90.201,0,0,0,0,122815875,1134200,0,0,10725,19492
5.514,3.258,91.228,0,0,0,12288,122817282,566570,0,0,5035,8143
5.514,3.258,91.228,0,0,0,0,122815728,565510,0,0,5030,8104
5.500,3.500,91,0,0,0,0,122815728,564132,0,0,5032,8114
6,3,91,0,0,0,0,122815728,564556,0,0,5028,8112
5.985,3.242,90.773,0,0,0,0,122815728,562542,0,0,5031,8115
5.528,3.266,91.206,0,0,0,2904064,122817282,565828,0,0,5127,8178
6,3,91,0,0,0,0,122815728,563602,0,0,5031,8113
5.250,3.750,91,0,0,0,0,122815728,563708,0,0,5026,8110
5.528,3.015,91.457,0,0,0,0,122815728,562860,0,0,5031,8109
6.234,3.242,84.289,6.234,0,4096,134238208,120861220,547490,0,0,5120,7963
5.276,3.769,84.171,6.784,0,4096,134283264,122814916,547702,0,0,5190,7904
5.051,3.283,88.131,3.535,0,0,66330624,122815728,540282,0,0,5103,8144
6.566,3.030,68.434,21.970,0,12288,445382656,122817812,530742,0,0,5525,7920
4.489,5.486,71.322,18.703,0,12288,398458880,76953819,333688,0,0,3977,5002
