"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570544002-1-macsec-chachapoly-e-1500-1464-1500-dstat.csv",,,,"Date:","08 Oct 2019 16:41:48 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.974,1.839,94.765,0.422,0,196024.971,9264507.349,0,0,0,0,16580.467,17663.292
0.249,0,99.751,0,0,0,0,0,0,0,0,158,102
0,0,100,0,0,0,0,0,0,0,0,48,32
0.250,0,99.750,0,0,0,0,0,0,0,0,53,35
0,0,100,0,0,0,0,0,0,0,0,48,32
5.303,3.788,90.909,0,0,0,65536,88228021,414782,0,0,3289,6464
6.701,4.639,88.660,0,0,0,0,122454024,569538,0,0,4419,8171
7.928,3.836,88.235,0,0,0,0,122458578,569220,0,0,4415,8188
7.614,4.822,87.563,0,0,0,0,122454151,564556,0,0,4410,8180
6.460,3.618,89.922,0,0,0,0,122449470,562017,0,0,4448,8092
6.701,4.639,88.660,0,0,0,425984,122452506,568478,0,0,4478,8151
7.398,4.592,88.010,0,0,0,0,122454024,568628,0,0,4449,8097
7.161,4.859,87.980,0,0,0,0,122455542,564238,0,0,4401,8167
7.198,4.113,88.689,0,0,0,0,122454024,561588,0,0,4408,8178
6.616,5.344,87.786,0.254,0,0,0,122454024,559366,0,0,4405,8180
7.161,4.859,87.980,0,0,0,12288,122457060,555970,0,0,4412,8188
7.653,3.061,89.286,0,0,0,2162688,122450988,536996,0,0,4424,8194
7.436,3.333,89.231,0,0,0,0,122454024,522792,0,0,4416,8229
7.107,3.046,89.848,0,0,0,0,122452506,518128,0,0,4403,8195
6.633,3.827,82.908,6.633,0,4096,130043904,120110232,503182,0,0,4473,7995
6.138,4.859,85.422,3.581,0,4096,125894656,119431686,505286,0,0,4488,7826
7.692,3.590,85.641,3.077,0,0,56631296,122450988,517810,0,0,4484,8210
6.202,4.910,66.408,22.481,0,20480,440401920,119131122,658472,0,0,6624,11215
7.089,4.810,70.380,17.722,0,12288,417333248,93336335,383190,0,0,3922,6205
