"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570544002-1-orig-jumbo-without-encryption-1500-9000-dstat.csv",,,,"Date:","08 Oct 2019 16:21:50 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.766,1.356,96.603,0.274,0,511383.525,5592664.724,0,0,0,0,10666.232,11391.995
0,0,100,0,0,0,0,0,0,0,0,1068,126
0,0,100,0,0,0,0,0,0,0,0,1035,35
0,0,99.248,0.752,0,0,18890752,0,0,0,0,1054,50
0,0,100,0,0,0,0,0,0,0,0,1033,41
10.886,5.823,83.291,0,0,0,73728,88510083,2925110,0,0,58347,114256
15.404,8.081,76.515,0,0,0,0,122501150,4030122,0,0,80234,156851
15.267,7.888,76.845,0,0,0,0,122499600,4030734,0,0,80221,157681
15.443,8.101,76.456,0,0,0,0,122476350,4029918,0,0,80172,154175
14.872,7.692,77.436,0,0,0,0,122499600,4030632,0,0,80227,157663
15.365,8.312,76.322,0,0,0,12288,122499600,4030428,0,0,80267,156838
15.306,7.653,77.041,0,0,0,0,122499600,4028286,0,0,80194,153865
16.121,7.809,76.071,0,0,0,0,122499600,4030632,0,0,80241,157448
14.541,8.673,76.786,0,0,0,0,122499600,4030734,0,0,80201,155290
15.306,7.653,77.041,0,0,0,0,122501150,4029816,0,0,80199,157613
15.190,8.101,76.456,0.253,0,0,12288,122501150,4030938,0,0,80223,155807
15.190,8.101,76.709,0,0,0,0,122498050,4030632,0,0,80268,155239
15.617,8.312,76.071,0,0,0,0,122499600,4030734,0,0,80290,157220
15.228,8.122,76.650,0,0,0,0,122501150,4030938,0,0,80245,155678
14.937,8.608,72.658,3.797,0,0,71651328,122501150,4030734,0,0,80436,156945
16.203,7.342,69.367,7.089,0,8192,142663680,120749854,3943936,0,0,79274,152044
15.190,8.101,72.658,4.051,0,12288,75526144,122499927,4005846,0,0,80330,149637
15.190,8.608,69.873,6.329,0,4096,138412032,122501293,4031673,0,0,80370,154488
9.137,11.421,76.142,3.299,0,0,71311360,75642517,2489106,0,0,50042,97510
