"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570546514-100-macsec-aes-gcm-e-jumbo-MACsec-Ethernet-2928-9000-dstat.csv",,,,"Date:","09 Oct 2019 09:31:29 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.852,3.139,86.491,4.517,0,9661.025,28477863.320,0,0,0,0,26175.920,29355.674
0,0,100,0,0,0,0,0,0,0,0,1071,91
0,0,100,0,0,0,0,0,0,0,0,1035,62
0,0,100,0,0,0,0,0,0,0,0,1037,28
0,0,100,0,0,0,0,0,0,0,0,1035,39
7.286,3.769,88.945,0,0,0,61440,89357948,1602242,0,0,45545,60296
9.620,5.063,85.316,0,0,0,0,123550224,2194624,0,0,63176,83075
10.050,5.025,84.925,0,0,0,0,123553206,2195896,0,0,63199,83076
9.343,5.303,85.354,0,0,0,0,123553206,2195896,0,0,63196,83074
10.327,4.786,78.589,6.297,0,0,75837440,123553312,2196320,0,0,63333,83071
9.391,5.076,85.533,0,0,0,32768,123550224,2196002,0,0,63194,83098
9.296,5.779,84.925,0,0,0,0,123553206,2195896,0,0,63195,83074
9.848,4.798,85.354,0,0,0,0,123553206,2195896,0,0,63202,83088
9.620,5.063,85.316,0,0,0,0,123553206,2196002,0,0,63196,83075
9.343,5.303,78.788,6.566,0,0,46137344,123550224,2195896,0,0,63240,83107
9.848,5.303,59.596,25.253,0,0,167018496,121343862,2132084,0,0,61942,78668
9.343,5.808,60.859,23.990,0,0,168558592,123553206,2195896,0,0,63342,83122
10.553,5.276,60.050,24.121,0,0,169082880,123550224,2195896,0,0,63346,83155
9.367,5.823,60.506,24.304,0,0,167772160,123556188,2195896,0,0,63343,83166
10.076,5.290,60.202,24.433,0,0,167772160,123553206,2196002,0,0,63347,83130
9.620,5.570,59.747,25.063,0,0,167833600,122512700,2155298,0,0,62552,79508
10.354,5.051,60.606,23.990,0,0,168558592,123541278,2195684,0,0,63328,83141
8.586,5.051,62.121,24.242,0,0,169082880,111509006,1981988,0,0,57276,75082
7.519,8.772,81.955,1.754,0,0,21757952,87476306,1569806,0,0,45165,59158
10.076,4.786,85.139,0,0,0,0,123553206,2195048,0,0,63104,82823
9.848,4.798,85.101,0.253,0,0,94208,123553206,2195578,0,0,63180,83073
9.548,5.276,85.176,0,0,0,0,123553206,2195896,0,0,63192,83103
10.101,4.545,85.354,0,0,0,0,123550224,2194836,0,0,63143,83011
10.050,5.025,84.925,0,0,0,0,123529350,2195472,0,0,63180,83082
10.076,4.786,85.139,0,0,0,0,123553206,2195896,0,0,63191,83077
9.391,5.076,85.533,0,0,0,12288,123553206,2195896,0,0,63181,83101
10.076,4.786,85.139,0,0,0,0,123550224,2196002,0,0,63182,83064
10.250,5,84.750,0,0,0,0,123553206,2195896,0,0,63197,83086
9.367,5.063,85.570,0,0,0,0,123553206,2195896,0,0,63196,83069
9.572,5.290,85.139,0,0,0,0,123550224,2196002,0,0,63202,83089
9.343,5.051,85.354,0.253,0,0,12288,123556188,2195578,0,0,63178,83057
10.127,4.810,81.013,4.051,0,0,29466624,123565134,2196108,0,0,63242,83101
10.302,5.025,68.844,15.829,0,0,133431296,123541278,2195684,0,0,63295,83128
10.076,5.290,72.796,11.839,0,0,98574336,123553206,2195896,0,0,63290,83140
10.050,5.276,60.050,24.623,0,0,168558592,123550224,2196002,0,0,63346,83152
8.586,4.798,62.626,23.990,0,0,167813120,110152408,1934712,0,0,56337,71176
5.736,8.229,79.551,6.484,0,0,56623104,59657228,1075528,0,0,31251,40478
