"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570546514-100-macsec-aesgcm-e-frag-jumbo-2928-1500-dstat.csv",,,,"Date:","09 Oct 2019 06:05:44 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.246,2.971,87.339,4.445,0,12033.529,28004942.848,0,0,0,0,22104.645,24115.149
0,0.250,99.750,0,0,0,40960,0,0,0,0,187,113
0,0,100,0,0,0,0,0,0,0,0,50,35
0,0,100,0,0,0,0,0,0,0,0,51,42
0,0,100,0,0,0,0,0,0,0,0,57,45
5.486,3.242,91.272,0,0,0,69632,87101933,1467902,0,0,15008,27938
7.769,3.759,88.471,0,0,0,0,122688892,2055658,0,0,20569,40137
7.250,4.500,88.250,0,0,0,0,122690408,2055552,0,0,20572,40151
5.584,3.807,90.609,0,0,0,0,122684342,739950,0,0,6614,12209
3.836,4.859,91.304,0,0,0,0,122688892,539010,0,0,4432,8098
4.822,4.315,90.863,0,0,0,28672,122690408,540388,0,0,4419,8118
4.124,3.866,90.722,1.289,0,0,12869632,122693444,547878,0,0,4496,8024
3.308,3.562,86.514,6.616,0,0,62914560,122690408,550458,0,0,4453,8136
3.797,3.544,92.658,0,0,0,0,122690410,549822,0,0,4369,8106
3.817,3.053,93.130,0,0,0,0,122690408,549716,0,0,4361,8096
4.337,4.337,91.327,0,0,0,32768,122690410,546194,0,0,4434,8008
4.370,3.599,92.031,0,0,0,0,122690408,544840,0,0,4384,8117
5.330,4.315,81.472,8.883,0,0,75497472,122688892,548444,0,0,4471,8143
4.359,4.359,68.718,22.564,0,0,167772160,122690410,545558,0,0,4595,8050
4.370,4.113,69.152,22.365,0,0,169869312,122699510,544946,0,0,4571,8176
3.627,4.404,55.440,36.528,0,0,167817216,122690410,545688,0,0,4681,13223
3.141,3.927,48.168,44.764,0,0,167772160,122690408,544922,0,0,4710,12488
4.822,4.822,42.386,47.970,0,0,169082880,122688892,544098,0,0,4569,8319
1.272,1.272,58.524,38.931,0,0,168558592,39525937,176490,0,0,1691,2881
0,0,50.378,49.622,0,0,167772160,0,0,0,0,236,195
0,0,50.253,49.747,0,0,169082880,0,0,0,0,230,228
0,0,50.378,49.622,0,0,168558592,0,0,0,0,226,214
0,0,50.251,49.749,0,0,167772160,0,0,0,0,225,228
0,0,72.040,27.960,0,0,169082880,0,0,0,0,241,175
2.513,6.281,75.377,15.829,0,0,93151232,49431789,232728,0,0,2261,4006
4.337,4.082,91.582,0,0,0,0,122691926,530530,0,0,4376,8091
3.562,3.308,93.130,0,0,0,0,122687374,529576,0,0,4375,8111
3.846,3.077,93.077,0,0,0,0,122690410,530718,0,0,4412,7997
4.569,3.046,92.386,0,0,0,0,122688892,532120,0,0,4385,8104
4.051,3.291,92.658,0,0,0,114688,122690408,533922,0,0,4380,8109
4.304,3.038,92.658,0,0,0,0,122702546,549798,0,0,4445,8004
4.359,4.103,91.538,0,0,0,0,122687374,544204,0,0,4406,8115
3.807,3.807,92.386,0,0,0,0,122691926,551836,0,0,4399,8121
3.562,3.308,93.130,0,0,0,0,122685858,553002,0,0,4373,8093
4.103,3.590,92.051,0.256,0,0,12288,122690410,538986,0,0,4430,8003
4.859,3.581,91.560,0,0,0,0,122687374,532650,0,0,4409,8121
4.604,3.836,91.560,0,0,0,0,122690410,530212,0,0,4396,8107
4.071,4.835,91.094,0,0,0,0,122697994,530718,0,0,4443,7995
4.847,4.337,80.612,10.204,0,0,79814656,122690408,531166,0,0,4507,8146
4.381,3.608,67.784,24.227,0,0,142639104,115653152,988768,0,0,9622,18864
7.750,4.500,63.500,24.250,0,0,167772160,122687376,2063428,0,0,21001,39626
7.519,4.511,63.409,24.561,0,0,169082880,122691926,2053114,0,0,20770,40221
3.590,5.385,74.103,16.923,0,0,158072832,84228893,1412344,0,0,14314,27660
6.784,6.533,86.683,0,0,0,0,105928115,1787372,0,0,18172,34000
7.268,4.261,88.471,0,0,0,69632,122694960,2056188,0,0,20563,40154
7.250,4.500,88.250,0,0,0,0,122684342,2058630,0,0,20582,40139
4.545,3.535,91.919,0,0,0,0,122685858,766412,0,0,6925,12119
3.544,3.544,92.911,0,0,0,0,122660070,545794,0,0,4412,8171
3.807,3.299,92.893,0,0,0,0,122691926,545582,0,0,4371,8098
3.526,3.778,92.443,0.252,0,0,12288,122691926,543956,0,0,4423,7999
3.299,3.553,93.147,0,0,0,0,122690408,546218,0,0,4360,8091
3.553,3.553,92.893,0,0,0,0,122687376,544310,0,0,4377,8102
3.817,2.799,93.384,0,0,0,0,122688892,544592,0,0,4390,7980
4.798,2.778,92.424,0,0,0,0,122690408,546112,0,0,4370,8101
3.544,3.544,92.911,0,0,0,12288,122696478,545794,0,0,4361,8112
3.797,3.544,92.658,0,0,0,0,122691926,545558,0,0,4422,8003
4.061,2.792,93.147,0,0,0,0,122691926,546748,0,0,4362,8107
3.562,3.817,73.791,18.830,0,0,130093056,122667654,551836,0,0,4499,8157
4.051,3.291,73.418,19.241,0,0,130027520,122690408,551412,0,0,4495,8163
3.333,3.333,67.949,25.385,0,0,167813120,115750240,500140,0,0,4410,7303
4.113,4.627,66.324,24.936,0,0,169869312,122691926,546112,0,0,4556,8174
5.486,8.978,79.800,5.736,0,0,48234496,91935808,406110,0,0,3711,6296
4.557,4.810,90.633,0,0,0,0,122688892,537738,0,0,4403,8118
4.569,4.569,90.863,0,0,0,0,122690410,537526,0,0,4403,8125
3.836,4.604,91.304,0.256,0,0,69632,122687376,547254,0,0,4432,8010
3.856,4.370,91.774,0,0,0,0,122690408,546748,0,0,4384,8101
4.326,4.580,91.094,0,0,0,0,122688892,546536,0,0,4387,8120
5.115,3.581,91.304,0,0,0,0,122690410,543332,0,0,4451,8011
4.370,3.599,92.031,0,0,0,0,122697994,537526,0,0,4396,8110
4.359,3.590,92.051,0,0,0,12288,122693442,539328,0,0,4383,8113
3.797,3.544,92.658,0,0,0,0,122687376,553744,0,0,4375,8106
4.580,4.071,91.349,0,0,0,0,122688892,532838,0,0,4450,8012
4.592,4.082,91.327,0,0,0,0,122694960,533074,0,0,4392,8103
4.348,4.348,91.304,0,0,0,0,122685858,532226,0,0,4394,8098
3.590,3.846,92.308,0.256,0,0,12288,122691926,538244,0,0,4424,8001
3.817,3.308,86.768,6.107,0,0,79765504,122690408,553214,0,0,4487,8160
4.569,3.046,81.472,10.914,0,0,127934464,122688892,553744,0,0,4523,8170
4.061,3.807,75.635,16.497,0,0,167772160,122697994,547772,0,0,4620,8087
4.061,3.807,77.411,14.721,0,0,167772160,122690410,549610,0,0,4556,8187
1.759,2.764,79.397,16.080,0,0,167055360,62409881,278886,0,0,2495,4294
6.219,8.955,84.826,0,0,0,7077888,93493267,1585380,0,0,16224,29803
7.286,4.271,88.442,0,0,0,0,122690408,2063184,0,0,20574,40144
7.769,3.759,88.471,0,0,0,0,122711648,2061912,0,0,20588,40184
8.271,3.509,88.221,0,0,0,0,122688892,2064170,0,0,20825,39616
7.731,3.990,88.030,0.249,0,0,69632,122690410,2053750,0,0,20576,40156
7.789,3.518,88.693,0,0,0,0,122696476,2056188,0,0,20560,40139
7.789,3.769,88.442,0,0,0,0,122687376,2060460,0,0,20821,39566
8,4,88,0,0,0,0,122690408,2058732,0,0,20582,40190
7.769,3.759,88.471,0,0,0,0,122688892,2057036,0,0,20573,40145
7.538,4.020,88.442,0,0,0,12288,122691926,2062792,0,0,20818,39583
7.750,4,88.250,0,0,0,0,122691926,2061382,0,0,20580,40167
3.827,3.316,92.857,0,0,0,0,122682824,734686,0,0,6489,12316
4.040,3.283,92.677,0,0,0,0,122690410,535088,0,0,4355,8101
3.553,3.299,92.893,0.254,0,0,0,122690408,534840,0,0,4404,7983
3.562,3.817,77.354,15.267,0,0,113348608,122690410,534558,0,0,4494,8177
3.308,3.817,74.555,18.321,0,0,133443584,122688892,534876,0,0,4521,8172
4.071,3.053,67.939,24.936,0,0,167772160,122688892,536006,0,0,4578,8062
3.817,3.562,67.939,24.682,0,0,168558592,122688892,534240,0,0,4531,8165
1.995,6.983,72.569,18.454,0,0,134217728,33772404,149088,0,0,1543,2436
4.604,4.092,91.049,0.256,0,0,73728,122684342,551112,0,0,4458,7995
4.557,4.810,90.633,0,0,0,0,122690410,553002,0,0,4402,8108
