"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570546514-100-macsec-aesgcm-we-1464-1500-dstat.csv",,,,"Date:","09 Oct 2019 01:42:49 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.064,3.014,87.795,4.127,0,17551.777,26791850.344,0,0,0,0,27049.199,28143.976
0,0,100,0,0,0,0,0,0,0,0,155,94
0,0,100,0,0,0,0,0,0,0,0,54,44
0,0,100,0,0,0,0,0,0,0,0,44,21
0,0,100,0,0,0,53248,0,0,0,0,67,56
2.545,3.053,94.402,0,0,0,0,88374821,410928,0,0,3238,5923
3.061,3.061,93.878,0,0,0,0,122464650,578124,0,0,4364,8197
3.535,3.283,93.182,0,0,0,0,122454024,579184,0,0,4350,8169
3.299,3.046,93.655,0,0,0,0,122454024,579714,0,0,4364,8189
3.778,3.526,92.695,0,0,0,24576,122455542,578418,0,0,4409,8064
3.030,3.535,93.182,0.253,0,0,4096,122454024,578760,0,0,4374,8185
3.571,2.551,93.878,0,0,0,0,122452506,578018,0,0,4356,8166
2.792,3.553,93.655,0,0,0,0,122457060,578548,0,0,4359,8176
3.291,3.291,93.418,0,0,0,0,122454024,578760,0,0,4336,8138
3.308,3.053,93.639,0,0,0,8192,122455542,578018,0,0,4366,8178
3.053,3.053,93.893,0,0,0,4096,122454024,578124,0,0,4357,8159
3.291,3.544,93.165,0,0,0,0,122450988,577782,0,0,4418,8048
3.299,3.046,93.655,0,0,0,0,122455542,577912,0,0,4341,8131
3.038,3.291,93.418,0.253,0,0,0,122452506,577276,0,0,4361,8165
3.053,3.562,83.969,9.415,0,0,75816960,122455542,577488,0,0,4501,8204
2.806,3.827,78.316,15.051,0,0,114581504,122454024,576746,0,0,4489,8214
3.807,2.792,79.695,13.706,0,0,111935488,122452506,576428,0,0,4464,8196
3.291,3.544,76.203,16.962,0,0,116662272,122454024,575694,0,0,4513,8125
2.046,7.673,77.749,12.532,0,0,105648128,84482393,399046,0,0,3260,5738
4.103,4.103,91.795,0,0,0,0,120008902,563398,0,0,4394,8065
4.786,4.534,90.428,0.252,0,0,65536,122450988,579184,0,0,4395,8127
4.326,4.326,91.349,0,0,0,0,122457060,579714,0,0,4432,8108
4.103,4.103,91.795,0,0,0,0,122455542,579396,0,0,4457,8104
3.817,4.835,91.349,0,0,0,4096,122450988,579160,0,0,4435,8006
3.325,4.092,92.583,0,0,0,8192,122452506,577382,0,0,4390,8140
3.797,3.038,93.165,0,0,0,4096,122454024,577064,0,0,4383,8197
4.051,3.291,92.658,0,0,0,0,122457060,578972,0,0,4402,8194
4.103,3.846,92.051,0,0,0,0,122444916,580032,0,0,4394,8127
4.071,4.835,91.094,0,0,0,0,122466168,579714,0,0,4394,8114
3.788,3.788,92.424,0,0,0,8192,122454024,579078,0,0,4377,8154
3.544,3.038,93.165,0.253,0,0,4096,122452506,577676,0,0,4421,8030
4.051,2.532,93.418,0,0,0,0,122450988,578124,0,0,4362,8163
2.792,3.807,93.401,0,0,0,0,122454024,578230,0,0,4352,8130
