"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570546514-100-macsec-aesgcm-we-frag-1500-1500-dstat.csv",,,,"Date:","09 Oct 2019 03:27:54 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.258,3.021,87.533,4.188,0,14833.140,27315956.530,0,0,0,0,25137.333,26423.607
0.249,0.249,99.502,0,0,0,225280,0,0,0,0,202,123
0,0,99.750,0.250,0,0,57344,0,0,0,0,63,48
0.249,0,99.751,0,0,0,0,0,0,0,0,47,25
0,0,100,0,0,0,0,0,0,0,0,51,30
6.266,3.258,90.476,0,0,0,0,86130177,1514394,0,0,14861,28482
8.020,5.514,86.466,0,0,0,0,120658780,2118622,0,0,20579,40155
7.769,5.514,86.717,0,0,0,0,120657174,2120088,0,0,20705,39856
8.040,5.025,86.935,0,0,0,28672,120653962,2120312,0,0,20713,39870
7.789,5.528,86.683,0,0,0,0,120655568,2118516,0,0,20571,40154
8.271,5.013,86.717,0,0,0,0,120657174,2120194,0,0,20712,39874
8,5.500,86.500,0,0,0,32768,120655568,2118516,0,0,20598,40161
8.500,5,86.500,0,0,0,0,120634690,2119676,0,0,20715,39860
8,5.500,86.250,0.250,0,0,20480,120653962,2118516,0,0,20560,40156
8.060,5.038,86.902,0,0,0,0,120658692,2120088,0,0,20708,39860
8.271,5.013,86.717,0,0,0,0,120655568,2120312,0,0,20697,39849
7.595,5.316,76.962,10.127,0,0,79765504,120654050,2118516,0,0,20690,40186
8.229,5.486,86.284,0,0,0,0,120658780,2121278,0,0,20727,39863
8,5.500,86.250,0.250,0,0,28672,120655480,2119786,0,0,20645,39957
8.020,5.263,86.717,0,0,0,0,120654050,2118516,0,0,20552,40158
8,5.750,82.500,3.750,0,0,26476544,120657174,2120312,0,0,20720,39882
8.060,5.290,70.025,16.625,0,0,124534784,120653962,2118516,0,0,20692,40223
7.809,5.542,61.965,24.685,0,0,169082880,120657174,2119888,0,0,20873,39916
1.609,5.094,51.743,41.555,0,0,167800832,108951040,1877120,0,0,18652,35613
0.789,3.947,53.421,41.842,0,0,169345024,79803115,1403564,0,0,13865,26371
0,0.251,70.101,29.648,0,0,168296448,0,0,0,0,239,204
0,0,74.242,25.758,0,0,167772160,0,0,0,0,340,7441
0,0,73.418,26.582,0,0,167772160,0,0,0,0,371,9252
0.251,0.251,73.618,25.879,0,0,167772160,0,0,0,0,349,9644
0,0.252,74.055,25.693,0,0,168558592,0,0,0,0,347,9784
0.251,0.251,72.613,26.884,0,0,167772160,0,0,0,0,359,9334
0,0,73.737,26.263,0,0,167772160,0,0,0,0,335,9242
0,0,77.273,22.727,0,0,169082880,0,0,0,0,367,9299
6.076,8.608,85.316,0,0,0,15568896,96525815,1692644,0,0,16702,33553
8.040,5.276,86.683,0,0,0,0,120657174,2120312,0,0,20697,39849
8.229,5.486,86.284,0,0,0,0,120657086,2118516,0,0,20567,40148
8.040,5.276,86.683,0,0,0,0,120657262,2120312,0,0,20698,39861
8,5.500,86.500,0,0,0,0,120653962,2118516,0,0,20577,40161
7.789,5.528,86.683,0,0,0,114688,120660386,2120206,0,0,20682,39859
7.809,5.290,86.902,0,0,0,0,120652356,2118410,0,0,20538,40141
8,5.750,86.250,0,0,0,0,120652356,2120206,0,0,20682,39844
8.312,4.786,86.902,0,0,0,0,120658780,2118516,0,0,20578,40160
8.772,4.762,86.466,0,0,0,0,120657174,2120312,0,0,20709,39853
8.521,5.013,86.466,0,0,0,12288,120655568,2120418,0,0,20694,39865
8.521,5.013,86.466,0,0,0,0,120653962,2118516,0,0,20548,40152
8.020,5.514,86.466,0,0,0,0,120658780,2120206,0,0,20706,39866
8.291,5.276,86.432,0,0,0,0,120653962,2118516,0,0,20579,40155
7.769,5.764,86.466,0,0,0,0,120658780,2120312,0,0,20699,39848
5.943,5.168,74.935,13.953,0,0,117579776,118850424,2076166,0,0,20499,41673
8.271,5.764,73.684,12.281,0,0,121647104,120655568,2118516,0,0,20690,40216
8.020,5.764,75.689,10.526,0,0,83894272,120657174,2120206,0,0,20819,39914
8.564,5.038,65.743,20.655,0,0,169869312,120655568,2118516,0,0,20748,40219
4.523,9.296,76.382,9.799,0,0,127926272,65980616,1162230,0,0,11690,22093
7.848,4.810,87.342,0,0,0,65536,120653928,2116232,0,0,20711,39698
7.980,5.736,86.284,0,0,0,0,120655568,2120206,0,0,20715,39856
8.291,5.025,86.683,0,0,0,0,120657174,2118516,0,0,20583,40148
7.789,5.528,86.683,0,0,0,0,120652356,2120312,0,0,20716,39844
8.020,5.514,86.466,0,0,0,0,120655568,2118516,0,0,20595,40172
8.543,4.774,86.432,0.251,0,0,12288,120655568,2120312,0,0,20690,39854
8.040,5.276,86.683,0,0,0,0,120657174,2120088,0,0,20677,39846
8.250,5.500,86.250,0,0,0,0,120653962,2118198,0,0,20579,40139
7.789,5.528,86.683,0,0,0,0,120658780,2120100,0,0,20723,39854
7.789,5.276,86.935,0,0,0,0,120655568,2118516,0,0,20589,40157
8.250,5.500,86.250,0,0,0,12288,120658780,2119570,0,0,20673,39840
8.312,4.786,86.902,0,0,0,0,120655568,2118516,0,0,20551,40136
8.500,5.250,86.250,0,0,0,0,120655568,2120100,0,0,20690,39857
7.769,5.764,86.466,0,0,0,0,120653962,2120100,0,0,20712,39843
8.040,5.276,82.663,4.020,0,0,37765120,120657174,2118622,0,0,20615,40154
8.229,5.985,70.823,14.963,0,0,128012288,120655568,2119782,0,0,20825,40022
8.816,5.038,62.469,23.678,0,0,167772160,120657086,2118622,0,0,20766,40229
8.291,5.528,62.312,23.869,0,0,167772160,120655656,2120100,0,0,20885,39938
8.312,5.290,62.469,23.929,0,0,169082880,120653962,2118410,0,0,20775,40275
5.250,8.750,76,10,0,0,84672512,66852640,1178066,0,0,11833,22177
8.291,5.025,86.432,0.251,0,0,81920,120618630,2117562,0,0,20599,40166
8.271,5.263,86.466,0,0,0,0,120653962,2120100,0,0,20709,39859
8.020,5.514,86.466,0,0,0,0,120657174,2118516,0,0,20578,40146
7.809,5.290,86.902,0,0,0,0,120655568,2120100,0,0,20707,39855
8.040,5.276,86.683,0,0,0,0,120658780,2121274,0,0,20758,39798
8.750,5,86.250,0,0,0,12288,120653962,2118410,0,0,20589,40175
8.040,5.276,86.683,0,0,0,0,120639508,2116190,0,0,20758,39672
7.809,5.542,86.650,0,0,0,0,120655568,2118410,0,0,20581,40155
8.020,5.514,86.466,0,0,0,0,120658780,2120312,0,0,20725,39872
8.209,5.970,85.821,0,0,0,0,120653962,2118516,0,0,20588,40154
8.291,5.025,86.683,0,0,0,12288,120655568,2120100,0,0,20720,39858
8.229,5.985,85.786,0,0,0,0,120655568,2118410,0,0,20583,40159
8.060,5.038,86.902,0,0,0,0,120658780,2120206,0,0,20717,39867
8.020,5.263,86.466,0.251,0,0,0,120653962,2120312,0,0,20701,39842
8.060,5.542,77.078,9.320,0,0,75509760,120657086,2118516,0,0,20671,40190
2.902,5.541,73.087,18.470,0,0,135614464,111798566,1920932,0,0,19049,37332
1.626,5.420,74.255,18.699,0,0,168558592,120647538,2107032,0,0,20680,39534
7.789,6.030,63.819,22.362,0,0,167772160,120657086,2118516,0,0,20760,40235
8.060,5.542,61.965,24.433,0,0,169082880,120655656,2120312,0,0,20879,39923
4.250,9,80.500,6.250,0,0,51118080,64519122,1137522,0,0,11444,21149
7.809,5.290,86.902,0,0,0,69632,120655568,2117986,0,0,20570,40167
8.521,5.013,86.466,0,0,0,0,120655568,2120312,0,0,20721,39870
8.040,5.276,86.683,0,0,0,0,120657174,2120206,0,0,20704,39849
8.271,5.263,86.466,0,0,0,0,120655568,2118410,0,0,20579,40161
8.020,5.514,86.466,0,0,0,0,120657086,2120100,0,0,20725,39881
8,5.750,86,0.250,0,0,12288,120654050,2118516,0,0,20560,40169
8.040,5.025,86.935,0,0,0,0,120657174,2120206,0,0,20683,39864
7.809,5.290,86.902,0,0,0,0,120655568,2118410,0,0,20545,40158
9.273,5.514,85.213,0,0,0,0,120653962,2119782,0,0,20753,39966
8.250,5.250,86.500,0,0,0,0,120657174,2120206,0,0,20714,39869
8.060,5.542,86.398,0,0,0,12288,120657174,2118516,0,0,20569,40177
7.789,5.528,86.683,0,0,0,0,120655568,2120100,0,0,20681,39848
8.312,4.786,86.902,0,0,0,0,120655568,2118516,0,0,20559,40174
8.291,5.025,86.683,0,0,0,0,120655568,2120206,0,0,20703,39853
8.271,5.263,76.190,10.276,0,0,79757312,120657174,2118304,0,0,20676,40190
6.410,5.385,61.538,26.667,0,0,155217920,117430720,2032550,0,0,20155,38751
7.342,5.570,64.304,22.785,0,0,167772160,120657174,2114452,0,0,20846,39748
8.101,5.063,62.785,24.051,0,0,167772160,120657174,2119570,0,0,20859,39897
6.250,8.750,64,21,0,0,146800640,95484099,1676708,0,0,16509,31901
7.519,7.018,85.464,0,0,0,0,109216339,1917758,0,0,18829,35991
8.291,5.025,86.683,0,0,0,73728,120657174,2119994,0,0,20711,39876
7.557,5.542,86.902,0,0,0,0,120655568,2118516,0,0,20585,40141
8.750,5,86.250,0,0,0,0,120657174,2120312,0,0,20680,39857
8.040,5.025,86.935,0,0,0,0,120658780,2118410,0,0,20545,40147
8.060,5.290,86.650,0,0,0,0,120655568,2120312,0,0,20692,39881
8.250,5.250,86.250,0.250,0,0,12288,120657174,2118622,0,0,20560,40155
7.809,5.038,87.154,0,0,0,0,120655568,2120206,0,0,20674,39843
7.769,5.764,86.466,0,0,0,0,120655568,2120100,0,0,20679,39849
8,5.750,86.250,0,0,0,0,120653962,2118410,0,0,20569,40159
7.809,5.290,86.902,0,0,0,0,120657174,2120312,0,0,20710,39848
8.020,5.514,86.466,0,0,0,12288,120653962,2118516,0,0,20564,40164
8.521,5.013,86.466,0,0,0,0,120658780,2118828,0,0,20674,39819
8.040,5.276,86.683,0,0,0,0,120653962,2118410,0,0,20576,40166
8.772,4.762,84.461,2.005,0,0,12656640,120657174,2119888,0,0,20731,39851
7.809,5.793,69.773,16.625,0,0,125042688,120653962,2120300,0,0,20857,39919
7.071,5.303,60.101,27.525,0,0,167804928,112476210,1952202,0,0,19350,37886
3.448,5.570,72.679,18.302,0,0,167772160,120652356,2119994,0,0,20720,39929
3.457,5.585,72.872,18.085,0,0,168558592,120657174,2118092,0,0,20603,40220
