"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570546514-100-macsec-chachapoly-we-1500-1464-1500-dstat.csv",,,,"Date:","09 Oct 2019 11:13:47 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.984,3.150,86.216,4.650,0,8797.298,28727144.946,0,0,0,0,28002.837,31034.700
0.498,0,99.502,0,0,0,0,0,0,0,0,170,92
0,0,100,0,0,0,0,0,0,0,0,48,41
0,0,100,0,0,0,61440,0,0,0,0,52,38
0,0,100,0,0,0,40960,0,0,0,0,69,53
2.302,2.558,95.141,0,0,0,0,86591617,376284,0,0,3175,5876
4.580,3.053,92.366,0,0,0,0,122449470,543356,0,0,4344,8175
4.835,3.053,92.112,0,0,0,0,122461614,541872,0,0,4361,8184
5.330,2.792,91.878,0,0,0,0,122455542,541024,0,0,4376,8213
5.276,3.518,90.955,0.251,0,0,36864,122422146,538562,0,0,4437,8066
5.303,3.283,91.414,0,0,0,0,122452506,537844,0,0,4373,8181
5.076,3.046,91.878,0,0,0,0,122454024,538480,0,0,4368,8170
4.592,3.061,92.347,0,0,0,0,122454024,538480,0,0,4373,8181
5.303,3.030,91.667,0,0,0,8192,122454024,538904,0,0,4373,8189
4.835,3.308,91.858,0,0,0,4096,122454024,539434,0,0,4360,8174
3.846,3.333,92.821,0,0,0,0,122455542,533074,0,0,4358,8165
4.315,3.553,92.132,0,0,0,0,122454024,517456,0,0,4413,8065
5.584,2.538,91.878,0,0,0,0,122452506,517810,0,0,4386,8195
5.089,2.799,92.112,0,0,0,8192,122464650,518870,0,0,4364,8214
4.835,3.562,85.751,5.852,0,0,75759616,122416074,526078,0,0,4531,8216
4.592,3.316,77.806,14.286,0,0,148897792,122452506,527456,0,0,4564,8266
5.570,3.544,75.696,15.190,0,0,167772160,122454024,529788,0,0,4581,8252
4.847,3.316,76.531,15.306,0,0,169082880,122454024,529858,0,0,4611,8108
3.038,3.038,78.228,15.696,0,0,168558592,86335319,373332,0,0,3315,5857
3.544,8.861,85.063,2.532,0,0,25243648,81428899,349770,0,0,3126,5706
5.598,2.545,91.858,0,0,0,0,122461614,518446,0,0,4381,8185
5.076,3.046,91.878,0,0,0,0,122454024,519506,0,0,4392,8185
5.316,3.038,91.646,0,0,0,0,122454024,518128,0,0,4394,8198
5.076,3.299,91.624,0,0,0,0,122454024,519576,0,0,4441,8091
4.822,3.553,91.371,0.254,0,0,69632,122454024,518976,0,0,4401,8203
5.063,3.291,91.646,0,0,0,0,122452506,519506,0,0,4381,8193
4.359,3.077,92.564,0,0,0,0,122452506,518764,0,0,4375,8170
5.076,3.046,91.878,0,0,0,0,122454024,520036,0,0,4380,8177
5.598,2.799,91.603,0,0,0,0,122450988,523958,0,0,4377,8175
5.371,2.302,92.327,0,0,0,12288,122463132,523640,0,0,4408,8207
4.604,4.092,91.304,0,0,0,0,122452506,523392,0,0,4424,8037
4.822,3.553,91.624,0,0,0,0,122454024,524594,0,0,4421,8181
