"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570546514-100-macsec-morus640-e-1500-1464-1500-dstat.csv",,,,"Date:","09 Oct 2019 14:41:42 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.544,3.069,86.782,4.606,0,7444.586,28941197.855,0,0,0,0,24554.902,27509.319
0.250,0,99.750,0,0,0,0,0,0,0,0,150,102
0,0,100,0,0,0,45056,0,0,0,0,78,54
0.249,0,99.751,0,0,0,0,0,0,0,0,45,26
0,0,100,0,0,0,0,0,0,0,0,61,45
2.764,2.261,94.724,0.251,0,0,69632,88325279,386250,0,0,3245,5970
3.299,3.046,93.655,0,0,0,0,122450988,532438,0,0,4341,8126
2.806,3.316,93.878,0,0,0,0,122454024,556500,0,0,4336,8121
3.308,2.799,93.893,0,0,0,0,122449470,562330,0,0,4362,8136
3.030,3.788,93.182,0,0,0,0,122454024,563390,0,0,4341,8130
2.806,3.316,93.878,0,0,0,12288,122454024,563154,0,0,4386,8017
2.792,3.553,93.655,0,0,0,0,122461614,563602,0,0,4334,8113
3.553,3.046,93.401,0,0,0,8192,122457060,562648,0,0,4368,8155
3.053,3.053,93.893,0,0,0,0,122435808,561164,0,0,4358,8130
3.788,3.030,93.182,0,0,0,0,122452506,560952,0,0,4348,8141
3.299,3.299,93.401,0,0,0,24576,122455542,559892,0,0,4367,8153
3.053,3.308,93.639,0,0,0,0,122452506,561152,0,0,4407,8047
3.038,3.544,93.418,0,0,0,0,122450988,557666,0,0,4348,8134
3.544,3.038,93.418,0,0,0,0,122452506,559150,0,0,4357,8135
3.291,3.797,85.823,7.089,0,0,75689984,122461614,561058,0,0,4499,8176
4.040,3.030,75.505,17.424,0,0,114651136,115081310,506998,0,0,4296,7440
3.876,3.618,80.362,12.145,0,0,111935488,122458578,555016,0,0,4511,8145
4.348,3.069,79.284,13.299,0,0,112484352,122461614,548868,0,0,4525,8176
2.551,7.908,77.296,12.245,0,0,101453824,91918523,420502,0,0,3507,6249
4.061,4.315,91.624,0,0,0,0,119378374,542964,0,0,4365,8012
3.283,3.283,93.182,0.253,0,0,65536,122454024,561058,0,0,4370,8133
3.526,3.778,92.695,0,0,0,0,122450988,561482,0,0,4355,8127
3.046,3.299,93.655,0,0,0,0,122417592,551306,0,0,4370,8123
3.299,3.046,93.655,0,0,0,0,122452506,540046,0,0,4398,8022
3.535,3.535,92.929,0,0,0,0,122454024,538480,0,0,4354,8114
2.806,3.061,94.133,0,0,0,12288,122460096,539858,0,0,4341,8132
