"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570546514-100-no-macsec-1000-1500-dstat.csv",,,,"Date:","08 Oct 2019 18:03:58 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.829,1.850,94.492,1.829,0,55651.642,18315464.164,0,0,0,0,8879.244,9986.384
0.250,0,99.750,0,0,0,0,0,0,0,0,162,98
0,0.249,99.751,0,0,0,0,0,0,0,0,58,43
0,0,100,0,0,0,0,0,0,0,0,58,33
0,0.250,99.750,0,0,0,0,0,0,0,0,47,28
2.010,3.266,94.472,0.251,0,0,61440,87927419,1006062,0,0,14812,29033
3.509,5.013,91.479,0,0,0,0,122452506,1399090,0,0,20380,40048
2.771,5.290,91.940,0,0,0,0,122454024,1399370,0,0,20470,40075
3.258,4.762,91.980,0,0,0,0,122449470,1399020,0,0,20506,40047
3.759,4.762,91.479,0,0,0,61440,122452506,1399160,0,0,20398,40047
3.023,5.290,91.688,0,0,0,32768,122457060,1398950,0,0,20320,40049
3.518,4.774,91.709,0,0,0,0,122450988,1399090,0,0,20377,40037
3.759,5.013,91.228,0,0,0,0,122457060,1399020,0,0,20320,40037
3.509,5.013,91.479,0,0,0,0,122450988,1399020,0,0,20381,40040
3.759,5.013,91.228,0,0,0,0,122458578,1399090,0,0,20307,40044
3.509,5.263,91.228,0,0,0,16384,122450988,1399230,0,0,20387,40044
2.764,4.774,92.462,0,0,0,0,122454024,1147860,0,0,16419,32243
1.746,3.491,94.763,0,0,0,0,122457060,368970,0,0,4301,8060
1.754,3.008,95.238,0,0,0,0,122452506,369810,0,0,4305,8049
1.263,3.283,82.323,13.131,0,0,100139008,122455542,369530,0,0,4480,8171
0.756,5.038,76.826,17.380,0,0,167833600,114587818,347060,0,0,4257,8224
1.015,3.046,87.310,8.629,0,0,168558592,122454024,371980,0,0,4534,8236
1.263,3.283,86.111,9.343,0,0,167772160,122457060,374290,0,0,4527,8231
0.752,7.769,86.967,4.511,0,0,113246208,51966832,287932,0,0,4173,7852
3.266,4.523,92.211,0,0,0,0,122454024,1399230,0,0,20555,40056
3.509,4.762,91.729,0,0,0,73728,122454024,1399020,0,0,20472,40064
3.518,4.774,91.709,0,0,0,0,122454024,1399020,0,0,20418,40062
4.250,4.750,91,0,0,0,0,122457060,1399020,0,0,20308,40031
3.275,5.038,91.688,0,0,0,0,122454024,1399020,0,0,20299,40034
3.518,5.025,91.457,0,0,0,0,122457060,1399090,0,0,20296,40038
3.250,4,92.750,0,0,0,16384,122452506,696780,0,0,9242,17917
2.771,3.023,94.207,0,0,0,0,122457060,383670,0,0,4296,8067
3.731,3.234,93.035,0,0,0,0,122450988,384370,0,0,4298,8062
2.506,4.010,93.484,0,0,0,0,122450988,385280,0,0,4313,8082
3.250,3.500,93.250,0,0,0,0,122458578,385210,0,0,4306,8085
3.234,3.731,93.035,0,0,0,16384,122455542,385770,0,0,4310,8087
2.513,4.020,93.467,0,0,0,0,122447952,385140,0,0,4321,8071
3,4,88.250,4.750,0,0,34963456,122455542,384370,0,0,4436,8181
2.010,5.025,78.392,14.573,0,0,124518400,122457060,384650,0,0,4574,8144
3.283,3.030,85.354,8.333,0,0,141828096,122455542,384230,0,0,4457,8143
2.750,3.500,72.250,21.500,0,0,166502400,111810434,343432,0,0,4115,7858
2.778,4.545,70.202,22.475,0,0,167772160,112240305,344190,0,0,4175,7502
2.267,9.068,88.665,0,0,0,2097152,98928295,1131502,0,0,16531,32674
3.250,5.500,91.250,0,0,0,0,122450988,1399440,0,0,20376,40041
4,4.750,91.250,0,0,0,0,122455542,1399160,0,0,20325,40043
