"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/Http-1570546514-100-orig-jumbo-1500-9000-dstat.csv",,,,"Date:","08 Oct 2019 21:27:17 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.439,2.301,91.895,3.365,0,20245.619,24773525.554,0,0,0,0,10573.916,9117.778
0,0,100,0,0,0,0,0,0,0,0,1070,95
0,0,100,0,0,0,53248,0,0,0,0,1035,52
0,0,100,0,0,0,0,0,0,0,0,1038,45
0,0,100,0,0,0,0,0,0,0,0,1034,49
11.869,5.051,83.081,0,0,0,315392,88094683,2912054,0,0,58111,113279
15.578,8.291,76.131,0,0,0,0,122499600,4033080,0,0,80208,135839
14.937,8.354,76.709,0,0,0,36864,122409802,4045076,0,0,80658,105388
15.152,8.333,76.263,0.253,0,0,4096,122498050,4030632,0,0,80264,157211
14.578,8.184,77.238,0,0,0,0,122499600,4030530,0,0,80212,157384
16.203,7.089,76.709,0,0,0,0,122499600,4030632,0,0,80244,153631
15.190,8.101,76.709,0,0,0,0,122501150,4030326,0,0,80220,157471
14.578,8.184,77.238,0,0,0,8192,122499600,4030734,0,0,80237,157448
16.031,6.870,77.099,0,0,0,4096,122401950,4033218,0,0,80644,134415
14.787,9.524,75.689,0,0,0,0,122498050,4030224,0,0,80102,57755
14.899,8.586,76.515,0,0,0,0,122499600,4030428,0,0,80291,156254
16.203,7.342,76.456,0,0,0,0,122501150,4030632,0,0,80306,156940
15.696,7.848,76.456,0,0,0,8192,122502700,4030632,0,0,80278,141619
14.721,8.376,76.650,0.254,0,0,4096,122498050,4030632,0,0,80264,117205
16.121,8.060,66.247,9.572,0,0,75513856,122501150,4030530,0,0,80285,95519
15.722,6.959,65.206,12.113,0,0,106983424,122397300,4033332,0,0,81357,149999
14.975,8.883,51.269,24.873,0,0,164888576,122504250,4030632,0,0,80420,157350
15.857,7.161,52.174,24.808,0,0,168558592,122499600,4030632,0,0,80373,136605
9.596,5.808,39.646,44.949,0,0,167837696,74574567,2453916,0,0,49561,46004
0.252,0,53.904,45.844,0,0,167772160,0,0,0,0,1382,11167
0.253,0.253,53.788,45.707,0,0,167772160,78,78,0,0,1435,12706
0.503,0,54.020,45.477,0,0,169082880,0,0,0,0,1453,12334
0.503,0.251,53.769,45.477,0,0,168558592,0,0,0,0,1449,12124
0.504,0,54.408,45.088,0,0,167772160,0,0,0,0,1429,12003
1,0.250,53.500,45.250,0,0,167772160,0,0,0,0,1408,12012
0.504,0,54.156,45.340,0,0,169082880,0,0,0,0,1404,12186
0.252,0,54.156,45.592,0,0,167772160,0,0,0,0,1425,12087
7.789,9.045,66.583,16.583,0,0,67985408,60430181,2003336,0,0,40323,67263
15.522,8.142,76.336,0,0,0,0,122499600,4030632,0,0,80342,156551
15.990,7.614,76.396,0,0,0,0,122499600,4031958,0,0,80274,139615
15.789,8.271,75.940,0,0,0,0,122381902,4036608,0,0,80522,58293
15.869,8.312,75.819,0,0,0,0,122499600,4030632,0,0,80335,144478
16.031,7.634,76.336,0,0,0,122880,122501150,4030530,0,0,80302,142346
16.414,7.576,76.010,0,0,0,0,122499600,4030326,0,0,80249,128623
15.443,8.354,76.203,0,0,0,0,122501150,4030632,0,0,80293,156738
14.467,9.137,76.396,0,0,0,0,122498050,4030632,0,0,80304,156908
15.267,8.142,76.590,0,0,0,0,122401950,4033218,0,0,80744,154447
15.190,8.608,76.203,0,0,0,12288,122498050,4030632,0,0,80300,153700
15.228,8.376,76.142,0.254,0,0,0,122501150,4030530,0,0,80438,149769
15.051,8.163,76.786,0,0,0,0,122499600,4030632,0,0,80317,155621
15.288,9.023,75.689,0,0,0,0,122499600,4028082,0,0,80087,83174
15.617,8.564,68.766,7.053,0,0,48357376,122501150,4030632,0,0,80337,157160
15.857,7.673,58.056,18.414,0,0,102789120,122397402,4035190,0,0,80894,142274
15.869,8.564,57.431,18.136,0,0,127156224,122501150,4030326,0,0,80269,89309
14.937,9.114,57.722,18.228,0,0,132911104,122499600,4030530,0,0,80453,156705
12.723,7.379,55.216,24.682,0,0,169082880,102269967,3365184,0,0,67385,130426
10.579,11.335,75.819,2.267,0,0,23855104,81854383,2706626,0,0,54074,104875
14.541,8.673,76.786,0,0,0,65536,122498050,4031958,0,0,80265,145781
15.949,7.595,76.456,0,0,0,0,122501150,4030734,0,0,80300,156141
15.190,8.101,76.709,0,0,0,0,122499600,4030428,0,0,80247,157359
15.228,7.868,76.904,0,0,0,0,122501150,4030632,0,0,80189,157741
14.467,8.883,76.650,0,0,0,0,122498050,4030734,0,0,80296,157246
15.949,7.595,76.456,0,0,0,12288,122501150,4030020,0,0,80304,156825
14.937,8.354,76.709,0,0,0,0,122468600,4032876,0,0,80232,126989
15.696,7.848,76.456,0,0,0,0,122501150,4032162,0,0,80329,138849
15.190,8.101,76.456,0.253,0,0,0,122478002,4063406,0,0,80753,59919
15.327,8.543,76.131,0,0,0,0,122501150,4030530,0,0,80252,115769
16.285,7.125,76.590,0,0,0,12288,122501150,4030632,0,0,80320,145128
15.657,8.081,76.263,0,0,0,0,122498050,4030530,0,0,80192,100237
15.482,7.868,76.650,0,0,0,0,122499600,4030326,0,0,80262,138522
15.539,8.772,66.416,9.273,0,0,75513856,122401950,4051674,0,0,81031,154208
15.949,8.101,62.532,13.418,0,0,98615296,122499600,4030530,0,0,80457,156709
14.358,8.816,49.370,27.456,0,0,154435584,119089804,3871002,0,0,78084,108206
15.013,8.906,51.399,24.682,0,0,168558592,122499600,4030734,0,0,80477,156828
10.660,5.330,59.137,24.873,0,0,167772160,84088467,2767056,0,0,55608,107748
11.335,11.839,75.819,1.008,0,0,14680064,88148831,2913380,0,0,58154,113049
14.861,9.068,76.071,0,0,0,0,122499600,4032060,0,0,80244,139145
15.306,7.653,77.041,0,0,0,69632,122434602,4044756,0,0,80656,94494
15.327,8.794,75.879,0,0,0,0,122498050,4030530,0,0,80091,64942
15.522,7.634,76.845,0,0,0,0,122499600,4030632,0,0,80106,61927
16.291,8.020,75.689,0,0,0,0,122502700,4030530,0,0,80093,58279
14.358,9.572,76.071,0,0,0,0,122498050,4030738,0,0,80098,57889
14.975,8.376,76.650,0,0,0,12288,122499600,4029714,0,0,80275,128425
15.561,7.653,76.786,0,0,0,0,122501150,4030632,0,0,80331,153535
16.121,7.557,76.322,0,0,0,0,122400400,4033548,0,0,80765,144873
15.949,7.595,76.203,0.253,0,0,0,122498050,4030632,0,0,80377,156339
14.975,8.376,76.650,0,0,0,0,122501150,4030530,0,0,80296,156940
15.267,8.142,76.590,0,0,0,12288,122499600,4030428,0,0,80309,156806
15.617,8.312,76.071,0,0,0,0,122501150,4030632,0,0,80215,93121
14.615,8.205,67.692,9.487,0,0,75563008,122499600,4030632,0,0,80392,156890
16.244,7.360,64.467,11.929,0,0,108273664,122398850,4033014,0,0,81592,148382
16.113,7.417,51.662,24.808,0,0,167772160,122499600,4030632,0,0,80417,133536
