"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-macsec-aegis128l-we-1500-dstat.csv",,,,"Date:","08 Oct 2019 16:44:18 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.894,1.824,94.855,0.427,0,182079.778,9759718.408,0,0,0,0,16004.303,17065.369
1.809,1.292,96.899,0,0,0,0,442555,114236353,0,0,3883,338
0.262,0.262,99.475,0,0,0,0,476470,122460096,0,0,4079,228
0.263,0.263,99.474,0,0,0,0,474350,122450988,0,0,4066,220
0.263,0.263,99.474,0,0,0,0,475092,122443398,0,0,4063,215
0.264,0,99.736,0,0,0,61440,478130,122455542,0,0,4068,220
0.262,0.525,99.213,0,0,0,0,483360,122464650,0,0,4064,222
0,0.264,99.736,0,0,0,0,488236,122457060,0,0,4069,224
0,0.264,99.736,0,0,0,0,490038,122452506,0,0,4049,205
0.262,0.262,99.475,0,0,0,0,494066,122457060,0,0,4055,221
0.526,0.263,99.211,0,0,0,0,497034,122455542,0,0,4057,223
