"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-macsec-aes-gcm-we-jumbo-MACsec-Ethernet-dstat.csv",,,,"Date:","08 Oct 2019 16:39:00 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.970,1.826,94.793,0.411,0,214626.149,8537095.566,0,0,0,0,16450.029,17688.780
7.500,0.750,91.500,0.250,0,0,0,2053125,114658681,0,0,53620,437
7.980,0.249,91.771,0,0,0,0,2195896,123547389,0,0,57572,350
7.769,0,92.231,0,0,0,0,2195896,123553206,0,0,57575,359
8.229,0,91.771,0,0,0,90112,2196002,123553206,0,0,57587,352
7.286,0.251,92.462,0,0,0,0,2196002,123553206,0,0,57533,366
8.229,0,91.771,0,0,0,0,2195896,123550224,0,0,57566,338
7.980,0.249,91.771,0,0,0,0,2195896,123553206,0,0,57571,346
7.538,0,92.462,0,0,0,0,2196002,123553206,0,0,57565,335
7.538,0,91.206,1.256,0,0,18935808,2194942,123553206,0,0,57593,1070
7.980,0.249,91.771,0,0,0,0,2195896,123550224,0,0,57559,355
