"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-macsec-aesgcm-e-frag-jumbo-dstat.csv",,,,"Date:","08 Oct 2019 16:33:17 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.545,1.668,95.386,0.400,0,266162.301,8262191.435,0,0,0,0,13786.122,15205.933
0,1.562,98.438,0,0,0,0,414825,114875743,0,0,4068,317
0,0.263,99.737,0,0,0,0,444670,122582702,0,0,4046,207
0,0.262,99.738,0,0,0,0,446472,122796600,0,0,4078,230
0,0.262,99.738,0,0,0,0,445494,122690410,0,0,4047,205
0.261,0.261,99.217,0.261,0,0,61440,450288,122690408,0,0,4068,239
0,0.524,99.476,0,0,0,0,451666,122691926,0,0,4051,203
0.524,0,99.476,0,0,0,0,451524,122690410,0,0,4073,243
0,0.262,99.738,0,0,0,0,452726,122690408,0,0,4051,216
0.262,0.262,99.476,0,0,0,0,452620,122690410,0,0,4058,216
0,0.524,99.476,0,0,0,0,453762,122690408,0,0,4053,203
