"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-macsec-aesgcm-we-dstat.csv",,,,"Date:","08 Oct 2019 16:26:32 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.438,1.637,95.634,0.291,0,371306.577,6094966.644,0,0,0,0,14998.831,16516.742
0.262,1.312,98.425,0,0,0,0,443171,114119467,0,0,3881,315
0.525,0.262,99.213,0,0,0,0,487494,122455542,0,0,4065,221
0.264,0,99.736,0,0,0,0,483784,122452506,0,0,4069,236
0,0.526,99.474,0,0,0,0,492794,122454024,0,0,4072,213
0,0.265,99.735,0,0,0,57344,488848,122452506,0,0,4063,220
0.263,0.263,99.474,0,0,0,0,491628,122454115,0,0,4202,245
0.262,0.525,99.213,0,0,0,0,501789,122455542,0,0,4061,219
0,0.264,99.736,0,0,0,0,500956,122455542,0,0,4069,215
0,0.264,99.736,0,0,0,0,497140,122455542,0,0,4053,214
0.265,0,99.735,0,0,0,0,492370,122454024,0,0,4056,212
