"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-macsec-aesgcm-we-frag-jumbo-dstat.csv",,,,"Date:","08 Oct 2019 16:34:36 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.492,1.668,95.443,0.397,0,252205.996,8196281.863,0,0,0,0,13483.921,14847.407
3.846,1.026,95.128,0,0,0,0,427053,114749909,0,0,3998,398
3.618,0,96.382,0,0,0,0,457072,122690408,0,0,4153,283
3.608,0.258,96.134,0,0,0,0,453680,122687376,0,0,4159,295
4.348,0.256,95.396,0,0,0,0,455882,122690410,0,0,4207,299
3.109,0.259,96.632,0,0,0,61440,457602,122691926,0,0,4182,287
2.597,0.519,96.883,0,0,0,0,458768,122690408,0,0,4157,249
3.608,0.258,96.134,0,0,0,0,458638,122690410,0,0,4192,294
3.359,0.258,96.382,0,0,0,0,460782,122690408,0,0,4178,277
3.109,0.259,96.632,0,0,0,0,459192,122688892,0,0,4151,275
4.326,0.509,94.911,0.254,0,0,12288,454610,122691926,0,0,4207,314
