"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570544002-1-macsec-morus640-we-1500-dstat.csv",,,,"Date:","08 Oct 2019 16:46:56 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.793,1.805,94.966,0.437,0,169250.500,10042278.251,0,0,0,0,15453.939,16477.313
4.835,1.018,94.148,0,0,0,0,1988685,114556651,0,0,4018,420
3.618,0.258,96.124,0,0,0,0,2118516,122454024,0,0,4161,307
3.368,0.259,96.373,0,0,0,0,2118516,122452506,0,0,4166,301
2.350,0.261,97.389,0,0,0,0,2118516,122454024,0,0,4139,265
4.113,0.257,95.630,0,0,0,61440,2121634,122457060,0,0,4225,332
3.856,0.257,95.887,0,0,0,0,2118516,122450988,0,0,4209,298
3.608,0.258,96.134,0,0,0,0,2118622,122457060,0,0,4186,308
2.865,0.260,96.875,0,0,0,0,2118516,122455542,0,0,4147,289
2.618,0,97.382,0,0,0,0,2118516,122454024,0,0,4163,311
2.857,0.260,96.883,0,0,0,0,1361570,122455542,0,0,4153,278
