"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570546514-100-macsec-aegis128l-e-1500-dstat.csv",,,,"Date:","09 Oct 2019 12:40:35 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.901,3.146,86.264,4.689,0,8176.993,29226323.067,0,0,0,0,26365.266,29375.205
0.524,1.309,98.168,0,0,0,0,463477,114166525,0,0,5195,323
0,0.264,99.472,0.264,0,0,0,509118,122454024,0,0,4056,218
0,0.528,99.472,0,0,0,0,508058,122452506,0,0,4054,217
0,0,100,0,0,0,0,510708,122452506,0,0,4050,215
0.518,0.259,99.223,0,0,0,0,503252,122454024,0,0,4049,213
0,0.260,99.740,0,0,0,61440,511026,122455542,0,0,4077,228
0,0.260,99.740,0,0,0,0,510496,122455542,0,0,4069,217
0.260,0.260,99.481,0,0,0,0,510284,122452506,0,0,4053,217
0,0.519,99.481,0,0,0,0,510072,122454024,0,0,4055,218
0,0,100,0,0,0,0,499260,122455542,0,0,4049,213
1.039,1.558,97.403,0,0,0,0,419780,100658497,0,0,3486,584
0,0.265,99.735,0,0,0,40960,509542,122455542,0,0,4065,232
0,0.265,99.735,0,0,0,0,510496,122450988,0,0,4048,212
0.261,0,99.739,0,0,0,0,510708,122455542,0,0,4046,210
0.259,0.518,99.223,0,0,0,0,508764,122454024,0,0,4060,222
0,0.260,99.740,0,0,0,98304,512086,122454024,0,0,4080,224
0,0.260,99.740,0,0,0,0,511238,122452506,0,0,4048,213
0,0.260,99.740,0,0,0,12288,511047,122457060,0,0,4064,227
0.260,0.260,99.481,0,0,0,0,510496,122454024,0,0,4065,235
0.260,0.260,99.481,0,0,0,0,492729,122454171,0,0,4058,233
0,1.312,98.688,0,0,0,307200,412022,100816247,0,0,3545,575
0.263,0.526,99.211,0,0,0,0,508164,122454024,0,0,4048,208
0.264,0.264,99.472,0,0,0,0,508270,122454134,0,0,4072,233
0,0.264,99.472,0.264,0,0,57344,507422,122455542,0,0,4068,232
2.073,0.259,97.668,0,0,0,0,501344,122454024,0,0,4163,248
3.069,0.256,96.675,0,0,0,2195456,507210,122455542,0,0,4230,283
2.067,0.258,97.674,0,0,0,0,507634,122450988,0,0,4186,261
1.309,0,98.691,0,0,0,0,507846,122454024,0,0,4114,244
0.526,0.263,99.211,0,0,0,0,507316,122454024,0,0,4056,217
0,0.260,99.740,0,0,0,20480,493112,122454024,0,0,4057,223
1.031,1.546,97.423,0,0,0,20480,411021,100571637,0,0,3480,593
0.264,0.264,99.472,0,0,0,0,509436,122455542,0,0,4060,225
0,0,100,0,0,0,0,512192,122450988,0,0,4048,214
0,0.521,99.479,0,0,0,0,508482,122454024,0,0,4054,211
0,0.260,99.740,0,0,0,0,506644,122455542,0,0,4060,224
1.031,0,98.711,0.258,0,0,49152,509012,122454024,0,0,4152,250
2.538,0.254,97.208,0,0,0,0,509118,122454024,0,0,4201,258
2.046,0,97.954,0,0,0,0,510284,122452506,0,0,4162,246
2.290,0.254,97.455,0,0,0,0,508482,122455542,0,0,4172,264
2.290,0.254,97.455,0,0,0,0,496822,122455542,0,0,4166,259
3.030,1.263,95.707,0,0,0,0,419280,100714329,0,0,4560,616
0.265,0,99.735,0,0,0,40960,495546,122457060,0,0,4078,233
