"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570546514-100-macsec-aes-gcm-we-jumbo-Ethernet-dstat.csv",,,,"Date:","09 Oct 2019 08:22:28 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.475,3.088,86.915,4.523,0,10346.368,28824685.431,0,0,0,0,23275.631,26491.884
10.891,0.990,88.119,0,0,0,0,3918513,114485625,0,0,65155,484
11.139,0.248,88.614,0,0,0,0,4188737,122814321,0,0,69702,455
11.139,0.248,88.614,0,0,0,0,4188802,122817282,0,0,69735,444
10.864,0.494,88.395,0.247,0,0,94208,4188484,122818836,0,0,69779,448
10.945,0,89.055,0,0,0,0,4188272,122814174,0,0,69759,437
11.548,0.491,87.961,0,0,0,0,4188696,122815728,0,0,69748,452
11.358,0.247,88.395,0,0,0,0,4188696,122815728,0,0,69800,437
10.025,0.251,89.724,0,0,0,0,4188696,122815728,0,0,69735,417
10.723,0,89.277,0,0,0,0,4188590,122814174,0,0,69793,433
11.139,0.248,88.614,0,0,0,12288,4188802,122815728,0,0,69719,452
8.750,1.250,87.750,2.250,0,0,18890752,3480624,100945795,0,0,57652,707
11.386,0,88.614,0,0,0,0,4188590,122815728,0,0,69744,440
10.891,0.495,88.614,0,0,0,0,4188484,122815728,0,0,69759,449
10.697,0.249,89.055,0,0,0,0,4188590,122814174,0,0,69724,426
10.250,0.250,89.500,0,0,0,0,4188696,122817282,0,0,69766,414
11.414,0,88.586,0,0,0,57344,4188696,122814174,0,0,69748,462
11.358,0.247,88.395,0,0,0,0,4188378,122817282,0,0,69827,457
10.670,0.496,88.834,0,0,0,0,4188696,122815728,0,0,69768,427
11.139,0.248,88.614,0,0,0,0,4188696,122814174,0,0,69807,433
10.891,0.495,88.614,0,0,0,0,4188696,122815728,0,0,69796,441
8.521,1.253,90.226,0,0,0,0,3480290,100933365,0,0,57758,707
10.670,0.248,88.834,0.248,0,0,40960,4186046,122814280,0,0,69718,430
10.474,0.249,89.277,0,0,0,0,4188696,122815728,0,0,69767,435
10.697,0.249,89.055,0,0,0,0,4188590,122814174,0,0,69699,428
11.794,0.246,87.961,0,0,0,0,4188696,122817282,0,0,69723,455
10.697,0.249,89.055,0,0,0,0,4188802,122817282,0,0,69803,431
10.918,0.248,88.834,0,0,0,0,4188696,122815728,0,0,69735,444
11.084,0.493,88.177,0.246,0,0,12288,4188696,122818836,0,0,69577,464
11.166,0,88.834,0,0,0,0,4188590,122814174,0,0,69634,462
10.276,0.251,89.474,0,0,0,0,4188590,122814174,0,0,69636,435
8.728,1.496,89.776,0,0,0,278528,3478383,100888297,0,0,57645,741
10,0.500,89.500,0,0,0,0,4188505,122814174,0,0,69853,418
11.358,0.247,88.395,0,0,0,0,4188802,122815728,0,0,69793,451
11.139,0.248,88.614,0,0,0,53248,4188737,122815985,0,0,69790,468
10.918,0.248,88.834,0,0,0,0,4188378,122815728,0,0,69780,435
11.386,0.248,88.366,0,0,0,94208,4188484,122815728,0,0,69828,459
10.918,0.248,88.834,0,0,0,0,4188802,122817282,0,0,69803,456
11.111,0.247,88.642,0,0,0,0,4188590,122814174,0,0,69840,432
10.891,0.495,88.366,0.248,0,0,0,4188590,122815728,0,0,69823,436
10.918,0.248,88.834,0,0,0,12288,4188590,122815728,0,0,69850,441
9,1,90,0,0,0,0,3478594,100888298,0,0,57760,723
10.945,0,89.055,0,0,0,0,4188696,122815728,0,0,69737,427
10.474,0.249,89.277,0,0,0,0,4188590,122814174,0,0,69722,425
10.918,0.248,88.834,0,0,0,0,4188590,122815728,0,0,69697,428
10.474,0.249,89.277,0,0,0,0,4188696,122817282,0,0,69751,439
10,0.250,89.500,0.250,0,0,40960,4188590,122814174,0,0,69749,422
11.358,0.247,88.395,0,0,0,0,4185622,122818836,0,0,69760,448
10.025,0.251,89.724,0,0,0,0,4188060,122797080,0,0,69676,418
10.474,0.249,89.277,0,0,0,0,4188696,122815728,0,0,69722,428
