"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570546514-100-macsec-aesgcm-e-jumbo-dstat.csv",,,,"Date:","09 Oct 2019 04:03:47 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.354,3.126,87.212,4.308,0,14088.071,28137739.736,0,0,0,0,24819.447,26918.445
4.061,1.015,94.924,0,0,0,0,505949,114976579,0,0,4796,316
5.926,0.247,93.827,0,0,0,0,538268,122815728,0,0,5029,287
3.299,0.254,96.447,0,0,0,0,538692,122817282,0,0,5030,263
5.707,0.248,94.045,0,0,0,0,538268,122814174,0,0,5030,283
4.282,0,95.718,0,0,0,0,538480,122814174,0,0,5028,256
4.030,0.504,95.466,0,0,0,61440,537738,122807958,0,0,5033,279
6.404,0,93.596,0,0,0,0,537208,122825052,0,0,5031,305
3.299,0.254,96.447,0,0,0,0,536996,122818836,0,0,5028,253
4.988,0.249,94.763,0,0,0,0,536890,122803296,0,0,5028,282
5.926,0,93.827,0.247,0,0,0,537208,122814174,0,0,5029,284
3.291,1.519,95.190,0,0,0,0,1651804,100883636,0,0,4352,620
5.985,0,94.015,0,0,0,40960,2156146,122811066,0,0,5034,306
5.970,0.249,93.781,0,0,0,0,2154450,122812620,0,0,5027,295
6.880,0.246,92.875,0,0,0,0,2155192,122823498,0,0,5031,306
4.786,0.252,94.962,0,0,0,0,2156676,122812620,0,0,5047,318
4.786,0.252,94.962,0,0,0,0,2155616,122811066,0,0,5030,282
6.880,0.246,92.875,0,0,0,0,2154768,122825162,0,0,5026,311
3.807,0.254,95.685,0.254,0,0,12288,2154577,122817282,0,0,5037,285
5.693,0.495,93.812,0,0,0,0,774477,122812620,0,0,5032,302
4.988,0.249,94.763,0,0,0,0,562648,122815728,0,0,5028,273
4.051,1.266,94.684,0,0,0,0,1338801,100352169,0,0,4328,653
7.711,0,92.289,0,0,0,0,2156358,122825052,0,0,5029,314
5.556,0.505,93.939,0,0,0,356352,2155192,122817282,0,0,5090,317
7.353,0.245,92.157,0.245,0,0,57344,2155404,122815728,0,0,5035,328
4.061,0.254,95.685,0,0,0,0,2155722,122814174,0,0,5027,261
5.955,0.248,93.797,0,0,0,0,2155934,122814174,0,0,5027,291
6.436,0.248,93.317,0,0,0,0,2156146,122820390,0,0,5030,295
3.571,0.255,96.173,0,0,0,0,2155086,122804850,0,0,5028,273
6.650,0.246,93.103,0,0,0,1126400,2154344,122814174,0,0,5028,312
5.514,0,94.486,0,0,0,24576,2154768,122828160,0,0,5032,287
5.013,1.253,93.734,0,0,0,0,1755453,99850226,0,0,4313,670
4.847,0.255,94.898,0,0,0,0,2155298,122803296,0,0,5030,276
7.371,0,92.629,0,0,0,0,2154450,122812620,0,0,5027,345
5.500,0.250,94.250,0,0,0,28672,2156040,122831268,0,0,5031,292
3.562,0.509,95.929,0,0,0,0,2156676,122814174,0,0,5031,271
5.211,0.248,94.293,0.248,0,0,49152,696844,122814174,0,0,5034,301
4.750,0.250,95,0,0,0,0,547702,122815728,0,0,5028,264
3.544,0.253,96.203,0,0,0,0,547066,122817282,0,0,5030,273
6.388,0.246,93.366,0,0,0,0,547172,122814174,0,0,5034,296
3.797,0.253,95.949,0,0,0,0,546642,122811066,0,0,5029,254
5.211,1.241,93.548,0,0,0,0,697056,100317980,0,0,4327,675
6.266,0,93.734,0,0,0,40960,2154026,122804850,0,0,5035,318
4.762,0.501,94.737,0,0,0,0,2153284,122826606,0,0,5030,317
6.897,0.246,92.857,0,0,0,0,2152436,122815728,0,0,5027,291
3.797,0.253,95.696,0.253,0,0,0,2153496,122811066,0,0,5029,264
6.436,0.248,93.317,0,0,0,0,2153920,122812620,0,0,5028,288
5.721,0.498,93.781,0,0,0,20480,2153602,122825052,0,0,5039,306
4.282,0.504,95.214,0,0,0,0,2153178,122815728,0,0,5026,276
6.436,0.248,93.317,0,0,0,0,2152118,122806404,0,0,5044,381
4.545,0,95.455,0,0,0,0,2154132,122826606,0,0,5038,289
4.282,0.504,95.214,0,0,0,0,1850213,105500358,0,0,4494,616
6.045,1.008,92.947,0,0,0,0,2084916,118719596,0,0,4904,304
3.535,0.505,95.707,0.253,0,0,40960,763200,122801742,0,0,5032,275
6.373,0.245,93.382,0,0,0,65536,534982,122825052,0,0,5040,287
4.534,0,95.466,0,0,0,0,535724,122817282,0,0,5032,268
3.788,0.253,95.960,0,0,0,0,535088,122804850,0,0,5027,261
6.846,0.244,92.910,0,0,0,0,536148,122814174,0,0,5031,307
3.308,0,96.692,0,0,0,0,535406,122829714,0,0,5030,261
5.211,0.496,94.293,0,0,0,12288,535512,122815728,0,0,5038,307
5.237,0,94.763,0,0,0,0,535088,122803296,0,0,5025,270
3.299,0.254,96.447,0,0,0,0,534876,122828160,0,0,5029,257
4.569,1.015,94.416,0,0,0,0,1695716,100840124,0,0,4347,615
8.374,0.246,91.379,0,0,0,0,2156146,122814174,0,0,5036,326
4.847,0.255,94.898,0,0,0,237568,2155192,122812620,0,0,5080,298
6.897,0.246,92.611,0.246,0,0,45056,2154768,122806404,0,0,5031,331
4.774,0.251,94.975,0,0,0,0,2156146,122832822,0,0,5027,273
4.786,0.252,94.962,0,0,0,0,2156676,122798634,0,0,5032,292
4.750,0.500,94.750,0,0,0,0,999368,122829714,0,0,5027,280
5,0,95,0,0,0,0,546854,122815728,0,0,5031,276
3.544,0.253,96.203,0,0,0,8192,546960,122817282,0,0,5032,270
5.955,0,94.045,0,0,0,20480,546430,122814174,0,0,5039,313
5.446,1.238,93.317,0,0,0,0,1396336,101283013,0,0,4365,647
4.304,0.253,95.443,0,0,0,0,2155722,122814174,0,0,5028,281
6.880,0.246,92.875,0,0,0,0,2154132,122803296,0,0,5028,300
5.736,0.249,94.015,0,0,0,32768,2155828,122817282,0,0,5037,316
5.263,0.251,94.486,0,0,0,0,2156782,122826716,0,0,5029,281
4.534,0.252,94.962,0.252,0,0,49152,2156146,122803296,0,0,5034,301
6.650,0.246,93.103,0,0,0,0,2155616,122832822,0,0,5027,304
4.315,0,95.685,0,0,0,0,2155192,122812620,0,0,5034,270
5.486,0.249,94.264,0,0,0,0,2156252,122817282,0,0,5028,295
5.736,0.249,94.015,0,0,0,0,2156570,122814174,0,0,5031,290
5,1.500,93.500,0,0,0,0,1769560,100782626,0,0,4348,645
5.089,0,94.911,0,0,0,40960,2152583,122826606,0,0,5041,303
5,0.500,94.500,0,0,0,0,2153708,122815728,0,0,5029,293
