"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570546514-100-macsec-aesgcm-we-frag-dstat.csv",,,,"Date:","09 Oct 2019 03:10:55 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.183,3.090,87.431,4.296,0,15214.109,28017078.836,0,0,0,0,25312.312,27091.904
7.519,1.253,91.228,0,0,0,0,1978609,112470567,0,0,17450,429
8.685,0.496,90.819,0,0,0,0,2120206,120655568,0,0,18644,373
7.789,0.251,91.960,0,0,0,0,2118516,120657174,0,0,18641,362
8,0.500,91.500,0,0,0,0,2120206,120653962,0,0,18644,349
9.158,0.248,90.347,0.248,0,0,69632,2118410,120658692,0,0,18644,418
8.250,0.250,91.500,0,0,0,0,2120312,120654050,0,0,18631,359
7.789,0.251,91.960,0,0,0,0,2118516,120655568,0,0,18633,378
8.209,0.498,91.294,0,0,0,0,2120100,120655568,0,0,18612,372
8.500,0,91.500,0,0,0,0,2121274,120657174,0,0,18620,407
8.479,0.249,91.272,0,0,0,0,2118516,120657174,0,0,18631,372
6.549,1.259,92.191,0,0,0,12288,1734532,98913001,0,0,15406,692
7.557,0.252,92.191,0,0,0,0,2121490,120655568,0,0,18629,357
8.706,0.249,91.045,0,0,0,0,2118516,120655568,0,0,18617,388
8.479,0.249,91.272,0,0,0,0,2119464,120617024,0,0,18623,364
8.685,0.496,90.819,0,0,0,0,2118410,120657174,0,0,18644,394
8.040,0,91.960,0,0,0,0,2120100,120655568,0,0,18637,358
8.040,0,91.960,0,0,0,40960,2118516,120655568,0,0,18635,386
8.250,0.250,91.500,0,0,0,0,2120227,120655568,0,0,18635,367
8.889,0.494,90.370,0.247,0,0,0,2118516,120657174,0,0,18647,397
8.458,0.498,91.045,0,0,0,0,2120353,120654109,0,0,18642,384
3.886,1.554,94.560,0,0,0,389120,1736463,98930436,0,0,15447,669
8.706,0.249,91.045,0,0,0,0,2118516,120654160,0,0,18646,379
8.458,0.498,91.045,0,0,0,45056,2120206,120655480,0,0,18659,401
8.728,0,91.272,0,0,0,0,2120206,120655568,0,0,18636,365
8.500,0.250,91.250,0,0,0,0,2118516,120658780,0,0,18637,390
8.250,0.250,91.500,0,0,0,2252800,2120206,120657174,0,0,18667,380
8.479,0.249,91.272,0,0,0,0,2118516,120653962,0,0,18651,393
8.458,0.498,91.045,0,0,0,0,2120206,120653962,0,0,18648,363
7.557,0.252,91.940,0.252,0,0,20480,2118516,120657174,0,0,18637,377
8.250,0.250,91.500,0,0,0,0,2120206,120650750,0,0,18635,369
7.250,1,91.750,0,0,0,20480,1735508,98949886,0,0,15413,689
8.229,0.499,91.272,0,0,0,0,2118516,120655568,0,0,18622,359
8.271,0.251,91.479,0,0,0,0,2120206,120657174,0,0,18648,380
8.706,0.249,91.045,0,0,0,0,2118516,120653962,0,0,18627,361
8.479,0.249,91.272,0,0,0,49152,2121286,120657174,0,0,18667,406
7.769,0.501,91.729,0,0,0,0,2120100,120655568,0,0,18637,345
8.458,0.498,91.045,0,0,0,0,2118516,120655568,0,0,18647,390
8.706,0.249,91.045,0,0,0,0,2120312,120657174,0,0,18642,363
8.060,0,91.940,0,0,0,0,2118410,120653962,0,0,18641,376
8.020,0.251,91.729,0,0,0,0,2120206,120658780,0,0,18642,364
8.374,0.985,90.394,0.246,0,0,12288,1736207,98909736,0,0,15446,750
7.769,0.501,91.729,0,0,0,0,2118516,120658780,0,0,18623,352
8.250,0.250,91.500,0,0,0,0,2120088,120655568,0,0,18657,388
8.040,0,91.960,0,0,0,0,2118516,120655568,0,0,18620,346
8.040,0.251,91.709,0,0,0,0,2120088,120655568,0,0,18645,377
8.706,0.249,91.045,0,0,0,0,2117668,120608994,0,0,18617,368
8.479,0.249,91.272,0,0,0,40960,2120088,120655568,0,0,18661,404
8.250,0.250,91.500,0,0,0,0,2120206,120657086,0,0,18629,364
7.557,0.252,92.191,0,0,0,0,2118516,120654050,0,0,18637,359
7.789,0.251,91.960,0,0,0,0,2120206,120653962,0,0,18638,355
7.018,0.752,92.231,0,0,0,212992,1797913,102317455,0,0,15959,418
9.136,0.988,89.877,0,0,0,0,2057070,117308876,0,0,18150,459
8.479,0.249,91.272,0,0,0,57344,2119982,120655568,0,0,18615,427
8.479,0,91.521,0,0,0,0,2118410,120653962,0,0,18602,373
8.250,0.250,91.500,0,0,0,0,2120418,120658780,0,0,18648,446
8.020,0.251,91.729,0,0,0,0,2117244,120655568,0,0,18625,356
8.250,0.250,91.250,0.250,0,0,61440,2120206,120655568,0,0,18666,390
7.769,0.501,91.729,0,0,0,0,2118516,120653962,0,0,18635,349
8.458,0.498,91.045,0,0,0,12288,2120088,120657174,0,0,18670,409
8.020,0.251,91.729,0,0,0,0,2120206,120655568,0,0,18642,358
8.479,0.249,91.272,0,0,0,0,2118198,120655568,0,0,18638,393
7.481,0.998,91.521,0,0,0,45056,1739364,98919372,0,0,15423,703
8.706,0.249,91.045,0,0,0,0,2120100,120655568,0,0,18648,392
8.020,0.251,91.729,0,0,0,0,2118516,120657174,0,0,18631,357
8,0.500,91.250,0.250,0,0,49152,2121474,120655568,0,0,18653,399
8.020,0.251,91.729,0,0,0,0,2118410,120653962,0,0,18637,360
8.250,0.250,91.500,0,0,0,0,2121368,120658780,0,0,18656,390
8.706,0.249,91.045,0,0,0,0,2118516,120653962,0,0,18628,365
8.479,0.249,91.272,0,0,0,0,2120100,120657174,0,0,18651,413
8.458,0.746,90.796,0,0,0,0,2118516,120655568,0,0,18647,403
8.229,0.499,91.272,0,0,0,12288,2120100,120655568,0,0,18668,416
6.784,1.005,92.211,0,0,0,0,1741623,98880825,0,0,15406,698
8.728,0,91.272,0,0,0,0,2118622,120660386,0,0,18625,389
8.020,0.251,91.729,0,0,0,0,2119994,120655568,0,0,18639,358
8.479,0.249,91.272,0,0,0,0,2119358,120605782,0,0,18640,391
7.789,0.251,91.960,0,0,0,0,2118516,120652356,0,0,18631,355
8.955,0,90.796,0.249,0,0,40960,2120194,120660386,0,0,18647,408
8.458,0.498,91.045,0,0,0,0,2118410,120653962,0,0,18633,368
7.789,0.251,91.960,0,0,0,0,2120206,120657174,0,0,18654,371
8.479,0.249,91.272,0,0,0,0,2118516,120655480,0,0,18624,369
8.250,0.500,91.250,0,0,0,0,2121262,120655656,0,0,18648,374
8.128,1.724,90.148,0,0,0,241664,1738300,98919283,0,0,15528,757
8.458,0.498,91.045,0,0,0,45056,2118622,120658868,0,0,18650,398
8.458,0.498,91.045,0,0,0,0,2120247,120650897,0,0,18646,390
7.809,0,92.191,0,0,0,0,2118516,120657174,0,0,18620,360
8.250,0.250,91.500,0,0,0,0,2121286,120655480,0,0,18659,384
8.250,0.250,91.500,0,0,0,0,2120206,120657174,0,0,18644,380
7.769,0.501,91.729,0,0,0,0,2118516,120654072,0,0,18641,368
8,0.250,91.500,0.250,0,0,12288,2120206,120657086,0,0,18636,379
8.500,0.250,91.250,0,0,0,0,2118516,120653874,0,0,18627,380
8.020,0.251,91.729,0,0,0,0,2119994,120654050,0,0,18647,372
6.549,1.008,92.443,0,0,0,12288,1738940,98964340,0,0,15441,434
8.706,0.498,90.796,0,0,0,0,2118516,120653962,0,0,18638,379
8.250,0.250,91.500,0,0,0,0,2120312,120655568,0,0,18637,361
8.479,0.249,91.272,0,0,0,40960,2118516,120657174,0,0,18632,397
8.040,0,91.960,0,0,0,0,2121298,120655568,0,0,18650,358
8.685,0.496,90.819,0,0,0,4096,2118410,120657174,0,0,18638,387
8.479,0.249,91.272,0,0,0,0,2120100,120653962,0,0,18645,363
8.250,0.250,91.500,0,0,0,0,2120206,120657174,0,0,18642,371
8.020,0.251,91.729,0,0,0,0,2118516,120653962,0,0,18626,363
8.020,0.251,91.479,0.251,0,0,12288,2120206,120657174,0,0,18645,378
6.983,1.496,91.521,0,0,0,0,1740393,98932132,0,0,15442,417
7.789,0.251,91.960,0,0,0,32768,2115300,120674840,0,0,18660,401
8.479,0.249,91.272,0,0,0,0,2120206,120654050,0,0,18645,375
8.271,0,91.729,0,0,0,0,2118410,120655568,0,0,18624,371
8,0.500,91.500,0,0,0,0,2120206,120657174,0,0,18641,355
8.040,0.251,91.709,0,0,0,49152,2118198,120633084,0,0,18634,386
8,0.500,91.500,0,0,0,0,2120206,120655568,0,0,18653,357
8.479,0.249,91.272,0,0,0,0,2118516,120655568,0,0,18628,377
