"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570546514-100-macsec-aesgcm-we-jumbo-dstat.csv",,,,"Date:","09 Oct 2019 04:55:54 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.332,3.073,87.185,4.411,0,13129.952,28318798.292,0,0,0,0,23589.001,25713.581
7.125,0.983,91.892,0,0,0,0,504253,115100899,0,0,4796,378
3.308,0.509,96.183,0,0,0,0,535724,122829714,0,0,5028,279
6.650,0.246,93.103,0,0,0,0,535830,122815728,0,0,5030,340
5.013,0.251,94.737,0,0,0,0,535300,122800188,0,0,5029,265
4.051,0.506,95.443,0,0,0,57344,534770,122831268,0,0,5031,269
6.650,0,93.103,0.246,0,0,0,534664,122814174,0,0,5028,302
4.051,0.253,95.696,0,0,0,0,535406,122815728,0,0,5029,259
5.013,0.251,94.737,0,0,0,0,535088,122803406,0,0,5031,290
6.203,0,93.797,0,0,0,0,535088,122831268,0,0,5026,273
3.562,0.254,96.183,0,0,0,0,535194,122815728,0,0,5028,277
5.025,1.508,93.467,0,0,0,12288,451789,100241833,0,0,4339,636
7.444,0.248,92.308,0,0,0,0,551094,122803296,0,0,5030,343
6.045,0,93.955,0,0,0,0,551624,122831268,0,0,5026,276
6.173,0.494,93.333,0,0,0,0,554592,122815728,0,0,5029,328
5.736,0,94.264,0,0,0,0,554380,122800188,0,0,5031,292
3.797,0.506,95.696,0,0,0,0,554062,122831268,0,0,5030,259
6.897,0,92.857,0.246,0,0,40960,554062,122815728,0,0,5030,320
4.304,0,95.696,0,0,0,0,554613,122815728,0,0,5029,271
4.762,0.501,94.737,0,0,0,0,554274,122803443,0,0,5032,289
6.436,0,93.564,0,0,0,0,554209,122831268,0,0,5031,312
4.545,1.263,94.192,0,0,0,348160,1134187,100782626,0,0,4412,646
7.862,0.246,91.892,0,0,0,0,555016,122811066,0,0,5030,315
3.807,0.254,95.939,0,0,0,57344,557136,122826606,0,0,5035,295
6.897,0,93.103,0,0,0,0,555758,122815728,0,0,5031,338
3.316,0.255,96.429,0,0,0,0,554274,122809512,0,0,5027,254
6.404,0.246,93.103,0.246,0,0,2326528,539540,122812620,0,0,5037,309
3.562,0.254,96.183,0,0,0,0,539540,122811066,0,0,5032,288
6.420,0.247,93.333,0,0,0,0,539646,122829714,0,0,5033,325
5.721,0.249,94.030,0,0,0,20480,538692,122815728,0,0,5031,317
3.807,0.254,95.939,0,0,0,0,539646,122817282,0,0,5030,284
4.293,1.010,94.697,0,0,0,20480,446283,100589931,0,0,4352,617
6.484,0,93.516,0,0,0,0,538374,122804850,0,0,5031,283
4.051,0.253,95.696,0,0,0,0,539858,122829714,0,0,5027,272
7.108,0.245,92.647,0,0,0,0,540070,122817282,0,0,5028,301
3.807,0.254,95.939,0,0,0,49152,540176,122815728,0,0,5033,272
5.473,0.498,94.030,0,0,0,0,539116,122815728,0,0,5029,289
6.436,0,93.564,0,0,0,0,529894,122817282,0,0,5026,287
3.562,0.254,96.183,0,0,0,0,528622,122817282,0,0,5028,257
5.941,0.248,93.812,0,0,0,0,528728,122806404,0,0,5029,303
5.736,0,94.264,0,0,0,0,528092,122812620,0,0,5032,285
3.797,1.013,94.937,0.253,0,0,12288,440559,100614794,0,0,4352,615
6.983,0.249,92.768,0,0,0,0,539964,122815728,0,0,5031,309
6.250,0,93.750,0,0,0,274432,542296,122803296,0,0,5086,350
4.293,0.253,95.455,0,0,0,0,543992,122828160,0,0,5030,273
6.404,0.493,93.103,0,0,0,0,544098,122815728,0,0,5025,291
3.807,0,95.939,0.254,0,0,0,544204,122814174,0,0,5029,264
5.941,0.495,93.564,0,0,0,0,544416,122815728,0,0,5030,300
5.500,0,94.500,0,0,0,0,543144,122818836,0,0,5028,275
3.807,0.254,95.939,0,0,0,12288,543038,122815728,0,0,5030,272
6.880,0.246,92.875,0,0,0,0,543038,122804850,0,0,5028,313
3.308,0.509,96.183,0,0,0,45056,461392,104055137,0,0,4449,570
