"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570546514-100-macsec-chachapoly-e-1500-dstat.csv",,,,"Date:","09 Oct 2019 11:48:45 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.947,3.164,86.186,4.703,0,8536.476,29201101.362,0,0,0,0,27332.806,30416.159
1.622,1.351,97.027,0,0,0,0,452645,114028387,0,0,3889,333
0,0.275,99.725,0,0,0,0,484420,122454024,0,0,4056,212
0.542,0.271,99.187,0,0,0,0,483360,122452506,0,0,4092,248
0.542,0.271,99.187,0,0,0,61440,481558,122455542,0,0,4081,229
0.806,0.806,98.387,0,0,0,0,477188,122454024,0,0,4108,223
0.811,0.270,98.919,0,0,0,0,482936,122452506,0,0,4068,215
0.542,0,99.187,0.271,0,0,0,482618,122454024,0,0,4082,238
0.271,0.271,99.458,0,0,0,0,483360,122454024,0,0,4062,205
0.811,0.270,98.919,0,0,0,0,482406,122454024,0,0,4068,238
0.272,0.272,99.457,0,0,0,12288,483254,122454024,0,0,4056,216
3.175,1.058,95.767,0,0,0,0,401485,100466894,0,0,3530,654
0.275,0.275,99.451,0,0,0,0,492264,122449470,0,0,4054,210
0.271,0.542,99.187,0,0,0,0,489826,122454024,0,0,4058,221
0.811,0.270,98.919,0,0,0,0,481452,122454024,0,0,4052,220
0.272,0,99.728,0,0,0,0,478884,122454024,0,0,4073,225
0.270,0.541,98.919,0.270,0,0,45056,476046,122414666,0,0,4090,228
0.272,0,99.728,0,0,0,0,474668,122452506,0,0,4053,208
0,0.543,99.457,0,0,0,0,476385,122455542,0,0,4053,222
0,0.272,99.728,0,0,0,0,474456,122452506,0,0,4064,231
0.272,0.272,99.457,0,0,0,0,474138,122454171,0,0,4063,221
3.403,1.571,95.026,0,0,0,393216,391622,100489665,0,0,3605,667
0.551,0.275,99.174,0,0,0,49152,477530,122454024,0,0,4082,234
0.822,0.548,98.630,0,0,0,0,479544,122454024,0,0,4076,249
1.362,0,98.365,0.272,0,0,0,477848,122454024,0,0,4058,232
0.276,0.276,99.448,0,0,0,0,473584,122413038,0,0,4068,250
0,0,100,0,0,0,2162688,488978,122454024,0,0,4062,224
0.271,0.271,99.458,0,0,0,0,487600,122454024,0,0,4073,224
2.910,0.265,96.825,0,0,0,24576,489720,122454024,0,0,4153,273
4.427,0.260,95.312,0,0,0,0,489190,122454024,0,0,4166,301
3.421,0.263,96.316,0,0,0,0,488130,122454024,0,0,4147,273
5.141,0.771,94.087,0,0,0,20480,399088,100005424,0,0,3564,682
4.749,0,95.251,0,0,0,0,484420,122454024,0,0,4176,295
3.723,0.266,96.011,0,0,0,0,491628,122454024,0,0,4159,283
3.714,0.265,95.756,0.265,0,0,53248,492476,122454024,0,0,4160,293
4.987,0.262,94.751,0,0,0,0,492370,122455542,0,0,4169,322
4.749,0,95.251,0,0,0,0,487988,122455542,0,0,4190,316
4.474,0.526,95,0,0,0,0,490462,122425182,0,0,4204,290
3.723,0.266,96.011,0,0,0,0,477212,122455542,0,0,4153,281
4.485,0.264,95.251,0,0,0,0,477106,122454024,0,0,4180,316
3.989,0,96.011,0,0,0,12288,475092,122455542,0,0,4165,303
4.663,1.554,93.782,0,0,0,0,392466,100465373,0,0,3561,651
4.497,0,95.503,0,0,0,0,484352,122454024,0,0,4187,294
4.233,0.265,95.503,0,0,0,0,488766,122458578,0,0,4175,319
4.233,0.265,95.503,0,0,0,0,489614,122450988,0,0,4148,281
4.497,0,95.503,0,0,0,0,490780,122452506,0,0,4160,297
3.714,0.265,95.756,0.265,0,0,45056,482276,122454024,0,0,4182,284
5.483,0.261,94.256,0,0,0,0,490674,122457060,0,0,4219,331
3.979,0.265,95.756,0,0,0,0,490144,122452506,0,0,4161,283
3.467,0.267,96.267,0,0,0,0,490250,122455542,0,0,4160,278
4.244,0,95.756,0,0,0,0,488978,122434290,0,0,4179,347
5.483,0.522,93.995,0,0,0,225280,430143,109293283,0,0,3851,655
1.882,1.613,96.237,0.269,0,0,57344,442551,113056973,0,0,3914,379
0.549,0.549,98.901,0,0,0,0,487176,122452506,0,0,4061,230
0.274,0.548,99.178,0,0,0,0,484950,122450988,0,0,4057,211
0.272,0.272,99.457,0,0,0,0,485056,122454024,0,0,4067,239
0.811,0.270,98.919,0,0,0,40960,477918,122455542,0,0,4073,224
0.542,0.271,99.187,0,0,0,36864,484632,122452506,0,0,4078,230
0,0.272,99.457,0.272,0,0,0,478590,122455542,0,0,4053,222
0,0.272,99.728,0,0,0,0,485268,122452506,0,0,4072,233
0.542,0.271,99.187,0,0,0,0,483678,122454024,0,0,4048,213
0,0.272,99.728,0,0,0,0,485268,122454024,0,0,4060,215
0.811,1.351,97.838,0,0,0,32768,393754,100650574,0,0,3466,574
1.093,0.546,98.361,0,0,0,53248,489402,122452506,0,0,4099,272
0.275,0.275,99.449,0,0,0,0,489402,122450988,0,0,4064,222
0.824,0.275,98.901,0,0,0,0,491204,122457060,0,0,4060,220
0.551,0.275,99.174,0,0,0,0,482476,122454024,0,0,4069,220
1.630,0.272,98.098,0,0,0,0,489084,122455542,0,0,4120,260
0.824,0.275,98.901,0,0,0,0,488872,122454024,0,0,4068,230
1.362,0.272,98.093,0.272,0,0,12288,490780,122452506,0,0,4090,267
0.276,0,99.724,0,0,0,0,489614,122454024,0,0,4053,211
0.822,0.548,98.630,0,0,0,0,490780,122452506,0,0,4078,249
2.910,1.323,95.767,0,0,0,0,396817,100424389,0,0,3544,621
0.824,0.275,98.901,0,0,0,0,486858,122455542,0,0,4080,233
0.822,0.274,98.904,0,0,0,0,478166,122455542,0,0,4059,225
0.552,0.276,99.171,0,0,0,45056,475516,122452506,0,0,4091,252
0.549,0.275,99.176,0,0,0,0,485480,122450988,0,0,4059,215
0.551,0.275,99.174,0,0,0,0,481346,122458578,0,0,4100,230
0.548,0.548,98.904,0,0,0,0,487282,122452616,0,0,4076,229
0,0.277,99.723,0,0,0,0,487070,122449470,0,0,4075,235
0.276,0,99.724,0,0,0,0,488342,122458578,0,0,4051,209
0.813,0.271,98.645,0.271,0,0,12288,485162,122452506,0,0,4068,245
3.141,1.309,95.550,0,0,0,217088,393602,100503433,0,0,3565,662
4.724,0.525,94.751,0,0,0,0,490038,122454024,0,0,4199,322
4.485,0.264,95.251,0,0,0,0,490780,122454171,0,0,4156,305
3.733,0,96.267,0,0,0,0,493006,122452506,0,0,4148,275
4.987,0.262,94.751,0,0,0,0,491522,122452506,0,0,4163,316
5,0.263,94.737,0,0,0,49152,476446,122457060,0,0,4214,337
5.236,0,94.764,0,0,0,0,491628,122449470,0,0,4197,313
4.724,0.525,94.751,0,0,0,0,491734,122457060,0,0,4163,299
3.476,0,96.524,0,0,0,0,493006,122454024,0,0,4144,275
4.737,0.263,95,0,0,0,0,491946,122454024,0,0,4170,313
3.947,0.789,95.263,0,0,0,73728,402674,100290807,0,0,3542,628
0.817,0.545,98.365,0.272,0,0,53248,472678,122437326,0,0,4091,247
0.274,0,99.726,0,0,0,0,486116,122450988,0,0,4055,219
1.344,0.269,98.387,0,0,0,0,494490,122455542,0,0,4085,247
4.427,0,95.573,0,0,0,0,494066,122452506,0,0,4157,297
