"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570546514-100-orig-dstat.csv",,,,"Date:","08 Oct 2019 19:27:55 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.614,2.328,92.676,3.381,0,32385.245,25098128.954,0,0,0,0,7909.172,10171.603
0.779,1.299,97.922,0,0,0,0,441891,114599959,0,0,4136,320
0.263,0,99.737,0,0,0,0,488988,122767232,0,0,4051,215
0.261,0.261,99.217,0.261,0,0,0,488682,122767232,0,0,4054,212
0,0.263,99.737,0,0,0,0,490212,122764204,0,0,4046,210
0,0.263,99.737,0,0,0,57344,478776,122768746,0,0,4073,233
0.262,0.262,99.476,0,0,0,0,486132,122765718,0,0,4068,207
0.262,0.262,99.475,0,0,0,0,489090,122767232,0,0,4066,223
1.828,0.261,97.911,0,0,0,28672,490518,122768746,0,0,4153,523
0,0.267,99.733,0,0,0,0,491640,122767232,0,0,4065,223
0.796,0,99.204,0,0,0,0,490926,122767232,0,0,4076,242
1.542,1.285,97.172,0,0,0,0,390895,100302112,0,0,3485,721
0.524,0.262,99.215,0,0,0,0,491028,122764204,0,0,4103,226
0.524,0,99.476,0,0,0,0,486642,122768746,0,0,4107,229
0,0,99.737,0.263,0,0,45056,480828,122765718,0,0,4059,221
2.558,0.256,97.187,0,0,0,0,484806,122767232,0,0,4231,265
2.308,0.256,97.436,0,0,0,0,489702,122765718,0,0,4157,253
2.320,0,97.680,0,0,0,0,490233,122767232,0,0,4146,268
2.302,0.512,97.187,0,0,0,0,490416,122767355,0,0,4164,268
1.818,0,98.182,0,0,0,950272,491375,122765824,0,0,4386,410
2.057,0.257,97.686,0,0,0,16384,486132,122767375,0,0,4201,273
1.034,1.292,97.416,0.258,0,0,0,391973,100766809,0,0,3744,731
0,0.524,99.476,0,0,0,0,488478,122767232,0,0,4056,210
0,0.263,99.737,0,0,0,0,485622,122765718,0,0,4060,223
2.564,0,97.436,0,0,0,0,486336,122765718,0,0,4150,258
2.571,0,97.429,0,0,0,0,484398,122767232,0,0,4152,262
2.806,0.255,96.939,0,0,0,40960,478266,122767232,0,0,4237,289
3.553,0.254,96.193,0,0,0,0,485520,122767232,0,0,4213,280
2.558,0.256,97.187,0,0,0,0,485826,122765718,0,0,4145,262
2.821,0,97.179,0,0,0,835584,484398,122765718,0,0,4164,284
2.806,0.255,96.939,0,0,0,0,484398,122767232,0,0,4163,264
1.809,1.034,97.158,0,0,0,0,388914,100268704,0,0,3534,735
0.265,0.531,98.939,0.265,0,0,49152,484602,122767232,0,0,4068,222
0.266,0.266,99.468,0,0,0,0,489090,122768746,0,0,4065,234
0,0,100,0,0,0,32768,486030,122767232,0,0,4050,203
0,0.262,99.738,0,0,0,0,480918,122767232,0,0,4080,218
0.262,0.262,99.475,0,0,0,0,484500,122765718,0,0,4066,212
0.262,0.262,99.475,0,0,0,0,492150,122767232,0,0,4070,226
0,0.262,99.475,0.262,0,0,20480,492660,122767232,0,0,4059,222
1.804,0.258,97.938,0,0,0,8192,493068,122764204,0,0,4152,252
2.564,0.256,97.179,0,0,0,0,491538,122765718,0,0,4156,262
3.291,1.013,95.696,0,0,0,0,401006,100429186,0,0,3783,766
0,0.262,99.738,0,0,0,0,479528,122771774,0,0,4060,218
0.262,0.262,99.475,0,0,0,0,488784,122765718,0,0,4061,225
0,0.263,99.737,0,0,0,372736,488682,122765718,0,0,4121,242
0,0.263,99.737,0,0,0,0,487866,122768746,0,0,4070,217
0.262,0,99.738,0,0,0,0,486324,122765718,0,0,4051,207
1.804,0.258,97.938,0,0,0,0,486948,122768746,0,0,4215,258
2.314,0.257,97.429,0,0,0,0,488274,122764204,0,0,4148,252
1.550,0.258,98.191,0,0,0,0,488172,122767232,0,0,4152,253
2.314,0.257,97.429,0,0,0,40960,488784,122765718,0,0,4169,271
1.799,0.514,97.686,0,0,0,0,440149,110161935,0,0,3787,631
0.783,0.783,98.433,0,0,0,0,433499,113429739,0,0,3862,302
