"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/iperf3-1570546514-100-orig-jumbo-without-encryption-dstat.csv",,,,"Date:","08 Oct 2019 22:01:51 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.538,2.815,89.836,3.810,0,18326.271,26679103.008,0,0,0,0,16547.395,19223.418
9.950,0.995,88.806,0.249,0,0,0,3786761,114668350,0,0,65475,436
10.025,0.251,89.724,0,0,0,0,4030530,122499600,0,0,69733,366
10.224,0.249,89.526,0,0,0,0,4030632,122501150,0,0,69774,395
10.474,0.249,89.277,0,0,0,65536,4030734,122498050,0,0,69653,386
10.500,0,89.500,0,0,0,0,4030632,122502700,0,0,69810,377
10.891,0.495,88.614,0,0,0,0,4030530,122496500,0,0,69814,364
10.276,0,89.724,0,0,0,0,4030632,122499600,0,0,69762,363
9.548,0.251,90.201,0,0,0,0,4030632,122499600,0,0,69757,372
11.166,0.248,87.593,0.993,0,0,4194304,4030734,122502700,0,0,69798,387
10,0.250,87,2.750,0,0,14716928,4030530,122498050,0,0,69782,401
8.750,1.500,89.750,0,0,0,0,3333035,100197637,0,0,57347,717
10,0.250,89.750,0,0,0,0,4030530,122498050,0,0,69674,393
10.918,0,88.834,0.248,0,0,0,4030734,122504250,0,0,69717,384
10.250,0.250,89.500,0,0,0,0,4030632,122498050,0,0,69796,393
9.774,0.501,89.724,0,0,0,57344,4027164,122498050,0,0,69766,377
10.224,0.499,89.277,0,0,0,0,4030530,122498050,0,0,69745,372
10.025,0.251,89.724,0,0,0,0,4030836,122504250,0,0,69767,388
10.670,0.248,89.082,0,0,0,0,4030428,122498050,0,0,69739,362
10.025,0.251,89.724,0,0,0,0,4030734,122498050,0,0,69703,364
10.474,0.249,89.277,0,0,0,102400,4030632,122499600,0,0,69761,390
8.500,1.500,90,0,0,0,12288,3349348,100701389,0,0,57635,725
10.670,0.248,88.834,0.248,0,0,0,4030428,122496500,0,0,69752,373
9.799,0.251,89.950,0,0,0,0,4030632,122501150,0,0,69743,380
