"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/ping-1570544002-macsec-aesgcm-e-frag-1500-dstat.csv",,,,"Date:","08 Oct 2019 16:27:17 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.412,1.646,95.609,0.334,0,355620.335,7070906.720,0,0,0,0,14481.594,15979.104
1.250,1.250,97.250,0.250,0,0,40960,1133120,1133120,0,0,14550,14236
1.003,1.754,97.243,0,0,0,0,1135680,1135680,0,0,14596,14248
0.754,1.508,97.739,0,0,0,0,1136000,1135840,0,0,14556,14247
1.253,1.504,97.243,0,0,0,0,1136000,1136160,0,0,14666,14255
1.010,0.758,98.232,0,0,0,0,1135680,1135754,0,0,14628,14254
1.005,1.508,97.487,0,0,0,12288,1146609,1146432,0,0,14639,14258
0.758,1.263,97.980,0,0,0,0,2038464,2038752,0,0,14530,14237
0.759,1.013,98.228,0,0,0,0,2042067,2042067,0,0,14635,14239
1.003,1.504,97.494,0,0,0,0,2041920,2041920,0,0,14557,14239
0.254,1.269,98.477,0,0,0,0,2041632,2041344,0,0,14536,14215
1.013,0.759,98.228,0,0,0,24576,2041344,2041344,0,0,14584,14246
0.758,1.263,97.980,0,0,0,0,2052416,2052960,0,0,14601,14185
0.506,1.266,98.228,0,0,0,0,3823232,3823232,0,0,14412,14104
1.005,1.256,97.487,0.251,0,0,0,3824320,3823776,0,0,14426,14109
0.758,1.263,97.980,0,0,0,0,3823776,3823776,0,0,14462,14132
1.010,1.263,97.727,0,0,0,24576,3824320,3824320,0,0,14432,14109
0.506,1.266,98.228,0,0,0,0,3823232,3823776,0,0,14404,14095
0.253,1.772,97.975,0,0,0,0,3832640,3832096,0,0,14417,14069
1.010,1.263,97.727,0,0,0,1671168,7318080,7318080,0,0,14552,14072
0.509,1.018,98.473,0,0,0,0,7322304,7322304,0,0,14222,13909
0.765,0.510,98.724,0,0,0,40960,7321248,7322304,0,0,14235,13925
1.010,1.010,97.727,0.253,0,0,0,7318207,7318080,0,0,14229,13914
0.255,1.020,98.724,0,0,0,0,7320192,7319246,0,0,14230,13932
0.765,0.765,98.469,0,0,0,20480,7288699,7288699,0,0,14270,13882
0.509,1.272,98.219,0,0,0,0,9631632,9633064,0,0,13849,13515
0.758,1.515,97.727,0,0,0,53248,9641656,9640224,0,0,13829,13530
0.508,1.523,97.970,0,0,0,0,9671810,9671810,0,0,13893,13579
0.759,1.266,97.975,0,0,0,0,9661704,9663136,0,0,13863,13544
0.758,1.515,97.727,0,0,0,4096,9644520,9644520,0,0,13844,13513
1.504,1.754,96.742,0,0,0,0,9600696,9600858,0,0,13870,13496
1.511,1.511,96.977,0,0,0,32768,10394474,10392880,0,0,13453,13137
0.506,1.772,97.722,0,0,0,0,10432730,10434324,0,0,13448,13143
1.015,1.269,97.716,0,0,0,0,10455046,10455046,0,0,13470,13167
1.015,1.015,97.462,0.508,0,0,14704640,10456640,10455046,0,0,13489,13180
1.018,1.018,97.964,0,0,0,0,10440700,10442294,0,0,13480,13171
1.508,1.508,96.985,0,0,0,28672,10431136,10429542,0,0,13467,13165
