"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/ping-1570544002-macsec-aesgcm-we-1500-dstat.csv",,,,"Date:","08 Oct 2019 16:25:56 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.485,1.652,95.561,0.301,0,384894.734,6303046.388,0,0,0,0,15028.982,16611.679
0.759,1.013,98.228,0,0,0,0,1134720,1134880,0,0,14553,14247
0.758,1.010,98.232,0,0,0,0,1135680,1135680,0,0,14520,14240
0,1.519,98.481,0,0,0,0,1136800,1136800,0,0,14535,14261
0.509,0.763,98.728,0,0,0,0,1136160,1136160,0,0,14561,14243
0.759,0.759,98.481,0,0,0,40960,1136242,1136082,0,0,14571,14269
0.759,1.013,98.228,0,0,0,0,1142079,1141952,0,0,14565,14208
1.005,1.508,97.487,0,0,0,0,2044371,2044622,0,0,14608,14264
1.256,1.005,97.739,0,0,0,0,2044224,2044083,0,0,14615,14274
0.759,1.013,98.228,0,0,0,0,2043936,2044224,0,0,14550,14243
1,1.750,97.250,0,0,0,24576,2043360,2043072,0,0,14592,14264
1.253,1.253,97.494,0,0,0,0,2043360,2043648,0,0,14552,14254
1.500,1.750,96.750,0,0,0,0,2048768,2049024,0,0,14597,14210
1.247,1.995,96.758,0,0,0,0,3805280,3805280,0,0,14321,14053
0.759,1.013,98.228,0,0,0,0,3824320,3824320,0,0,14391,14102
0.506,1.266,98.228,0,0,0,24576,3822688,3822144,0,0,14376,14120
1.266,0.506,98.228,0,0,0,0,3827040,3827040,0,0,14422,14119
1.008,1.259,97.733,0,0,0,0,3816704,3816704,0,0,14347,14076
1.008,1.259,97.733,0,0,0,0,3822976,3824032,0,0,14385,14055
1.015,0.761,98.223,0,0,0,0,7303296,7303296,0,0,14219,13906
0.765,0.510,98.724,0,0,0,24576,7319136,7319136,0,0,14205,13922
0.508,1.269,98.223,0,0,0,0,7319136,7319136,0,0,14198,13914
0.506,1.519,97.975,0,0,0,0,7312927,7312800,0,0,14178,13883
1.266,0.759,97.975,0,0,0,0,7303443,7303296,0,0,14197,13896
0.756,1.763,97.481,0,0,0,0,7266248,7266881,0,0,14223,13858
1.008,1.511,97.481,0,0,0,24576,9643088,9643088,0,0,13847,13554
0.512,0.767,98.721,0,0,0,1249280,9631632,9630200,0,0,14020,13554
0.505,1.768,97.727,0,0,0,0,9635928,9635928,0,0,13804,13520
0.758,1.263,97.980,0,0,0,0,9637360,9637360,0,0,13773,13501
0.506,1.519,97.975,0,0,0,0,9637442,9638874,0,0,13786,13506
0.254,1.527,98.219,0,0,0,53248,9641656,9640224,0,0,13825,13537
2.750,1,95.500,0.750,0,0,13258752,10238976,10238976,0,0,13386,13060
3.704,1.235,95.062,0,0,0,0,10521776,10523392,0,0,13665,13388
1.535,0.256,98.210,0,0,0,0,10379568,10377952,0,0,13433,13157
1.768,1.010,97.222,0,0,0,0,10418352,10419968,0,0,13536,13206
2.500,1.500,96,0,0,0,40960,10463600,10463600,0,0,13639,13286
2.985,1.244,95.771,0,0,0,0,10557328,10557328,0,0,13755,13402
