"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/ping-1570544002-no-macsec-1500-dstat.csv",,,,"Date:","08 Oct 2019 16:14:51 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.511,0.632,98.678,0.179,0,1067011.650,2516565.726,0,0,0,0,2300.469,2854.660
0.754,1.256,97.990,0,0,0,40960,914624,914748,0,0,15156,14851
0.505,1.010,98.485,0,0,0,0,915120,915120,0,0,15077,14787
0.254,1.015,98.731,0,0,0,0,915244,915244,0,0,15088,14803
0,1.015,98.985,0,0,0,0,915120,915120,0,0,15088,14796
1.003,1.003,97.744,0.251,0,0,0,915368,915244,0,0,15109,14826
1.008,1.008,97.985,0,0,0,12288,924860,925112,0,0,15109,14763
1.519,0,98.481,0,0,0,0,1834812,1834812,0,0,14892,14632
0.506,1.013,98.481,0,0,0,0,1852704,1852452,0,0,15013,14737
0.505,1.010,98.485,0,0,0,0,1854972,1854972,0,0,15070,14779
0.509,0.509,98.982,0,0,0,0,1853208,1853208,0,0,15010,14727
0.254,1.015,98.731,0,0,0,24576,1852200,1852452,0,0,15047,14756
0.504,1.511,97.985,0,0,0,0,1866688,1866436,0,0,15064,14717
0.255,0.510,99.235,0,0,0,0,3736340,3736340,0,0,15057,14780
0.503,1.759,97.739,0,0,0,0,3730752,3730752,0,0,15011,14732
1.003,1.253,97.744,0,0,0,0,3736340,3736340,0,0,15019,14744
1.259,0.756,97.985,0,0,0,24576,3730244,3730244,0,0,15024,14744
1.259,1.008,97.733,0,0,0,0,3690112,3690112,0,0,14862,14592
0.756,1.259,97.985,0,0,0,0,3737592,3738612,0,0,15008,14675
1.253,1.253,97.494,0,0,0,0,7453140,7453140,0,0,14995,14678
0.253,1.266,98.481,0,0,0,0,7448040,7447020,0,0,14930,14634
1.256,1.256,97.487,0,0,0,675840,7358280,7359300,0,0,14882,14555
0.758,1.010,98.232,0,0,0,0,7446000,7444980,0,0,14937,14627
1.256,1.256,97.487,0,0,0,0,7441920,7441920,0,0,14919,14633
0.506,1.266,98.228,0,0,0,0,7403112,7403112,0,0,14916,14577
1.995,1.247,96.758,0,0,0,0,9946500,9946500,0,0,14595,14329
0.254,1.018,98.728,0,0,0,32768,10045616,10047012,0,0,14717,14443
0.763,0.254,98.982,0,0,0,0,10063828,10062432,0,0,14742,14461
0,0.765,99.235,0,0,0,0,10062368,10062368,0,0,14712,14439
0.255,0.765,98.980,0,0,0,0,10056784,10058180,0,0,14746,14461
2.500,0.750,96.750,0,0,0,0,9903288,9903398,0,0,14613,14302
1.259,1.008,97.481,0.252,0,0,3436544,10526940,10526940,0,0,14339,14052
1.250,1.500,96.750,0.500,0,0,11689984,10606758,10605252,0,0,14405,14137
2.233,1.489,96.278,0,0,0,0,10670010,10670010,0,0,14490,14247
0.758,1.263,97.980,0,0,0,0,10599228,10599228,0,0,14383,14110
0.508,1.015,98.477,0,0,0,0,10733262,10734768,0,0,14562,14292
1.263,1.010,97.727,0,0,0,32768,10701636,10700130,0,0,14555,14297
