"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/ping-1570544002-orig-jumbo-without-encryption-9000-dstat.csv",,,,"Date:","08 Oct 2019 16:21:18 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.591,1.338,96.785,0.286,0,534788.716,5846319.685,0,0,0,0,9284.055,11049.464
2.764,2.261,94.724,0.251,0,0,40960,2135952,2135952,0,0,28430,27498
2.545,1.527,95.929,0,0,0,0,2142036,2142036,0,0,28497,27555
2.757,2.506,94.737,0,0,0,0,2142192,2142192,0,0,28506,27566
3.030,2.273,94.697,0,0,0,0,3044900,3045184,0,0,30282,29299
3.526,2.519,93.955,0,0,0,0,4582340,4582446,0,0,33307,32379
3.544,1.772,94.684,0,0,0,24576,4576577,4576577,0,0,33273,32358
3.788,2.273,93.939,0,0,0,0,5553507,5553620,0,0,32822,31849
4.680,3.448,91.872,0,0,0,0,8448840,8448983,0,0,32332,31402
3.980,3.234,92.786,0,0,0,0,8401860,8401320,0,0,32156,31235
3.491,3.741,92.768,0,0,0,0,8717224,8717224,0,0,31985,31012
3.509,2.506,93.734,0.251,0,0,24576,14718532,14718532,0,0,29026,28095
3.535,2.020,94.444,0,0,0,0,14309304,14309304,0,0,28236,27298
2.764,3.015,94.221,0,0,0,0,14364008,14365060,0,0,28347,27388
3.741,2.743,93.516,0,0,0,0,15317148,15317524,0,0,26794,25814
2.792,2.030,95.178,0,0,0,0,18029928,18028500,0,0,26291,25336
4.229,2.488,93.284,0,0,0,24576,18011364,18011364,0,0,26266,25337
4.950,2.228,92.822,0,0,0,0,17995656,17997084,0,0,26249,25315
3.038,1.772,95.190,0,0,0,0,17596200,17596310,0,0,25054,24085
3.474,2.978,93.548,0,0,0,0,17225600,17225600,0,0,23439,22487
3.275,1.511,95.214,0,0,0,1245184,16922614,16922720,0,0,23256,22174
3.769,1.256,94.724,0.251,0,0,40960,17010280,17010280,0,0,23163,22217
3.266,1.759,94.975,0,0,0,0,16891977,16891977,0,0,23009,22066


"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/ping-1570544002-orig-jumbo-without-encryption-9000-dstat.csv",,,,"Date:","08 Oct 2019 16:23:30 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.311,1.581,95.805,0.303,0,450640.059,6140857.436,0,0,0,0,13973.432,15943.292
2.513,2.513,94.975,0,0,0,0,2147652,2147652,0,0,28577,27615
3.250,2.250,94.500,0,0,0,0,2148432,2148276,0,0,28581,27643
3.500,2,94.500,0,0,0,0,2154672,2154828,0,0,28667,27733
2.764,2.513,94.472,0.251,0,0,0,3096116,3096350,0,0,30473,29492
4.750,2,93.250,0,0,0,24576,4590576,4590576,0,0,33371,32454
2.771,3.023,94.207,0,0,0,0,4584529,4584529,0,0,33333,32397
4.010,2.506,93.484,0,0,0,0,5665587,5665700,0,0,32911,31945
3.509,3.008,93.484,0,0,0,0,8470440,8470440,0,0,32411,31460
3.258,3.258,93.484,0,0,0,0,8473680,8473680,0,0,32423,31483
3.535,2.273,94.192,0,0,0,24576,9026008,9025468,0,0,32035,31075
3.750,2.750,93.500,0,0,0,0,14801640,14802692,0,0,29186,28261
4.988,1.746,93.267,0,0,0,0,14752196,14752196,0,0,29087,28156
4.010,2.256,93.734,0,0,0,0,14695388,14694336,0,0,28972,28036
4.478,2.239,93.284,0,0,0,0,16126592,16128020,0,0,27200,26257
3.526,2.015,94.458,0,0,0,24576,17997084,17995656,0,0,26246,25312
3.242,2.993,93.516,0.249,0,0,0,18058488,18059916,0,0,26333,25375
3.266,2.513,94.221,0,0,0,0,18051348,18049920,0,0,26316,25356
3.266,2.261,94.472,0,0,0,0,17660262,17660368,0,0,24916,23944
3.015,2.261,94.724,0,0,0,4096,17414774,17414774,0,0,23684,22743
2.538,2.030,95.431,0,0,0,24576,17523972,17523972,0,0,23833,22877
3.008,2.506,94.486,0,0,0,0,17479370,17479370,0,0,23763,22803
