"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/ping-1570546514-macsec-aegis128l-e-1500-1500-dstat.csv",,,,"Date:","09 Oct 2019 12:39:59 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.903,3.147,86.259,4.691,0,8180.985,29240384.973,0,0,0,0,26371.175,29382.735
0.508,1.015,98.477,0,0,0,49152,1136000,1136000,0,0,14591,14276
1.008,1.259,97.733,0,0,0,0,1136000,1136000,0,0,14526,14249
0.998,1.995,97.007,0,0,0,0,1135200,1135040,0,0,14541,14245
1.500,1.500,97,0,0,0,0,1135840,1135840,0,0,14538,14248
0.759,1.013,98.228,0,0,0,0,1134720,1134880,0,0,14532,14238
1.508,1.005,97.487,0,0,0,12288,1143921,1144032,0,0,14552,14214
1.008,1.259,97.733,0,0,0,0,2041632,2041344,0,0,14574,14249
0.506,1.013,98.481,0,0,0,0,2042355,2042643,0,0,14547,14250
0.756,1.511,97.733,0,0,0,0,2042784,2042784,0,0,14539,14240
0.256,0.512,99.233,0,0,0,0,2042784,2042784,0,0,14509,14222
1.013,0.506,98.481,0,0,0,24576,2042496,2042208,0,0,14554,14247
1.005,1.508,97.487,0,0,0,0,2052992,2053536,0,0,14568,14200
2.261,0.503,97.236,0,0,0,0,3833568,3833568,0,0,14503,14170
1.010,1.010,97.980,0,0,0,0,3834656,3834656,0,0,14485,14136
0.759,1.013,98.228,0,0,0,0,3819424,3819424,0,0,14397,14106
1.253,1.504,97.243,0,0,0,24576,3833568,3833568,0,0,14469,14158
0.759,1.013,98.228,0,0,0,0,3835200,3835200,0,0,14489,14143
1.263,1.010,97.727,0,0,0,0,3840288,3840800,0,0,14459,14092
1.263,1.010,97.727,0,0,0,0,7333920,7333920,0,0,14235,13960
0.512,0.512,98.977,0,0,0,0,7386720,7385664,0,0,14369,14041
1.015,0.508,98.477,0,0,0,1433600,7385664,7386720,0,0,14655,14139
0.256,0.767,98.977,0,0,0,0,7375231,7375104,0,0,14293,14013
1.269,0.254,98.477,0,0,0,0,7389888,7388832,0,0,14401,14058
0.765,0.510,98.724,0,0,0,0,7343235,7343345,0,0,14372,14003
0.758,1.515,97.727,0,0,0,0,9792016,9792016,0,0,14071,13745
0.759,1.266,97.722,0.253,0,0,53248,9826384,9826384,0,0,14089,13779
1.259,1.259,97.481,0,0,0,0,9809200,9810632,0,0,14124,13764
0.510,0.765,98.724,0,0,0,0,9823520,9822088,0,0,14052,13764
1.508,1.005,97.487,0,0,0,0,9804904,9804904,0,0,14054,13733
0.505,2.020,97.475,0,0,0,0,9763928,9763928,0,0,14083,13723
3.457,1.481,94.074,0.988,0,0,13537280,10437744,10437744,0,0,13638,13277
3.931,1.474,94.595,0,0,0,0,10440976,10442592,0,0,13609,13274
2.261,1.005,96.734,0,0,0,0,10440976,10440976,0,0,13610,13233
2.723,1.980,95.297,0,0,0,0,10428048,10426432,0,0,13598,13221
2.709,2.463,94.828,0,0,0,0,10439360,10440976,0,0,13619,13263
3.440,1.966,94.595,0,0,0,12288,10440976,10439360,0,0,13642,13311
