"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/ping-1570546514-macsec-aegis128l-we-1500-1500-dstat.csv",,,,"Date:","09 Oct 2019 13:32:15 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.748,3.123,86.446,4.682,0,7847.691,29303749.888,0,0,0,0,25547.053,28562.530
0.255,0.765,98.980,0,0,0,45056,1141600,1141440,0,0,14633,14342
0.505,1.263,98.232,0,0,0,0,1141120,1141120,0,0,14600,14301
0.253,1.266,98.481,0,0,0,0,1140160,1140320,0,0,14608,14315
0.759,0.759,98.481,0,0,0,0,1141440,1141280,0,0,14594,14297
0,1.269,98.477,0.254,0,0,0,1141280,1141390,0,0,14644,14331
0.508,1.015,98.477,0,0,0,12288,1149777,1149938,0,0,14663,14310
0.509,0.763,98.728,0,0,0,0,2044371,2043936,0,0,14551,14268
0.253,1.266,98.481,0,0,0,0,2049408,2049555,0,0,14569,14288
0.510,0.510,98.980,0,0,0,0,2049696,2049696,0,0,14576,14291
1.008,1.008,97.985,0,0,0,0,2049408,2049696,0,0,14572,14274
0.506,1.013,98.228,0.253,0,0,24576,2049696,2049408,0,0,14590,14303
0.506,1.266,98.228,0,0,0,0,2055488,2056032,0,0,14589,14223
1.253,1.504,97.243,0,0,0,8192,3859136,3858592,0,0,14619,14261
0.504,1.511,97.985,0,0,0,0,3859136,3859680,0,0,14557,14231
1.013,0.759,98.228,0,0,0,0,3861312,3860768,0,0,14556,14256
0.759,1.013,98.228,0,0,0,24576,3860768,3861312,0,0,14547,14247
1.500,1.500,97,0,0,0,0,3860768,3860768,0,0,14593,14264
1.263,0.758,97.980,0,0,0,0,3863552,3863008,0,0,14572,14209
1.259,1.008,97.733,0,0,0,0,7414176,7414176,0,0,14456,14133
0.761,1.015,98.223,0,0,0,0,7423680,7424846,0,0,14440,14124
0.506,1.266,97.975,0.253,0,0,24576,7425792,7424736,0,0,14426,14139
0.759,1.013,98.228,0,0,0,0,7420639,7420512,0,0,14469,14108
0.254,1.018,98.473,0.254,0,0,1503232,7420659,7420512,0,0,14668,14214
1.010,1.263,97.727,0,0,0,0,7367696,7369275,0,0,14370,14032
0.759,1.266,97.975,0,0,0,0,9832112,9830680,0,0,14101,13805
0.254,1.523,98.223,0,0,0,57344,9842136,9843568,0,0,14083,13800
0.509,0.763,98.728,0,0,0,0,9832112,9832112,0,0,14120,13795
0.509,1.018,98.473,0,0,0,4096,9856456,9856456,0,0,14096,13809
0.506,1.266,98.228,0,0,0,0,9847864,9846432,0,0,14109,13820
0.758,1.515,97.727,0,0,0,0,9833544,9833544,0,0,14110,13801
2,1.500,96.250,0.250,0,0,32768,10348946,10350562,0,0,13474,13240
2.010,1.005,96.985,0,0,0,0,10466832,10466832,0,0,13615,13271
2.985,1.244,93.781,1.990,0,0,14368768,10429664,10428048,0,0,13589,13248
2.743,1.247,96.010,0,0,0,0,10508848,10510464,0,0,13623,13315
3.722,0.744,95.533,0,0,0,0,10471680,10471680,0,0,13593,13296
2.005,1.504,96.491,0,0,0,28672,10499152,10499152,0,0,13624,13304
