"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/ping-1570546514-macsec-aesgcm-e-1500-dstat.csv",,,,"Date:","09 Oct 2019 00:33:23 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.461,3.157,87.130,4.251,0,19970.460,27427066.803,0,0,0,0,30072.014,31204.975
0.756,1.511,97.733,0,0,0,0,1135840,1136000,0,0,14573,14259
0.758,1.010,98.232,0,0,0,0,1135840,1135680,0,0,14526,14240
0.756,1.511,97.733,0,0,0,0,1135680,1135840,0,0,14550,14259
0.758,1.010,98.232,0,0,0,0,1136000,1135950,0,0,14548,14244
0.758,1.263,97.980,0,0,0,40960,1136000,1136160,0,0,14531,14261
0.509,0.763,98.728,0,0,0,0,1145361,1145362,0,0,14609,14223
0.758,1.263,97.980,0,0,0,0,2027091,2026944,0,0,14451,14155
0.763,0.763,98.473,0,0,0,0,2023488,2023635,0,0,14403,14114
1.010,1.010,97.980,0,0,0,0,2031552,2031264,0,0,14430,14151
0.759,0.759,98.228,0.253,0,0,24576,2033280,2033568,0,0,14484,14188
1.256,1.256,97.487,0,0,0,0,2027520,2027520,0,0,14485,14161
1.023,0.256,98.721,0,0,0,0,2026208,2025920,0,0,14325,14018
0.761,1.015,98.223,0,0,0,0,3806912,3806912,0,0,14341,14044
1.250,1.750,97,0,0,0,0,3803104,3803104,0,0,14305,14022
1.500,1.750,96.750,0,0,0,24576,3794944,3794944,0,0,14285,14017
1.496,1.995,96.509,0,0,0,0,3811264,3811808,0,0,14360,14058
1.253,1.504,97.243,0,0,0,0,3816160,3815616,0,0,14353,14067
1.746,1.746,96.509,0,0,0,0,3795552,3795552,0,0,14279,13944
0.761,1.015,98.223,0,0,0,1478656,7310688,7310798,0,0,14493,14020
0.763,0.509,98.473,0.254,0,0,40960,7312800,7313856,0,0,14194,13918
0.759,1.519,97.722,0,0,0,0,7288512,7288512,0,0,14153,13852
1.256,1.508,97.236,0,0,0,0,7283359,7283232,0,0,14119,13844
0.761,1.015,98.223,0,0,0,0,7300275,7299072,0,0,14177,13885
1.266,1.013,97.722,0,0,0,151552,7259376,7260955,0,0,14210,13855
0.506,1.772,97.722,0,0,0,49152,9650248,9650248,0,0,13866,13558
1.263,1.263,97.475,0,0,0,0,9684616,9684616,0,0,13882,13575
1.259,1.511,97.229,0,0,0,0,9615880,9614448,0,0,13753,13489
0.754,2.010,97.236,0,0,0,0,9676024,9677456,0,0,13871,13576
0.506,1.519,97.975,0,0,0,4096,9681752,9680320,0,0,13856,13572
2.010,1.005,96.734,0.251,0,0,20480,9604424,9604424,0,0,13805,13517
2.506,1.253,96.241,0,0,0,0,10516928,10518544,0,0,13769,13337
1.269,1.269,97.462,0,0,0,0,10620352,10618736,0,0,13799,13491
3,1,96,0,0,0,0,10680144,10681760,0,0,13891,13539
2.506,1.003,94.486,2.005,0,0,14684160,10709232,10707616,0,0,13926,13584
2.500,1.500,96,0,0,0,40960,10730240,10731856,0,0,13980,13600
2.273,0.758,96.970,0,0,0,0,10704384,10704384,0,0,13931,13591
