"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/ping-1570546514-macsec-aesgcm-e-frag-jumbo-1500-dstat.csv",,,,"Date:","09 Oct 2019 05:48:08 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.336,3.025,87.102,4.537,0,12292.214,28606285.130,0,0,0,0,22485.462,24617.678
0.758,1.010,98.232,0,0,0,0,1136000,1136000,0,0,14565,14265
0.758,1.263,97.980,0,0,0,0,1135040,1134880,0,0,14526,14228
0.756,1.008,97.985,0.252,0,0,0,1135360,1135360,0,0,14549,14266
0.255,0.765,98.980,0,0,0,0,1133920,1133920,0,0,14493,14217
0.505,1.515,97.980,0,0,0,40960,1135200,1135310,0,0,14537,14259
1.256,1.256,97.487,0,0,0,0,1143345,1143218,0,0,14582,14216
0.256,0.513,99.231,0,0,0,0,2024640,2024928,0,0,14404,14126
1.263,0.758,97.980,0,0,0,0,2027667,2027232,0,0,14455,14141
0.509,0.763,98.728,0,0,0,0,2027808,2028096,0,0,14413,14135
0.509,0.763,98.728,0,0,0,24576,2036160,2036160,0,0,14499,14194
0.758,1.263,97.980,0,0,0,8192,2039904,2039904,0,0,14561,14225
0.503,2.010,97.487,0,0,0,0,2045536,2045792,0,0,14526,14165
1.259,1.008,97.481,0.252,0,0,0,3820512,3819968,0,0,14411,14114
0.506,1.266,98.228,0,0,0,0,3827040,3827040,0,0,14371,14097
0.758,1.263,97.980,0,0,0,24576,3825952,3826496,0,0,14409,14145
0.761,0.761,98.477,0,0,0,0,3827584,3827040,0,0,14397,14122
0.758,1.263,97.980,0,0,0,0,3828128,3828672,0,0,14400,14119
0.254,1.523,98.223,0,0,0,0,3829312,3829824,0,0,14393,14062
1.253,2.005,96.742,0,0,0,0,7255776,7254720,0,0,14111,13820
0.758,1.263,97.727,0.253,0,0,24576,7311744,7311744,0,0,14223,13919
0.510,1.020,98.469,0,0,0,1728512,7311744,7312800,0,0,14505,13975
0.759,1.266,97.975,0,0,0,0,7304479,7303296,0,0,14156,13869
1.018,0.763,98.219,0,0,0,0,7293792,7293792,0,0,14155,13871
0.761,1.269,97.970,0,0,0,0,7244059,7244022,0,0,14144,13817
1.250,1.750,96.750,0.250,0,0,69632,9718984,9718984,0,0,13929,13648
1.003,2.005,96.992,0,0,0,0,9770536,9771968,0,0,13987,13687
0.763,1.018,98.219,0,0,0,0,9708960,9707528,0,0,13930,13650
1.005,1.759,97.236,0,0,0,0,9670378,9670378,0,0,13826,13538
1.005,2.010,96.985,0,0,0,0,9727576,9729008,0,0,13929,13640
0.510,1.020,98.469,0,0,0,12288,9678888,9677456,0,0,13900,13613
1.013,1.266,96.962,0.759,0,0,13455360,10364188,10364188,0,0,13444,13104
0,2.030,97.970,0,0,0,0,10440700,10442294,0,0,13431,13151
0.256,1.026,98.718,0,0,0,0,10448670,10447076,0,0,13448,13175
0.509,1.272,98.219,0,0,0,0,10467798,10467798,0,0,13443,13174
0.256,1.279,98.465,0,0,0,49152,10461422,10463016,0,0,13447,13195
1.008,1.763,97.229,0,0,0,0,10437594,10436000,0,0,13426,13155
