"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/ping-1570546514-macsec-aesgcm-we-frag-1500-dstat.csv",,,,"Date:","09 Oct 2019 03:10:19 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.186,3.091,87.422,4.300,0,15227.938,28042168.568,0,0,0,0,25322.460,27103.929
0.504,1.763,97.733,0,0,0,0,1133280,1133280,0,0,14518,14237
0.759,1.013,98.228,0,0,0,0,1135040,1135040,0,0,14518,14239
0.253,1.515,98.232,0,0,0,0,1137280,1137280,0,0,14551,14274
0.255,0.765,98.980,0,0,0,0,1136480,1136640,0,0,14514,14235
0.504,1.763,97.733,0,0,0,40960,1136480,1136480,0,0,14535,14267
1.003,1.754,97.243,0,0,0,0,1141457,1141170,0,0,14558,14192
0.509,0.763,98.728,0,0,0,0,2033568,2033966,0,0,14504,14200
0.513,0.256,99.231,0,0,0,0,2024499,2024499,0,0,14406,14107
0.763,0.254,98.982,0,0,0,0,2040192,2039904,0,0,14513,14226
0.505,1.263,97.980,0.253,0,0,24576,2039040,2039328,0,0,14508,14217
0.504,1.763,97.733,0,0,0,0,2039040,2039040,0,0,14547,14221
0.508,1.015,98.477,0,0,0,0,2043616,2043872,0,0,14517,14149
2.228,1.980,95.792,0,0,0,0,3810176,3809632,0,0,14406,14083
4.673,4.673,90.654,0,0,0,0,3809632,3809632,0,0,14420,14087
4.706,4.235,91.059,0,0,0,24576,3809632,3810176,0,0,14473,14144
2.676,2.920,94.404,0,0,0,0,3811808,3811808,0,0,14390,14066
1.720,3.194,95.086,0,0,0,0,3812352,3812352,0,0,14368,14079
1.737,2.233,96.030,0,0,0,0,3809312,3808768,0,0,14346,14003
1.013,1.013,97.975,0,0,0,0,7290624,7290624,0,0,14192,13896
0,1.020,98.724,0.255,0,0,24576,7322304,7322304,0,0,14189,13914
0.765,0.510,98.724,0,0,0,1355776,7321248,7321248,0,0,14495,13991
0.253,2.020,97.727,0,0,0,0,7313983,7314912,0,0,14184,13891
0.505,1.768,97.727,0,0,0,0,7317024,7316078,0,0,14199,13924
0.759,1.519,97.722,0,0,0,0,7271675,7273107,0,0,14213,13859
0.759,1.266,97.975,0,0,0,40960,9624472,9623040,0,0,13808,13532
1.013,1.013,97.975,0,0,0,16384,9611584,9611584,0,0,13778,13466
1.259,1.259,97.481,0,0,0,0,9641656,9643088,0,0,13826,13548
1.013,1.266,97.722,0,0,0,0,9607288,9605856,0,0,13741,13455
0.758,1.515,97.727,0,0,0,0,9624472,9624472,0,0,13789,13503
0.510,0.765,98.469,0.255,0,0,36864,9582944,9582944,0,0,13745,13447
1.269,1.015,96.701,1.015,0,0,13373440,10447158,10448752,0,0,13567,13242
0.508,1.777,97.716,0,0,0,0,10493302,10493302,0,0,13488,13199
1.508,1.759,96.734,0,0,0,0,10529964,10529964,0,0,13545,13271
1.008,2.015,96.977,0,0,0,0,10491708,10491708,0,0,13495,13223
0.761,1.523,97.716,0,0,0,40960,10472580,10470986,0,0,13489,13220
1.259,1.763,96.977,0,0,0,0,10426354,10426354,0,0,13423,13139
