"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/ping-1570546514-macsec-chachapoly-e-1500-1500-dstat.csv",,,,"Date:","09 Oct 2019 11:48:09 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.949,3.164,86.181,4.706,0,8540.827,29215771.709,0,0,0,0,27339.776,30424.856
1.508,1.508,96.985,0,0,0,0,1096320,1096160,0,0,14140,13787
0.758,1.515,97.727,0,0,0,0,1095520,1095520,0,0,14098,13761
1.759,1.005,97.236,0,0,0,0,1095840,1095840,0,0,14175,13799
1.005,1.759,97.236,0,0,0,0,1095680,1095680,0,0,14083,13740
0.506,1.772,97.722,0,0,0,49152,1096000,1096110,0,0,14073,13769
1.508,1.508,96.985,0,0,0,0,1101905,1102066,0,0,14114,13724
1.259,1.511,97.229,0,0,0,0,1957824,1957824,0,0,13987,13687
0.252,2.267,97.481,0,0,0,0,1958112,1957971,0,0,13941,13644
0.508,1.523,97.970,0,0,0,0,1958688,1958976,0,0,13974,13669
0.508,1.269,97.970,0.254,0,0,24576,1958976,1958976,0,0,13944,13659
1.015,1.015,97.970,0,0,0,0,1953504,1953216,0,0,13967,13729
1.010,1.768,97.222,0,0,0,0,1957440,1957984,0,0,13909,13572
0.256,1.279,98.465,0,0,0,0,3659488,3659488,0,0,13800,13513
0.761,1.269,97.970,0,0,0,0,3661120,3661120,0,0,13783,13503
0.256,0.769,98.974,0,0,0,24576,3660576,3660576,0,0,13797,13540
0.765,1.020,98.214,0,0,0,0,3655680,3655136,0,0,13771,13493
1.015,1.015,97.970,0,0,0,0,3653504,3653504,0,0,13774,13487
0.514,0.514,98.972,0,0,0,0,3658112,3659168,0,0,13781,13458
1.259,1.763,96.977,0,0,0,0,6999168,6998112,0,0,13673,13344
1.256,2.010,96.482,0.251,0,0,24576,7000224,7001280,0,0,13619,13308
1.253,2.256,96.491,0,0,0,1859584,6975936,6976046,0,0,13888,13373
1.253,2.256,96.491,0,0,0,0,7000351,6999168,0,0,13628,13310
1.746,2.244,96.010,0,0,0,0,6999168,6999168,0,0,13690,13344
1.269,1.269,97.462,0,0,0,0,6936472,6938051,0,0,13585,13234
1.010,1.768,96.970,0.253,0,0,53248,9287952,9287952,0,0,13361,13079
2.005,1.504,96.491,0,0,0,12288,9295112,9295112,0,0,13365,13049
0.513,1.026,98.462,0,0,0,0,9308000,9306568,0,0,13367,13082
2.934,2.934,94.132,0,0,0,0,9299408,9300840,0,0,13362,13068
1.253,2.256,96.491,0,0,0,0,9309514,9309514,0,0,13387,13069
1.266,1.772,96.962,0,0,0,28672,9279360,9277928,0,0,13380,13029
4.167,2.451,92.647,0.735,0,0,12824576,10011120,10011120,0,0,13154,12760
2.993,1.995,95.012,0,0,0,0,10022432,10022432,0,0,13078,12729
3.008,1.504,95.489,0,0,0,0,9996576,9996576,0,0,13036,12711
3.234,1.990,94.776,0,0,0,0,10036976,10038592,0,0,13129,12743
2.736,2.488,94.527,0.249,0,0,49152,10040208,10040208,0,0,13127,12785
3.258,1.253,95.489,0,0,0,0,10053136,10051520,0,0,13127,12781
