"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final/ping-1570546514-macsec-morus640-e-1500-1500-dstat.csv",,,,"Date:","09 Oct 2019 14:24:06 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.604,3.103,86.629,4.664,0,7542.783,29322531.672,0,0,0,0,24820.947,27862.526
1.250,1.500,97,0.250,0,0,45056,1130880,1130880,0,0,14535,14208
0.506,1.013,98.481,0,0,0,0,1132160,1132160,0,0,14494,14193
0.506,1.266,98.228,0,0,0,0,1130720,1130720,0,0,14483,14185
0.761,0.761,98.477,0,0,0,0,1132320,1132320,0,0,14490,14193
0.508,0.761,98.731,0,0,0,0,1132320,1132320,0,0,14513,14204
0.759,1.266,97.975,0,0,0,12288,1141585,1141408,0,0,14526,14191
1.003,1.754,97.243,0,0,0,0,2030400,2030400,0,0,14491,14157
1.013,0.759,98.228,0,0,0,0,2030976,2031123,0,0,14461,14185
0.505,1.515,97.980,0,0,0,0,2030688,2030976,0,0,14431,14149
0.504,1.511,97.733,0.252,0,0,0,2030688,2030400,0,0,14455,14151
0.506,1.266,98.228,0,0,0,24576,2030112,2030400,0,0,14455,14165
0.758,1.263,97.980,0,0,0,0,2039584,2039296,0,0,14501,14123
4.136,1.703,94.161,0,0,0,0,3796032,3796032,0,0,14368,14078
6.132,2.358,91.509,0,0,0,0,3804736,3804736,0,0,14446,14138
6.353,2.588,91.059,0,0,0,0,3798752,3799296,0,0,14421,14143
5.238,2.381,92.143,0.238,0,0,24576,3808544,3808000,0,0,14441,14134
8.315,4.494,87.191,0,0,0,0,3808000,3808000,0,0,14517,14165
4.578,2.169,93.253,0,0,0,0,3809088,3810144,0,0,14434,14073
0.255,1.020,98.724,0,0,0,0,7302240,7302240,0,0,14191,13897
0.758,1.515,97.727,0,0,0,0,7318080,7318080,0,0,14220,13910
0.765,0.765,98.469,0,0,0,1576960,7318080,7317024,0,0,14499,14021
0.754,1.508,97.487,0.251,0,0,0,7315039,7315022,0,0,14244,13910
0.761,1.015,98.223,0,0,0,0,7320192,7320192,0,0,14204,13902
1.015,1.015,97.970,0,0,0,0,7285096,7286675,0,0,14256,13885
1.259,1.259,97.481,0,0,0,0,9637360,9637360,0,0,13839,13522
1.515,1.263,97.222,0,0,0,53248,9633064,9633064,0,0,13787,13522
0.508,1.269,98.223,0,0,0,0,9717552,9716120,0,0,13931,13618
1.010,1.263,97.727,0,0,0,0,9687480,9688912,0,0,13873,13590
0.506,1.772,97.722,0,0,0,0,9701800,9701800,0,0,13949,13670
1.493,2.239,96.269,0,0,0,0,9663136,9661704,0,0,13890,13591
2.730,2.233,93.797,1.241,0,0,13414400,10386032,10387648,0,0,13553,13223
4.177,1.474,94.349,0,0,0,0,10588032,10588032,0,0,13808,13445
3.704,1.481,94.815,0,0,0,0,10647824,10646208,0,0,13866,13509
3.704,1.481,94.815,0,0,0,0,10699536,10699536,0,0,13933,13570
3.474,0.993,95.533,0,0,0,0,10722160,10723776,0,0,13971,13574
2.993,1.496,95.511,0,0,0,12288,10710848,10710848,0,0,13924,13641
