"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/Http-1570630571-1-macsec-aes-gcm-we-jumbo-MACsec-Ethernet-2928-9000-dstat.csv",,,,"Date:","09 Oct 2019 16:35:09 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.334,3.024,87.017,4.625,0,6870.292,29130546.464,0,0,0,0,23204.697,26170.294
0.252,0,99.748,0,0,0,12288,0,0,0,0,1105,307
0,0,97.494,2.506,0,0,18890752,0,0,0,0,1053,56
0,0,100,0,0,0,180224,0,0,0,0,1038,57
0,0,100,0,0,0,0,0,0,0,0,1036,29
7.789,3.266,88.945,0,0,0,0,88714272,1591536,0,0,45825,60321
10.526,5.263,84.211,0,0,0,0,123550224,2196002,0,0,63190,82958
10.553,4.774,84.673,0,0,0,0,123553206,2195896,0,0,63146,82837
10.579,4.786,84.635,0,0,0,28672,123562152,2194624,0,0,63060,82586
9.848,5.303,84.848,0,0,0,4096,123544260,2195790,0,0,63203,82994
10.101,5.051,84.848,0,0,0,0,123553206,2196002,0,0,63218,83013
10.076,5.038,84.887,0,0,0,0,123550224,2195896,0,0,63213,82994
10.579,4.786,84.635,0,0,0,0,123553206,2194518,0,0,63167,82926
10.579,4.786,84.635,0,0,0,12288,123556188,2195896,0,0,63211,83000
10.025,5.263,84.461,0.251,0,0,4096,123550224,2196002,0,0,63212,83018
9.898,4.822,85.279,0,0,0,0,123553206,2196002,0,0,63210,83007
10.076,5.290,84.635,0,0,0,0,123553206,2195896,0,0,63209,82987
11,5,84,0,0,0,0,123553206,2196002,0,0,63195,82942
10.831,4.786,79.597,4.786,0,0,33300480,123553206,2196002,0,0,63338,83004
9.320,5.290,68.766,16.625,0,0,118267904,115481250,2019422,0,0,58921,74480
11.028,5.013,68.421,15.539,0,0,115367936,123553206,2195896,0,0,63312,83058
10.127,5.063,70.886,13.924,0,0,110370816,123550224,2196002,0,0,63313,83046
10.579,6.045,66.751,16.625,0,0,138416128,116965757,2078978,0,0,60013,78631
