"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/Http-1570630571-1-macsec-aesgcm-we-frag-jumbo-2928-1500-dstat.csv",,,,"Date:","09 Oct 2019 16:31:53 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.336,3.025,87.005,4.633,0,6885.681,29180879.385,0,0,0,0,23194.917,26174.273
0,0,100,0,0,0,0,0,0,0,0,164,101
0,0,99.750,0.250,0,0,53248,147,0,0,0,77,77
0.249,0,99.751,0,0,0,0,0,0,0,0,57,39
0,0,100,0,0,0,0,0,0,0,0,46,33
5.486,3.242,91.272,0,0,0,0,87903121,1478988,0,0,15100,28566
7.071,3.788,89.141,0,0,0,0,122690408,2060640,0,0,20554,40142
7.018,4.261,88.722,0,0,0,0,122691926,2060110,0,0,20575,40161
4.627,3.599,91.774,0,0,0,28672,122694962,548102,0,0,4461,8007
4.835,4.326,90.840,0,0,0,4976640,122690408,547914,0,0,4420,8103
5.089,3.817,91.094,0,0,0,0,122691926,549928,0,0,4402,8103
4.859,3.836,91.304,0,0,0,0,122687376,548844,0,0,4445,8011
4.592,4.082,91.327,0,0,0,0,122693442,548974,0,0,4380,8129
4.370,3.599,91.774,0.257,0,0,20480,122687376,549826,0,0,4435,8157
4.592,4.082,91.327,0,0,0,0,122690408,547702,0,0,4396,8114
4.051,4.557,91.392,0,0,0,0,122691926,543980,0,0,4437,8007
3.817,3.053,93.130,0,0,0,0,122690410,537420,0,0,4367,8100
3.797,3.544,92.658,0,0,0,0,122690408,534770,0,0,4358,8101
3.342,4.370,92.288,0,0,0,12288,122694960,542472,0,0,4438,7992
4.847,4.337,75.765,15.051,0,0,113598464,122690410,549822,0,0,4612,8182
4.859,4.092,72.634,18.414,0,0,134221824,122690408,549080,0,0,4593,8159
4.381,4.124,66.495,25,0,0,169869312,122690410,551482,0,0,4674,8066
4.348,4.604,65.985,25.064,0,0,167772160,122688892,548762,0,0,4592,8199
1.754,7.519,74.436,16.291,0,0,107012096,38717375,161544,0,0,1760,2917
