"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/iperf3-1570630571-1-macsec-aes-gcm-we-jumbo-Ethernet-dstat.csv",,,,"Date:","09 Oct 2019 16:33:21 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.333,3.024,87.012,4.630,0,6878.759,29159732.053,0,0,0,0,23187.476,26164.643
10,1,89,0,0,0,2068480,3912047,114285155,0,0,65408,650
10.224,0.249,89.277,0.249,0,0,81920,4188484,122817429,0,0,69911,408
11.111,0.494,88.395,0,0,0,0,4188590,122812620,0,0,69881,374
9.799,0.251,89.950,0,0,0,0,4188166,122814174,0,0,69936,367
10.250,0.250,89.500,0,0,0,0,4188484,122817282,0,0,69899,384
10.697,0.249,89.055,0,0,0,0,4188590,122815728,0,0,69767,365
9.799,0.251,89.950,0,0,0,0,4188696,122815728,0,0,69710,382
10.723,0,89.277,0,0,0,12288,4188590,122815728,0,0,69730,360
10.422,0.496,88.834,0.248,0,0,0,4188696,122818836,0,0,69731,382
9.799,0.251,89.950,0,0,0,0,4188590,122814174,0,0,69898,348
