"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/iperf3-1570630571-1-macsec-aesgcm-we-frag-dstat.csv",,,,"Date:","09 Oct 2019 16:26:57 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.346,3.031,86.976,4.647,0,6908.974,29261004.139,0,0,0,0,23235.248,26223.771
7.089,1.013,91.899,0,0,0,0,1976749,112640803,0,0,17467,388
8.500,0,91.500,0,0,0,0,2121538,120652356,0,0,18648,381
8.250,0.250,91.500,0,0,0,0,2118516,120655568,0,0,18628,363
8.020,0.251,91.729,0,0,0,57344,2120312,120655568,0,0,18654,395
8.933,0.248,90.819,0,0,0,0,2118198,120637902,0,0,18632,373
8.250,0.250,91.500,0,0,0,0,2120418,120674840,0,0,18644,370
7.789,0.251,91.960,0,0,0,0,2118516,120655568,0,0,18626,362
8.458,0.498,91.045,0,0,0,0,2119028,120596146,0,0,18672,446
8.479,0.249,91.272,0,0,0,0,2120088,120655590,0,0,18647,372
8.500,0.250,91.250,0,0,0,12288,2118516,120658780,0,0,18649,389
