"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/iperf3-1570630571-1-macsec-aesgcm-we-jumbo-dstat.csv",,,,"Date:","09 Oct 2019 16:29:20 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.342,3.028,86.989,4.640,0,6897.673,29222588.541,0,0,0,0,23218.941,26203.844
7.711,0.995,91.294,0,0,0,0,2008817,114861583,0,0,4794,379
6.061,0.505,93.434,0,0,0,73728,2146924,122814174,0,0,5034,312
8.395,0.247,91.358,0,0,0,0,2146182,122817282,0,0,5023,326
7.250,0.250,92.500,0,0,0,0,2146076,122815728,0,0,5032,317
6.516,0.501,92.982,0,0,0,0,1769246,122812620,0,0,5027,285
7.389,0,92.611,0,0,0,0,530106,122815728,0,0,5033,302
3.797,0.506,95.696,0,0,0,0,530954,122803296,0,0,5022,258
6.436,0.248,93.317,0,0,0,12288,530742,122831268,0,0,5040,351
5,0.250,94.750,0,0,0,0,530636,122815728,0,0,5027,273
4.762,0.251,94.737,0.251,0,0,0,530424,122804850,0,0,5031,280
