"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/ping-1570630571-macsec-aegis128l-we-1500-1500-dstat.csv",,,,"Date:","09 Oct 2019 16:38:24 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.326,3.020,87.038,4.616,0,6855.114,29072936.571,0,0,0,0,23187.207,26149.908
1.241,2.233,96.278,0.248,0,0,40960,1138240,1138240,0,0,14620,14299
1.759,0.754,97.487,0,0,0,0,1139840,1139840,0,0,14644,14317
1.500,1.250,97.250,0,0,0,0,1139840,1139680,0,0,14617,14303
1.493,1.741,96.766,0,0,0,0,1140000,1140270,0,0,14635,14317
0.506,1.013,98.481,0,0,0,0,1139840,1139840,0,0,14603,14280
1.250,1.750,97,0,0,0,12288,1139729,1139602,0,0,14642,14308
0.756,1.511,97.733,0,0,0,0,1139360,1139347,0,0,14616,14292
1.010,1.010,97.980,0,0,0,0,2027379,2027520,0,0,14589,14224
1.263,0.758,97.980,0,0,0,0,2039904,2039904,0,0,14496,14217
1.005,1.256,97.487,0.251,0,0,0,2038176,2038176,0,0,14478,14217
1.750,1.500,96.750,0,0,0,24576,2026944,2026656,0,0,14399,14132
0.505,1.263,97.475,0.758,0,0,10514432,2041920,2042208,0,0,14815,14311
0.506,1.266,98.228,0,0,0,0,2043072,2043072,0,0,14558,14228
1.763,0.504,97.733,0,0,0,0,2042784,2042496,0,0,14539,14240
0.512,0.512,98.977,0,0,0,0,3688480,3689024,0,0,14493,14120
1.013,0.506,98.481,0,0,0,73728,3855872,3855872,0,0,14540,14250
0.758,1.263,97.980,0,0,0,0,3857504,3857504,0,0,14530,14225
0.254,0.763,98.982,0,0,0,0,3857504,3857614,0,0,14515,14234
1.015,0.508,98.477,0,0,0,0,3857504,3857504,0,0,14537,14226
0.754,1.508,97.739,0,0,0,0,3857504,3856960,0,0,14550,14250
0.254,1.269,98.477,0,0,0,12288,3858592,3859136,0,0,14496,14231
0.254,1.272,98.473,0,0,0,0,6910719,6911104,0,0,14448,14098
1.508,1.005,97.487,0,0,0,0,7424736,7424883,0,0,14433,14126
0.254,1.018,98.728,0,0,0,0,7426995,7425792,0,0,14420,14118
0.508,1.015,98.477,0,0,0,0,7423680,7423680,0,0,14407,14105
1.013,0.759,98.228,0,0,0,24576,7419456,7419456,0,0,14385,14090
0.759,1.266,97.975,0,0,0,0,7371936,7372992,0,0,14317,14020
0.761,1.015,98.223,0,0,0,0,7418400,7418400,0,0,14421,14107
1.259,1.511,97.229,0,0,0,0,9115752,9116128,0,0,14135,13782
0.758,1.263,97.980,0,0,0,0,9872290,9870858,0,0,14141,13843
1.010,1.263,97.727,0,0,0,24576,9856456,9856456,0,0,14112,13829
0.506,1.266,98.228,0,0,0,0,9860752,9862184,0,0,14104,13815
0.761,1.015,98.223,0,0,0,0,9870776,9870776,0,0,14113,13827
0.759,1.013,98.228,0,0,0,0,9847864,9846432,0,0,14070,13789
0.506,1.266,98.228,0,0,0,0,9863616,9863616,0,0,14109,13829
1.253,1.754,96.992,0,0,0,24576,9976794,9976794,0,0,14022,13678
0.509,1.018,98.473,0,0,0,0,10345170,10346688,0,0,13953,13667
0.758,1.263,97.980,0,0,0,0,10287486,10287486,0,0,13883,13605
0.253,1.519,98.228,0,0,0,0,10343652,10343652,0,0,13939,13666
2.005,1.003,96.992,0,0,0,0,10323918,10323918,0,0,13947,13668
0.254,1.018,98.473,0.254,0,0,12288,10293558,10292040,0,0,13876,13611
1.504,1.253,97.243,0,0,0,0,10298112,10299630,0,0,13894,13613
