"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/ping-1570630571-macsec-morus640-we-1500-1500-dstat.csv",,,,"Date:","09 Oct 2019 16:40:10 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.320,3.018,87.052,4.610,0,6846.868,29038478.168,0,0,0,0,23173.322,26132.292
0.504,1.511,97.733,0.252,0,0,0,1130560,1130720,0,0,14541,14191
0.758,1.010,98.232,0,0,0,0,1134080,1133920,0,0,14537,14219
0.754,1.508,97.487,0.251,0,0,1486848,1133600,1133600,0,0,14856,14298
0.759,1.013,98.228,0,0,0,0,1133120,1133230,0,0,14568,14220
1.003,1.504,97.494,0,0,0,0,1133440,1133440,0,0,14532,14220
0.506,1.266,98.228,0,0,0,0,1134929,1134962,0,0,14564,14239
1.003,1.504,97.494,0,0,0,0,1135827,1135680,0,0,14553,14250
0,1.777,98.223,0,0,0,40960,1991776,1991904,0,0,14613,14181
1.013,0.759,98.228,0,0,0,0,2037024,2037024,0,0,14573,14198
0.761,0.761,98.477,0,0,0,0,2035584,2035584,0,0,14492,14183
0.756,1.259,97.985,0,0,0,0,2037600,2037600,0,0,14579,14231
0.508,1.015,98.477,0,0,0,0,2035584,2035584,0,0,14457,14172
0.509,0.509,98.728,0.254,0,0,12288,2035584,2035296,0,0,14507,14204
1.010,1.010,97.980,0,0,0,0,2035872,2036160,0,0,14513,14192
1.010,1.263,97.727,0,0,0,0,3595424,3595136,0,0,14462,14118
0,0.767,99.233,0,0,0,0,3825952,3826496,0,0,14390,14108
1.010,1.010,97.980,0,0,0,0,3824320,3823776,0,0,14385,14113
0.505,1.515,97.980,0,0,0,24576,3815616,3816160,0,0,14369,14080
1.010,1.263,97.727,0,0,0,0,3821056,3820512,0,0,14379,14100
0.506,1.266,98.228,0,0,0,0,3823776,3823886,0,0,14393,14102
0.758,1.010,97.980,0.253,0,0,0,3829216,3829760,0,0,14412,14127
1.013,1.013,97.975,0,0,0,0,6478143,6478528,0,0,14366,13983
1.259,1.259,97.481,0,0,0,24576,7341459,7341312,0,0,14345,13986
1.013,1.013,97.975,0,0,0,12288,7343424,7342368,0,0,14318,13966
0.758,1.515,97.727,0,0,0,0,7343424,7344480,0,0,14258,13953
1.008,1.259,97.733,0,0,0,0,7340256,7340256,0,0,14260,13948
0.758,1.515,97.727,0,0,0,0,7341312,7340256,0,0,14293,13967
1.010,1.010,97.727,0.253,0,0,28672,7343424,7343424,0,0,14327,13960
0.256,1.023,98.721,0,0,0,4096,8673360,8674792,0,0,14170,13799
0.506,1.519,97.975,0,0,0,0,9794962,9793530,0,0,14007,13728
1.005,1.508,97.487,0,0,0,0,9751920,9753352,0,0,13977,13674
0.256,0.513,99.231,0,0,0,0,9777696,9776264,0,0,13985,13693
0.509,1.018,98.473,0,0,0,36864,9800608,9802040,0,0,14071,13762
1.500,1.750,95.750,1,0,0,14643200,9727576,9726144,0,0,13987,13647
0.510,0.765,98.724,0,0,0,0,9740546,9741978,0,0,13964,13651
1.259,1.511,97.229,0,0,0,0,9802190,9800758,0,0,13971,13625
0.254,1.272,98.473,0,0,0,0,10295076,10296594,0,0,13900,13621
0.759,1.266,97.722,0.253,0,0,40960,10234356,10232838,0,0,13861,13538
0.759,1.266,97.975,0,0,0,335872,10322400,10323918,0,0,14044,13690
1.256,1.508,97.236,0,0,0,0,10333026,10333026,0,0,13955,13657
0.509,1.018,98.473,0,0,0,0,10217658,10217658,0,0,13828,13512
0.758,1.515,97.727,0,0,0,0,10298112,10298112,0,0,13913,13617
1.256,1.508,97.236,0,0,0,32768,10352760,10352760,0,0,14040,13716
