"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/ping-1570630571-no-macsec-2928-dstat.csv",,,,"Date:","09 Oct 2019 16:18:03 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.370,3.041,86.914,4.674,0,6951.417,29432037.149,0,0,0,0,23296.123,26303.162
1.508,0.503,97.990,0,0,0,40960,912144,912144,0,0,15759,14830
1.259,0.756,97.985,0,0,0,0,901108,900984,0,0,15568,14591
1.259,0.756,97.985,0,0,0,0,911524,911524,0,0,15736,14767
0.758,0.758,98.485,0,0,0,0,913012,913012,0,0,15761,14774
1.010,0.758,98.232,0,0,0,0,913260,913260,0,0,15765,14795
1.504,0.752,97.494,0.251,0,0,12288,913696,913820,0,0,15777,14803
1.263,0.505,98.232,0,0,0,0,1103328,1103456,0,0,15736,14726
2.239,0.995,96.766,0,0,0,0,1846656,1846404,0,0,15697,14727
1.750,1.250,97,0,0,0,0,1828260,1828260,0,0,15542,14587
1.985,1.489,96.526,0,0,0,0,1846908,1847160,0,0,15702,14727
1.508,1.005,97.487,0,0,0,5386240,1847664,1847412,0,0,15710,14750
1.493,1.493,96.766,0.249,0,0,0,1847412,1847664,0,0,15698,14720
1.763,0.252,97.985,0,0,0,0,1845900,1845648,0,0,15690,14728
1.759,0.754,97.487,0,0,0,0,2530380,2530888,0,0,15683,14682
1.515,0.253,98.232,0,0,0,0,3709416,3709416,0,0,15641,14663
1.015,0.254,98.731,0,0,0,28672,3715004,3714496,0,0,15672,14694
0.763,0.254,98.982,0,0,0,0,3716020,3716528,0,0,15668,14691
0.508,0.761,98.731,0,0,0,0,3711956,3711956,0,0,15652,14669
1.263,0.505,98.232,0,0,0,0,3713480,3712972,0,0,15657,14677
1.263,0.758,97.980,0,0,0,0,3715004,3715004,0,0,15666,14682
1.511,0.756,97.733,0,0,0,24576,5645492,5646512,0,0,15640,14659
1.010,1.010,97.980,0,0,0,0,7414380,7414380,0,0,15575,14579
1.511,0.504,97.985,0,0,0,0,7416420,7416420,0,0,15577,14590
1.010,0.758,97.980,0.253,0,0,0,7417440,7416420,0,0,15578,14587
1.010,1.010,97.980,0,0,0,0,7416420,7416420,0,0,15579,14606
1.504,1.253,97.243,0,0,0,40960,7415400,7415400,0,0,15582,14610
1.754,0.752,97.494,0,0,0,0,7417440,7418460,0,0,15580,14603
1.990,1.741,96.269,0,0,0,0,9035004,9033984,0,0,15443,14443
3,0.250,96.750,0,0,0,0,10100060,10100060,0,0,15506,14579
3.667,1.467,94.866,0,0,0,0,10119604,10119604,0,0,15538,14605
4.187,0.246,94.335,1.232,0,0,15278080,10114020,10115416,0,0,15614,14669
3.931,0.737,95.332,0,0,0,0,10109832,10109832,0,0,15527,14586
2.993,0.249,96.758,0,0,0,0,10118208,10116812,0,0,15535,14608
2.985,0.498,96.517,0,0,0,0,10118208,10118208,0,0,15533,14580
1.511,1.259,97.229,0,0,0,0,10340864,10340864,0,0,15305,14305
1.759,0.754,97.236,0.251,0,0,2514944,10722270,10722270,0,0,15515,14566
1.010,1.010,97.980,0,0,0,0,10596300,10596300,0,0,15337,14371
1.269,0.508,98.223,0,0,0,0,10725234,10726716,0,0,15513,14531
1.259,1.008,97.733,0,0,0,0,10729680,10728198,0,0,15512,14531
1.015,0.508,98.477,0,0,0,0,10732644,10732644,0,0,15519,14533
1.511,1.008,97.481,0,0,0,12288,10593336,10594818,0,0,15337,14389
