"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/ping-1570630571-orig-1500-dstat.csv",,,,"Date:","09 Oct 2019 16:18:56 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.368,3.040,86.920,4.672,0,6947.207,29414488.883,0,0,0,0,23289.460,26294.325
0.752,1.754,97.494,0,0,0,0,1104636,1104480,0,0,14543,14209
1.008,1.259,97.733,0,0,0,0,1106508,1106508,0,0,14538,14226
1.508,1.005,97.487,0,0,0,0,1106508,1106664,0,0,14553,14241
0.505,1.263,98.232,0,0,0,0,1104480,1104324,0,0,14500,14207
0.754,1.759,97.487,0,0,0,40960,1106475,1106508,0,0,14557,14244
1.256,1.256,97.487,0,0,0,0,1106586,1106815,0,0,14612,14263
0.506,1.013,98.481,0,0,0,0,1105871,1105572,0,0,14566,14261
1.013,1.013,97.975,0,0,0,0,1957948,1958091,0,0,14514,14135
0.758,1.263,97.980,0,0,0,512000,2005892,2006176,0,0,14578,14204
0,0.513,99.487,0,0,0,24576,1990556,1990556,0,0,14336,14071
1.023,0,98.977,0,0,0,0,1987716,1987716,0,0,14319,14055
0.255,0.765,98.980,0,0,0,0,2000780,2000496,0,0,14424,14133
0.758,1.263,97.980,0,0,0,0,2006460,2006460,0,0,14453,14175
0.253,1.519,98.228,0,0,0,4083712,2005324,2005324,0,0,14676,14252
0.256,0.513,99.231,0,0,0,49152,3507716,3507716,0,0,14392,14055
0.508,1.015,98.477,0,0,0,0,3795120,3795660,0,0,14420,14098
0.756,1.511,97.733,0,0,0,0,3794580,3794580,0,0,14371,14100
0.508,1.015,98.477,0,0,0,0,3795660,3795120,0,0,14380,14092
0.253,1.519,98.228,0,0,0,0,3788100,3788640,0,0,14359,14084
0.750,2,97,0.250,0,0,12288,3792420,3791880,0,0,14403,14110
0.503,2.010,97.487,0,0,0,0,3792003,3792420,0,0,14383,14087
0.763,1.018,98.219,0,0,0,0,6298912,6299547,0,0,14294,13943
1.259,1.259,97.481,0,0,0,0,7277879,7277736,0,0,14166,13886
0.506,1.266,98.228,0,0,0,16384,7278788,7277985,0,0,14212,13908
0.256,0.769,98.974,0,0,0,53248,7282022,7283074,0,0,14212,13917
0.761,1.015,98.223,0,0,0,0,7281944,7281944,0,0,14210,13892
0.255,0.765,98.980,0,0,0,0,7281944,7280892,0,0,14168,13889
0.254,1.523,98.223,0,0,0,0,7285100,7285100,0,0,14190,13899
1.015,1.015,97.970,0,0,0,0,8415680,8415680,0,0,14069,13723
0.759,1.519,97.722,0,0,0,36864,9644712,9646140,0,0,13850,13577
1.256,1.508,97.236,0,0,0,0,9666132,9664704,0,0,13907,13606
0.506,1.519,97.975,0,0,0,0,9671844,9673272,0,0,13874,13601
0.506,1.519,97.975,0,0,0,0,9661848,9660420,0,0,13845,13569
0.761,1.015,98.223,0,0,0,0,9663276,9663276,0,0,13844,13581
1.256,1.759,95.729,1.256,0,0,14991360,9648996,9650424,0,0,13874,13586
0.761,1.269,97.970,0,0,0,0,9634494,9634580,0,0,13880,13541
0.759,1.266,97.975,0,0,0,0,9975746,9975746,0,0,13490,13216
0.758,1.515,97.727,0,0,0,0,9959092,9959092,0,0,13487,13206
0,1.777,98.223,0,0,0,0,9963634,9962120,0,0,13483,13221
1.772,1.266,96.709,0.253,0,0,24576,9957578,9957578,0,0,13537,13336
1.005,1.759,97.236,0,0,0,0,9963634,9965148,0,0,13530,13227
1.266,1.013,97.722,0,0,0,0,10002998,10001484,0,0,13534,13270
0.506,1.519,97.975,0,0,0,0,9948494,9950008,0,0,13468,13191


"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/ping-1570630571-orig-1500-dstat.csv",,,,"Date:","09 Oct 2019 16:19:50 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.365,3.039,86.927,4.669,0,6942.834,29396208.908,0,0,0,0,23281.911,26284.877
0.759,1.013,98.228,0,0,0,24576,1109472,1109472,0,0,14676,14322
1.003,1.504,97.494,0,0,0,0,1109316,1109316,0,0,14610,14280
0.503,1.759,97.739,0,0,0,0,1109472,1109316,0,0,14605,14279
0,1.020,98.980,0,0,0,0,1103232,1103388,0,0,14480,14192
0.759,1.013,97.722,0.506,0,0,6877184,1107099,1106926,0,0,14707,14322
0.508,1.015,98.477,0,0,0,643072,1107834,1107957,0,0,14641,14306
1.508,0.754,97.739,0,0,0,0,1109303,1109316,0,0,14632,14290
0.508,1.015,98.477,0,0,0,0,1981624,1981895,0,0,14544,14194
0.759,0.759,98.228,0.253,0,0,0,2011856,2011856,0,0,14506,14220
1.005,1.256,97.739,0,0,0,0,2012424,2012140,0,0,14505,14211
0.255,0.765,98.980,0,0,0,2293760,2012140,2012140,0,0,14532,14239
1.008,1.259,97.733,0,0,0,0,2012424,2012424,0,0,14531,14217
1.010,1.010,97.980,0,0,0,0,2012708,2012708,0,0,14598,14236
0.758,1.010,98.232,0,0,0,0,2005608,2005892,0,0,14451,14168
0.508,1.269,98.223,0,0,0,0,3620344,3620600,0,0,14435,14104
1.010,1.010,97.727,0.253,0,0,24576,3790800,3790800,0,0,14375,14104
1.250,1.750,97,0,0,0,0,3790260,3790260,0,0,14412,14113
0.254,1.018,98.728,0,0,0,0,3796740,3796200,0,0,14385,14092
0.758,1.263,97.980,0,0,0,0,3796740,3796740,0,0,14421,14113
0.761,0.761,98.477,0,0,0,0,3793500,3794040,0,0,14379,14103
1.005,1.759,97.236,0,0,0,12288,3786603,3786586,0,0,14373,14096
0.254,1.272,98.473,0,0,0,0,6496292,6496927,0,0,14271,13920
1.013,1.013,97.975,0,0,0,0,7287347,7286152,0,0,14236,13918
0.509,1.018,98.473,0,0,0,0,7278788,7278931,0,0,14174,13892
0.509,1.018,98.473,0,0,0,0,7288256,7288256,0,0,14185,13902
0.506,1.266,97.975,0.253,0,0,24576,7286152,7286152,0,0,14177,13901
0.510,0.765,98.724,0,0,0,0,7284048,7284048,0,0,14213,13900
0.505,1.768,97.727,0,0,0,0,7285100,7286152,0,0,14175,13884
0.759,1.266,97.975,0,0,0,0,8547820,8548196,0,0,14033,13700
0.759,1.519,97.722,0,0,0,0,9640428,9639000,0,0,13816,13546
