"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/ping-1570630571-orig-jumbo-9000-dstat.csv",,,,"Date:","09 Oct 2019 16:20:45 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.362,3.038,86.934,4.666,0,6938.448,29377917.175,0,0,0,0,23274.414,26275.373
3.970,2.481,93.548,0,0,0,0,2148276,2148276,0,0,28594,27649
3.722,2.481,93.797,0,0,0,0,2146248,2146248,0,0,28555,27623
2.273,2.273,95.455,0,0,0,0,2147028,2147028,0,0,28569,27594
3.769,1.759,94.221,0.251,0,0,0,3091888,3091732,0,0,30488,29496
4.511,2.256,93.233,0,0,0,45056,4627335,4627602,0,0,33640,32685
3.509,3.008,93.484,0,0,0,0,4638082,4638205,0,0,33708,32767
4.040,2.020,93.939,0,0,0,0,5824831,5824944,0,0,33241,32256
4.250,2.250,93.500,0,0,0,0,8540100,8540243,0,0,32667,31730
3.980,3.234,92.786,0,0,0,0,8454780,8454780,0,0,32354,31433
4.726,2.488,92.786,0,0,0,28672,9213692,9214204,0,0,31872,30926
4.478,2.488,92.786,0.249,0,0,0,14616488,14616488,0,0,28831,27867
4.250,2.250,93.500,0,0,0,4096,14685920,14685920,0,0,28961,27975
3.258,3.258,93.484,0,0,0,0,14663828,14662776,0,0,28915,27939
3.769,2.010,94.221,0,0,0,0,16263944,16265372,0,0,27294,26277
2.785,2.278,94.937,0,0,0,28672,17969952,17969952,0,0,26216,25262
3.509,2.005,94.486,0,0,0,0,17525844,17524416,0,0,25590,24600
3.509,2.005,94.236,0.251,0,0,1208320,17378760,17378760,0,0,25404,24414
3.275,2.267,94.458,0,0,0,0,17930824,17932338,0,0,25538,24531
3.500,2.500,94,0,0,0,0,18623714,18623714,0,0,25647,24676
4.010,1.754,94.236,0,0,0,36864,18626742,18626742,0,0,25652,24672
3.500,2.250,94.250,0,0,0,0,18180235,18180112,0,0,25059,24070


"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final1/ping-1570630571-orig-jumbo-9000-dstat.csv",,,,"Date:","09 Oct 2019 16:21:51 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.360,3.037,86.941,4.662,0,6933.186,29355915.823,0,0,0,0,23271.359,26269.616
3.509,2.256,94.236,0,0,0,0,2145936,2145936,0,0,28552,27584
3.008,2.005,92.732,2.256,0,0,18890752,2135328,2135328,0,0,28442,27438
3.741,2.244,94.015,0,0,0,0,2140320,2140320,0,0,28482,27546
3.518,2.261,94.221,0,0,0,0,3044164,3044292,0,0,30265,29261
3.258,3.008,93.484,0.251,0,0,49152,4622223,4622206,0,0,33593,32660
4.020,2.261,93.719,0,0,0,0,4628710,4628549,0,0,33640,32690
3.308,2.036,94.656,0,0,0,0,5734675,5735072,0,0,33188,32215
3.769,2.513,93.719,0,0,0,0,8456400,8456003,0,0,32364,31381
3.053,2.290,94.656,0,0,0,0,8451540,8452080,0,0,32345,31378
4.061,1.523,94.416,0,0,0,28672,9017916,9017376,0,0,31978,30992
3.553,1.523,94.924,0,0,0,0,14629112,14629112,0,0,28863,27897
4.229,2.736,93.035,0,0,0,0,14712220,14713272,0,0,29007,28042
3.038,2.532,94.430,0,0,0,0,14705908,14705908,0,0,29001,28025
4,2.500,93.500,0,0,0,0,16165788,16166164,0,0,27343,26372
3.258,2.506,93.985,0.251,0,0,28672,18065628,18065628,0,0,26353,25415
3.960,2.723,93.317,0,0,0,0,17187408,17187408,0,0,25109,24171
3.275,2.015,94.710,0,0,0,126976,17468724,17467296,0,0,25533,24539
3.741,2.494,93.766,0,0,0,0,18008220,18008220,0,0,25690,24699
4.657,3.186,92.157,0,0,0,0,18652480,18652480,0,0,25682,24711
3.008,3.008,93.985,0,0,0,28672,18634312,18635826,0,0,25657,24705
3.023,2.267,94.710,0,0,0,0,18619295,18619278,0,0,25634,24673
