"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/iperf3-1572270041-100-macsec-aegis128l-e-1500-dstat.csv",,,,"Date:","28 Oct 2019 22:06:59 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.645,0.091,99.204,0.059,0,6321.807,415438.763,0,0,0,0,3495.795,344.228
0.517,1.292,98.191,0,0,0,0,445249,114477715,0,0,3885,283
0.518,0.259,99.223,0,0,0,0,482406,122452506,0,0,4058,237
0.260,0,99.740,0,0,0,69632,481770,122455542,0,0,4060,228
0,0.519,99.481,0,0,0,0,475410,122454024,0,0,4064,230
0.260,0.260,99.481,0,0,0,0,482700,122452506,0,0,4051,208
0.260,0,99.740,0,0,0,0,481770,122454024,0,0,4059,220
0,0.260,99.740,0,0,0,0,483784,122454024,0,0,4044,199
0,0.519,99.481,0,0,0,90112,471382,122455542,0,0,4113,238
0.260,0.260,99.481,0,0,0,12288,484950,122454134,0,0,4097,233
0.260,0,99.740,0,0,0,0,484950,122452506,0,0,4050,210
0.777,1.813,97.409,0,0,0,0,380701,100299915,0,0,5914,591
0,0,99.736,0.264,0,0,0,476894,122452506,0,0,4067,234
0.264,0.264,99.472,0,0,0,0,486687,122455542,0,0,4056,220
0,0,100,0,0,0,0,487070,122449470,0,0,4047,207
0.773,0.515,98.711,0,0,0,45056,488236,122452506,0,0,4068,240
0.519,0,99.481,0,0,0,0,477918,122454024,0,0,4086,244
0.258,0.517,99.225,0,0,0,0,484314,122455542,0,0,4049,205
0,0,100,0,0,0,5574656,487176,122452506,0,0,4057,219
0,0.260,99.740,0,0,0,0,486116,122454024,0,0,4054,206
0,0.260,99.740,0,0,0,0,484950,122454024,0,0,4061,232
0.258,1.550,98.191,0,0,0,20480,389190,100368226,0,0,3462,553
0.260,0.260,99.481,0,0,0,0,482618,122450988,0,0,4042,207
0.260,0,99.740,0,0,0,294912,482618,122455542,0,0,4116,249
0,0.260,99.740,0,0,0,0,474244,122454024,0,0,4063,217
0.260,0,99.740,0,0,0,0,483458,122454024,0,0,4053,211
0.258,0.517,99.225,0,0,0,0,483678,122452506,0,0,4050,209
0.518,0.259,98.964,0.259,0,0,49152,482830,122454024,0,0,4081,237
0,0,100,0,0,0,0,484526,122454024,0,0,4073,225
0,0.519,99.481,0,0,0,0,481346,122455542,0,0,4064,210
0,0,100,0,0,0,0,477318,122452506,0,0,4051,213
1.546,1.031,97.423,0,0,0,0,393962,100463964,0,0,3449,555
1.047,0.262,98.691,0,0,0,0,484950,122450988,0,0,4073,242
0.263,0.263,99.474,0,0,0,45056,484420,122458578,0,0,4074,239
0.264,0.264,99.472,0,0,0,32768,483784,122452506,0,0,4055,209
0.262,0.262,99.475,0,0,0,0,484102,122452506,0,0,4053,216
0.259,0.518,99.223,0,0,0,0,467424,122452506,0,0,4080,235
0,0.260,99.740,0,0,0,0,481240,122455542,0,0,4054,206
0,0.260,99.740,0,0,0,0,483466,122452506,0,0,4040,203
0.260,0.260,99.481,0,0,0,73728,481664,122455542,0,0,4094,234
0.260,0.260,99.481,0,0,0,0,482194,122454024,0,0,4061,225
0.771,1.542,97.686,0,0,0,0,396552,100407693,0,0,4700,564
0,0,100,0,0,0,0,482840,122452612,0,0,4045,211
0,0.260,99.740,0,0,0,0,484420,122452506,0,0,4050,220
0,0.260,99.740,0,0,0,0,480074,122454024,0,0,4060,229
0.519,0,99.481,0,0,0,45056,470498,122454024,0,0,4066,224
0.260,0.260,99.481,0,0,0,0,472336,122454024,0,0,4061,211
