"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/iperf3-1572270041-100-macsec-aegis128l-e-frag-dstat.csv",,,,"Date:","28 Oct 2019 18:50:37 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.463,0.078,99.398,0.061,0,6587.564,431353.244,0,0,0,0,2529.919,319.248
6.965,1.493,91.542,0,0,0,0,1974409,112431847,0,0,17439,386
7.018,0.251,92.732,0,0,0,0,2120206,120652444,0,0,18646,333
7.250,0.250,92.500,0,0,0,0,2118516,120657174,0,0,18631,346
7.232,0.499,92.269,0,0,0,61440,2120088,120657174,0,0,18658,364
7,0.250,92.750,0,0,0,4096,2118410,120653962,0,0,18649,353
7.268,0,92.732,0,0,0,0,2120088,120655568,0,0,18641,335
7.940,0.248,91.811,0,0,0,0,2118516,120657174,0,0,18630,357
7,0.250,92.750,0,0,0,0,2120312,120655568,0,0,18648,363
7.018,0.251,92.732,0,0,0,0,2120206,120655568,0,0,18662,355
7.444,0.496,91.811,0.248,0,0,12288,2118622,120655568,0,0,18633,361
6.484,1.247,92.269,0,0,0,0,1715529,97971831,0,0,15318,667
7.711,0,92.289,0,0,0,0,2120194,120657174,0,0,18634,363
7.018,0.251,92.732,0,0,0,0,2118557,120652503,0,0,18625,370
7.232,0.249,92.519,0,0,0,0,2120100,120657086,0,0,18624,349
7.250,0.250,92.500,0,0,0,0,2118622,120657284,0,0,18629,367
7.214,0.498,92.289,0,0,0,45056,2121168,120653874,0,0,18643,376
6.801,0,93.199,0,0,0,0,2118410,120655568,0,0,18624,341
7.711,0.249,92.040,0,0,0,0,2121380,120657174,0,0,18644,349
7.444,0.744,91.811,0,0,0,0,2119770,120657086,0,0,18648,348
7.463,0.249,92.289,0,0,0,0,2118516,120654050,0,0,18645,353
5.089,0.763,94.148,0,0,0,4902912,1727709,98452026,0,0,15434,658
7,0.250,92.500,0.250,0,0,53248,2118516,120657086,0,0,18630,343
6.784,0.251,92.965,0,0,0,0,2120088,120652444,0,0,18641,347
7.018,0.251,92.732,0,0,0,0,2120088,120655568,0,0,18649,344
7.232,0.249,92.519,0,0,0,0,2118516,120657086,0,0,18633,359
7.481,0.249,92.269,0,0,0,61440,2120100,120657174,0,0,18665,344
6.784,0.251,92.965,0,0,0,0,2118516,120654050,0,0,18631,333
7.268,0,92.732,0,0,0,12288,2120100,120657086,0,0,18649,377
7.444,0.496,92.060,0,0,0,0,2118516,120657262,0,0,18636,353
7.250,0.250,92.500,0,0,0,0,2121262,120653962,0,0,18647,343
5.570,0.759,93.671,0,0,0,20480,1730060,98476168,0,0,15346,605
7.481,0.249,92.269,0,0,0,0,2117880,120620236,0,0,18624,359
7.232,0.499,92.269,0,0,0,53248,2120194,120658780,0,0,18655,377
6.983,0.499,92.519,0,0,0,0,2118516,120655568,0,0,18635,337
