"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/iperf3-1572270041-100-macsec-aes-gcm-e-jumbo-MACsec-Ethernet-dstat.csv",,,,"Date:","28 Oct 2019 20:55:44 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.594,0.086,99.260,0.060,0,6415.718,421044.868,0,0,0,0,3102.358,336.295
7.617,1.966,90.418,0,0,0,0,2056644,114852511,0,0,55431,416
6.733,0.998,92.269,0,0,0,0,2196149,123550224,0,0,59410,353
7.250,0.250,92.500,0,0,0,0,2195896,123550224,0,0,59446,327
7.035,0,92.965,0,0,0,8192,2195896,123553316,0,0,59441,340
7.500,0,92.500,0,0,0,0,2196002,123553206,0,0,59451,330
7.268,0,92.481,0.251,0,0,73728,2195896,123553206,0,0,59432,360
7.268,0,92.732,0,0,0,0,2196002,123553206,0,0,59441,341
7.268,0,92.732,0,0,0,0,2195896,123550224,0,0,59425,329
7.268,0,92.732,0,0,0,4096,2195896,123553206,0,0,59444,336
7.268,0,92.732,0,0,0,0,2196002,123553206,0,0,59444,340
6.266,1.253,92.481,0,0,0,0,1841994,101500953,0,0,49445,699
7.500,0,92.500,0,0,0,57344,2195896,123553206,0,0,59446,358
7.481,0.249,92.269,0,0,0,0,2195684,123535314,0,0,59405,339
7.286,0,91.960,0.754,0,0,19288064,2195896,123553206,0,0,59541,374
7.035,0,92.965,0,0,0,0,2196002,123553206,0,0,59448,333
7.711,0.249,92.040,0,0,0,0,2195896,123550224,0,0,59440,338
6.914,1.728,91.358,0,0,0,0,2195896,123553206,0,0,59440,320
6.880,2.211,90.909,0,0,0,36864,2196002,123553206,0,0,59454,343
6.914,1.728,91.358,0,0,0,0,2195896,123553206,0,0,59442,340
6.948,0.993,91.811,0.248,0,0,0,2195896,123553206,0,0,59445,331
6.983,0.998,92.020,0,0,0,0,1859798,102493957,0,0,49906,699
7.268,0,92.732,0,0,0,0,2195896,123550224,0,0,59427,343
7.268,0,92.732,0,0,0,0,2196002,123553206,0,0,59446,343
7,0.500,92.500,0,0,0,49152,2195896,123553206,0,0,59441,336
6.965,0.995,92.040,0,0,0,0,2194836,123553206,0,0,59431,313
7.108,2.206,90.686,0,0,0,0,2196002,123553206,0,0,59442,336
6.420,2.222,91.358,0,0,0,0,2195896,123550224,0,0,59449,323
7.196,0.993,91.811,0,0,0,0,2196002,123553206,0,0,59440,319
7,0.500,92.500,0,0,0,86016,2196002,123553206,0,0,59462,325
7.268,0.251,92.481,0,0,0,12288,2195896,123553206,0,0,59445,347
6.484,1.247,92.269,0,0,0,0,1835685,101086452,0,0,49264,699
7.090,2.200,90.465,0.244,0,0,0,2195896,123553206,0,0,59437,335
6.683,1.733,91.584,0,0,0,0,2195811,123553206,0,0,59442,323
6.965,0.995,92.040,0,0,0,32768,2196043,123550224,0,0,59446,343
7.731,0.249,92.020,0,0,0,0,2195896,123556188,0,0,59456,387
7.268,0,92.732,0,0,0,57344,2195896,123550224,0,0,59421,338
7.268,0,92.732,0,0,0,0,2196002,123550224,0,0,59444,330
6.801,0,93.199,0,0,0,0,2195896,123553206,0,0,59430,344
7.035,0,92.965,0,0,0,0,2196002,123553206,0,0,59439,315
7.268,0,92.732,0,0,0,0,2195896,123553206,0,0,59438,330
7,0.750,92.250,0,0,0,0,1833831,101035761,0,0,49237,691
7.035,0,92.965,0,0,0,49152,2195896,123553206,0,0,59415,368
7.268,0,92.732,0,0,0,0,2195790,123553316,0,0,59434,349
7.731,0,92.269,0,0,0,0,2196002,123553206,0,0,59451,346
6.801,0,93.199,0,0,0,0,2195790,123550224,0,0,59445,324
7.500,0,92.500,0,0,0,0,2195896,123553206,0,0,59446,342
7.268,0,92.732,0,0,0,0,2196002,123550224,0,0,59439,332
7.519,0,92.481,0,0,0,20480,2195896,123553206,0,0,59447,339
7.500,0,92.500,0,0,0,0,2195896,123553206,0,0,59444,328
7.035,0,92.965,0,0,0,0,2196002,123553206,0,0,59442,345
6.767,0.251,92.982,0,0,0,0,2025563,112688056,0,0,54605,526
