"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/iperf3-1572270041-100-macsec-aes-gcm-we-jumbo-MACsec-Ethernet-dstat.csv",,,,"Date:","28 Oct 2019 21:13:16 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.618,0.087,99.235,0.060,0,6392.351,419641.291,0,0,0,0,3299.808,338.483
7.519,0.752,91.729,0,0,0,73728,2065972,115383413,0,0,53952,429
7.538,0,92.462,0,0,0,0,2196043,123550481,0,0,57589,366
7.538,0,92.462,0,0,0,0,2195896,123553206,0,0,57580,341
8.229,0,91.771,0,0,0,20480,2195896,123553206,0,0,57593,325
7.538,0,92.462,0,0,0,0,2196002,123550224,0,0,57575,346
7.538,0,92.462,0,0,0,73728,2195896,123553206,0,0,57594,354
8.458,0,91.542,0,0,0,0,2195896,123553206,0,0,57574,336
7.538,0,92.462,0,0,0,0,2196002,123553206,0,0,57586,341
7.769,0,91.228,1.003,0,0,18890752,2196002,123553206,0,0,57600,331
8.229,0,91.771,0,0,0,0,2194836,123553206,0,0,57557,352
7.160,1.975,90.864,0,0,0,0,1844698,101590410,0,0,47992,689
7.843,1.961,90.196,0,0,0,57344,2195790,123550224,0,0,57539,359
7.407,1.728,90.864,0,0,0,0,2195472,123553206,0,0,57561,352
7.250,0.750,92,0,0,0,106496,2196002,123553206,0,0,57608,362
7.519,0.251,92.231,0,0,0,0,2195896,123550224,0,0,57568,343
8.209,0.249,91.542,0,0,0,0,2195896,123553206,0,0,57582,346
7.538,0,92.462,0,0,0,0,2196002,123553206,0,0,57575,347
8,0,92,0,0,0,12288,2195896,123553206,0,0,57564,360
8,0,92,0,0,0,0,2195896,123550224,0,0,57572,339
7.305,0,92.695,0,0,0,0,2196002,123553206,0,0,57581,353
7,1,92,0,0,0,0,1860225,102520796,0,0,48387,677
7.769,0,92.231,0,0,0,0,2195896,123550224,0,0,57590,367
7.538,0,92.462,0,0,0,0,2195896,123553206,0,0,57580,363
7.519,0.251,92.231,0,0,0,45056,2196002,123553206,0,0,57562,358
8.354,1.229,90.418,0,0,0,0,2195896,123550224,0,0,57578,336
7.371,2.211,90.418,0,0,0,0,2195896,123556188,0,0,57590,356
6.700,1.985,91.315,0,0,0,0,2196002,123550224,0,0,57584,335
7.901,1.235,90.864,0,0,0,0,2195896,123553206,0,0,57583,329
7.731,0.499,91.771,0,0,0,356352,2196002,123553206,0,0,57667,379
7.305,0,92.695,0,0,0,16384,2195896,123553206,0,0,57581,368
7.940,0.744,91.315,0,0,0,0,1860013,102502905,0,0,48397,698
8,0,92,0,0,0,0,2195896,123553206,0,0,57573,344
7.769,0,92.231,0,0,0,0,2195917,123541278,0,0,57592,414
7.305,0,92.695,0,0,0,28672,2196043,123553353,0,0,57590,374
8.229,0,91.771,0,0,0,0,2195896,123550224,0,0,57570,350
7.519,0,92.231,0.251,0,0,53248,2196002,123556188,0,0,57560,365
7.305,0,92.695,0,0,0,0,2195896,123550224,0,0,57575,325
8.229,0,91.771,0,0,0,0,2195896,123553206,0,0,57573,344
7.769,0,92.231,0,0,0,0,2196002,123553316,0,0,57577,364
7.980,0,92.020,0,0,0,0,2195896,123550224,0,0,57569,346
7,1.250,91.750,0,0,0,0,1851321,102019820,0,0,48188,680
7.538,0,92.462,0,0,0,45056,2195896,123553206,0,0,57504,389
7.305,0,92.695,0,0,0,0,2195896,123553206,0,0,57574,347
8,0,92,0,0,0,0,2195896,123550224,0,0,57577,350
7.769,0,92.231,0,0,0,262144,2196002,123553206,0,0,57637,370
