"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/iperf3-1572270041-100-macsec-aesgcm-e-jumbo-dstat.csv",,,,"Date:","28 Oct 2019 19:09:25 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.488,0.079,99.372,0.061,0,6561.149,429833.177,0,0,0,0,2590.713,323.679
6.030,1.256,92.714,0,0,0,0,1995885,113874793,0,0,4756,359
4.810,0.253,94.937,0,0,0,0,2149574,122814174,0,0,5028,285
6.667,0.247,93.086,0,0,0,0,2150952,122814284,0,0,5028,303
3.807,0.254,95.939,0,0,0,69632,2150952,122815728,0,0,5031,278
6.452,0,93.548,0,0,0,0,2150846,122815728,0,0,5028,315
5.237,0.499,94.264,0,0,0,0,2149680,122817282,0,0,5027,259
4.315,0,95.685,0,0,0,0,2149786,122803296,0,0,5028,276
6.897,0.246,92.857,0,0,0,0,2151058,122832822,0,0,5059,385
3.807,0.254,95.939,0,0,0,0,2150846,122814174,0,0,5029,274
6.188,0.495,93.317,0,0,0,12288,2151164,122823498,0,0,5032,315
5.276,1.256,93.467,0,0,0,0,1757067,100192107,0,0,4332,704
6.250,0.250,93.500,0,0,0,0,2148343,122812620,0,0,5032,289
5.013,0.251,94.737,0,0,0,0,2148408,122807958,0,0,5028,293
6.667,0.247,93.086,0,0,0,0,2148196,122825052,0,0,5030,307
4.061,0.254,95.685,0,0,0,0,2148832,122812620,0,0,5029,267
5.736,0.249,94.015,0,0,0,45056,2149362,122817282,0,0,5035,305
6.420,0.247,93.333,0,0,0,0,2147348,122815728,0,0,5026,296
3.581,0,96.419,0,0,0,0,2147242,122803296,0,0,5030,259
6.880,0.246,92.875,0,0,0,0,2148514,122832822,0,0,5030,307
4.545,0.253,95.202,0,0,0,5259264,2148302,122815728,0,0,5097,307
5.473,1.244,93.284,0,0,0,0,1123727,100353719,0,0,4331,708
5.693,0.248,93.812,0.248,0,0,65536,549398,122814174,0,0,5034,302
5.693,0.248,94.059,0,0,0,0,549610,122815728,0,0,5027,276
3.053,0.254,96.692,0,0,0,0,549610,122817282,0,0,5029,254
6.173,0.247,93.580,0,0,0,4096,549716,122815728,0,0,5029,301
3.788,0.253,95.960,0,0,0,0,549504,122814174,0,0,5029,257
4.511,0.251,95.238,0,0,0,0,550458,122804850,0,0,5026,279
5.926,0.247,93.827,0,0,0,12288,550458,122829714,0,0,5035,306
3.308,0.254,96.438,0,0,0,0,551306,122814174,0,0,5028,260
6.158,0.246,93.596,0,0,0,0,550246,122807958,0,0,5032,300
4.040,1.263,94.697,0,0,0,0,977331,99324973,0,0,4300,688
3.571,0.255,96.173,0,0,0,0,633138,122814174,0,0,5029,258
6.158,0.246,93.596,0,0,0,0,541554,122814174,0,0,5028,313
4.975,0.249,94.527,0.249,0,0,45056,541236,122804850,0,0,5032,267
3.544,0.253,96.203,0,0,0,102400,541978,122826606,0,0,5043,267
6.173,0.247,93.580,0,0,0,0,542402,122817282,0,0,5031,296
3.788,0.253,95.960,0,0,0,0,542508,122814174,0,0,5027,265
4.975,0.498,94.527,0,0,0,0,542720,122815728,0,0,5029,299
5.707,0,94.293,0,0,0,0,543356,122817282,0,0,5026,283
3.308,0.254,96.438,0,0,0,20480,543462,122815728,0,0,5036,283
6.914,0.988,92.099,0,0,0,0,443610,99483481,0,0,4322,447
5.721,0,94.279,0,0,0,0,533604,122815728,0,0,5042,324
3.299,0.254,96.447,0,0,0,0,534346,122812620,0,0,5029,256
6.373,0.245,93.137,0.245,0,0,0,535724,122826606,0,0,5028,298
4.271,0.251,95.477,0,0,0,0,534982,122807958,0,0,5025,271
4.030,0.504,95.466,0,0,0,45056,535618,122815728,0,0,5034,274
6.388,0.246,93.366,0,0,0,0,534452,122803296,0,0,5025,300
3.788,0.253,95.960,0,0,0,0,535406,122828160,0,0,5029,261
5,0,95,0,0,0,0,534664,122815728,0,0,5028,292
5.459,0.248,94.293,0,0,0,0,535724,122817282,0,0,5032,283
2.799,0.254,96.947,0,0,0,0,473373,108189762,0,0,4567,299
7.353,1.225,91.422,0,0,0,36864,2005637,114344101,0,0,4779,386
4.545,0.253,95.202,0,0,0,0,2151270,122804850,0,0,5026,278
4.511,0.501,94.987,0,0,0,0,1070706,122825052,0,0,5050,344
5.941,0,94.059,0,0,0,0,516326,122815728,0,0,5026,278
3.299,0.254,96.447,0,0,0,245760,516750,122832822,0,0,5083,294
6.158,0.246,93.596,0,0,0,45056,517068,122809512,0,0,5033,339
4.511,0.501,94.987,0,0,0,0,517704,122804960,0,0,5028,271
3.788,0.253,95.960,0,0,0,0,517704,122815728,0,0,5027,271
6.388,0.246,93.366,0,0,0,0,517280,122803296,0,0,5029,315
4.040,0,95.960,0,0,0,0,518128,122829714,0,0,5028,267
4.040,1.263,94.697,0,0,0,0,424528,99718134,0,0,4319,349
7.543,0.243,92.214,0,0,0,45056,523958,122817282,0,0,5032,332
3.544,0.253,96.203,0,0,0,0,533816,122803296,0,0,5028,265
5.926,0.247,93.827,0,0,0,0,534346,122826606,0,0,5028,301
4.040,0,95.960,0,0,0,8192,534664,122815728,0,0,5030,248
4.500,0.500,95,0,0,0,0,535512,122809512,0,0,5030,283
6.173,0,93.827,0,0,0,0,535088,122812620,0,0,5031,309
3.291,0.506,95.949,0.253,0,0,20480,535512,122812620,0,0,5031,273
5.926,0.247,93.827,0,0,0,196608,534876,122829714,0,0,5073,367
