"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/iperf3-1572270041-100-macsec-aesgcm-we-dstat.csv",,,,"Date:","28 Oct 2019 17:39:03 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.360,0.072,99.505,0.062,0,6690.052,437517.253,0,0,0,0,2360.294,309.663
0.781,1.562,97.656,0,0,0,0,463547,114359311,0,0,4067,331
0.263,0.526,99.211,0,0,0,0,501168,122452506,0,0,4046,207
0.525,0.262,99.213,0,0,0,0,500426,122454024,0,0,4054,225
0.525,0.262,99.213,0,0,0,61440,491628,122454024,0,0,4073,238
0,0.264,99.736,0,0,0,0,497210,122452506,0,0,4050,210
0,0.264,99.736,0,0,0,0,498412,122454024,0,0,4048,210
0,0.264,99.736,0,0,0,0,499790,122454024,0,0,4047,206
0.526,0.263,99.211,0,0,0,0,500002,122454024,0,0,4065,239
0,0,100,0,0,0,0,497988,122454024,0,0,4050,211
0.262,0.525,99.213,0,0,0,12288,499472,122455542,0,0,4068,221
0.792,1.319,97.889,0,0,0,0,395848,99850692,0,0,3468,580
0.533,0.267,99.200,0,0,0,0,482023,122454171,0,0,4084,244
0.535,0,99.465,0,0,0,0,485692,122454024,0,0,4068,231
0.265,0.265,99.469,0,0,0,0,486540,122452616,0,0,4059,213
0,0.264,99.736,0,0,0,0,484290,122452506,0,0,4058,210
0,0.264,99.736,0,0,0,45056,484314,122454024,0,0,4083,230
0,0,100,0,0,0,0,488236,122454024,0,0,4056,208
0.262,0.525,99.213,0,0,0,0,486858,122454024,0,0,4053,213
0,0.264,99.736,0,0,0,0,488872,122455542,0,0,4052,211
0,0.264,99.736,0,0,0,0,488130,122454024,0,0,4063,218
1.554,1.813,96.632,0,0,0,4374528,395884,100366708,0,0,3687,633
0.267,0.533,99.200,0,0,0,49152,493006,122454024,0,0,4066,226
0,0.268,99.732,0,0,0,0,492688,122452506,0,0,4064,231
0,0.268,99.732,0,0,0,0,492158,122454024,0,0,4062,228
