"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/iperf3-1572270041-100-macsec-chachapoly-e-frag-dstat.csv",,,,"Date:","28 Oct 2019 18:14:53 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.390,0.075,99.473,0.062,0,6638.333,434385.853,0,0,0,0,2428.454,314.093
10.633,1.519,87.848,0,0,0,0,1971003,112398351,0,0,12825,446
12.750,0.250,87,0,0,0,0,2120088,120655568,0,0,13719,529
13.333,0.494,86.173,0,0,0,0,2118516,120655480,0,0,13668,473
12.281,0.251,87.469,0,0,0,0,2120206,120655656,0,0,13699,451
12.500,0.250,86.750,0.500,0,4096,10911744,2118516,120657086,0,0,13663,461
11.869,0.253,87.879,0,0,0,73728,2118298,120655656,0,0,13739,479
12.500,0.250,87.250,0,0,0,0,2118516,120654072,0,0,13686,453
12.469,0.748,86.783,0,0,0,0,2118074,120655480,0,0,13731,449
12.687,0.498,86.816,0,0,0,0,2118537,120657174,0,0,13661,460
13.151,0.496,86.352,0,0,0,376832,2120235,120655568,0,0,13825,507
9.824,1.511,88.665,0,0,0,0,1743817,99292021,0,0,11460,483
13.300,0.739,85.961,0,0,0,53248,2118516,120655568,0,0,13683,483
13,0,87,0,0,0,0,2120088,120655568,0,0,13720,474
12.687,0.498,86.816,0,0,0,0,2119676,120657174,0,0,13748,497
12.903,0.496,86.600,0,0,0,0,2118516,120655568,0,0,13678,484
12.750,0.250,87,0,0,0,0,2120244,120655568,0,0,13712,463
12.718,0.249,87.032,0,0,0,0,2118516,120655480,0,0,13664,452
12.968,0,87.032,0,0,0,12288,2120206,120655656,0,0,13724,490
13.433,0,86.567,0,0,0,0,2118516,120655568,0,0,13661,468
12.469,0.499,87.032,0,0,0,0,2120206,120655568,0,0,13712,450
11.794,1.720,86.486,0,0,0,0,1742345,99258235,0,0,11461,517
12.060,0.251,87.688,0,0,0,0,2118516,120655568,0,0,13679,458
12.091,0.252,87.657,0,0,0,0,2119982,120655568,0,0,13719,454
12.718,0.249,87.032,0,0,0,49152,2118622,120657174,0,0,13658,472
13,0,87,0,0,0,0,2119982,120655568,0,0,13722,456
12.500,0.250,87.250,0,0,0,0,2118934,120597752,0,0,13736,497
12.718,0.499,86.783,0,0,0,0,2119576,120713384,0,0,13684,461
12.469,0.499,87.032,0,0,0,0,2120206,120655568,0,0,13712,453
12.655,0.744,86.600,0,0,0,0,2118516,120655568,0,0,13666,449
12.343,0,87.657,0,0,0,12288,2119888,120658780,0,0,13727,487
10.276,1.504,88.221,0,0,4096,20480,1745131,99292016,0,0,11464,480
12.968,0.249,86.783,0,0,0,0,2118516,120655568,0,0,13668,464
12.469,0.499,87.032,0,0,0,0,2120100,120655568,0,0,13729,481
12.750,0.250,87,0,0,0,0,2118410,120658780,0,0,13671,468
12.903,0.496,86.600,0,0,0,0,2120100,120653962,0,0,13714,453
12.531,0.251,87.218,0,0,0,57344,2118516,120655568,0,0,13661,476
12.718,0.249,87.032,0,0,0,0,2120100,120657174,0,0,13694,446
13.433,0,86.567,0,0,0,0,2118516,120655568,0,0,13674,490
12.935,0.249,86.816,0,0,0,0,2121368,120655568,0,0,13703,447
13.151,0.496,86.352,0,0,0,0,2120100,120655568,0,0,13711,469
12.039,1.229,86.732,0,0,0,233472,1737577,99253420,0,0,11478,539
13.086,0.494,86.420,0,0,0,61440,2118304,120658780,0,0,13621,498
12.312,0.251,87.437,0,0,0,0,2120350,120655568,0,0,13679,458
13.119,0.495,86.386,0,0,0,0,2118516,120657086,0,0,13660,459
12.968,0.249,86.783,0,0,0,0,2120350,120655656,0,0,13700,455
12.968,0,87.032,0,0,0,57344,2118516,120655568,0,0,13684,477
12.935,0.498,86.567,0,0,0,0,2119502,120608994,0,0,13693,457
12.312,0,87.688,0,0,0,12288,2118410,120657174,0,0,13664,471
12.531,0.251,87.218,0,0,0,0,2120114,120655568,0,0,13711,459
13.580,0.247,86.173,0,0,0,0,2118516,120655568,0,0,13658,495
10.973,0.998,88.030,0,0,0,0,1762626,100260168,0,0,11519,460
12.782,0,87.218,0,0,0,0,2102344,119682544,0,0,13604,485
13,0,87,0,0,0,0,2120206,120655568,0,0,13703,487
12.281,0.251,87.469,0,0,0,49152,2118410,120657174,0,0,13697,493
13.184,0.249,86.567,0,0,0,0,2120206,120653962,0,0,13704,462
12.750,0,87.250,0,0,0,0,2118516,120657174,0,0,13663,463
12.469,0.748,86.783,0,0,0,0,2120244,120655568,0,0,13720,445
12.935,0.249,86.816,0,0,0,0,2118410,120655568,0,0,13668,483
13.580,0.494,85.926,0,0,0,0,2119782,120655568,0,0,13710,475
13.119,0.495,86.386,0,0,0,12288,2118622,120657174,0,0,13677,486
12.531,0,87.469,0,0,0,28672,2120244,120653962,0,0,13709,449
9.391,1.523,89.086,0,0,0,0,1740284,99285538,0,0,11507,499
12.718,0.249,87.032,0,0,0,0,2117562,120655568,0,0,13650,456
13.119,0.743,86.139,0,0,0,0,2120244,120657174,0,0,13707,471
12.903,0.496,86.600,0,0,0,0,2120088,120655480,0,0,13701,467
13.184,0.249,86.567,0,0,0,65536,2118516,120654050,0,0,13678,509
12.968,0,87.032,0,0,0,0,2120088,120657174,0,0,13713,461
13.184,0.249,86.567,0,0,0,0,2118516,120657086,0,0,13648,466
12.469,0.499,87.032,0,0,0,0,2119770,120652444,0,0,13717,452
12.782,0,87.218,0,0,0,0,2118516,120657174,0,0,13670,465
12.687,0.498,86.816,0,0,0,245760,2120194,120657174,0,0,13773,514
10.973,1.247,87.781,0,0,0,0,1740718,99264753,0,0,11448,512
12.968,0.249,86.783,0,0,0,0,2118643,120653962,0,0,13650,478
12.903,0.496,86.600,0,0,0,0,2119861,120655480,0,0,13726,479
12.903,0.496,86.352,0.248,0,0,0,2118516,120655715,0,0,13663,469
12.219,0.748,87.032,0,0,0,0,2120232,120657086,0,0,13715,445
12.091,0.252,87.657,0,0,0,53248,2120206,120655568,0,0,13725,453
11.970,0.998,87.032,0,0,0,0,2118516,120653962,0,0,13682,455
12.030,0.501,87.469,0,0,0,0,2120206,120655568,0,0,13714,443
13,0,87,0,0,0,0,2118516,120657174,0,0,13651,454
12.250,0.500,87.250,0,0,0,0,2120206,120653962,0,0,13711,441
9.848,1.263,88.889,0,0,0,57344,1740113,99237271,0,0,11482,727
12.438,0.746,86.816,0,0,0,49152,2118516,120654050,0,0,13694,471
13.184,0.249,86.567,0,0,0,0,2120088,120657174,0,0,13712,457
13.119,0.495,86.386,0,0,0,0,2118516,120655568,0,0,13665,466
12.968,0.249,86.783,0,0,0,0,2120088,120655568,0,0,13715,475
12.935,0.249,86.816,0,0,0,0,2118516,120655568,0,0,13679,454
12.687,0.498,86.816,0,0,0,0,2121380,120657174,0,0,13724,457
12.968,0.249,86.783,0,0,0,12288,2120312,120655568,0,0,13701,466
13.366,0.248,86.386,0,0,0,0,2118516,120653962,0,0,13664,483
12.312,0.251,87.437,0,0,0,0,2120100,120655568,0,0,13707,443
10.327,0.756,88.917,0,0,0,24576,1739487,99242231,0,0,11436,700
12.968,0.249,86.783,0,0,0,0,2118622,120655568,0,0,13677,465
12.687,0.498,86.816,0,0,0,0,2119982,120657174,0,0,13737,476
12.903,0.744,86.352,0,0,0,57344,2118516,120655568,0,0,13679,477
13.151,0.248,86.600,0,0,0,0,2120100,120653962,0,0,13704,468
13.184,0.249,86.567,0,0,0,4096,2118622,120657174,0,0,13669,460
12.871,0.743,86.386,0,0,0,0,2120100,120655568,0,0,13750,480
12.563,0,87.437,0,0,0,0,2118516,120655568,0,0,13673,461
12.438,0.746,86.816,0,0,0,0,2121148,120655568,0,0,13754,450
12.563,0,87.437,0,0,0,12288,2118622,120655568,0,0,13676,462
10.526,1.253,88.221,0,0,0,221184,1742121,99244393,0,0,11561,731
12.343,0,87.657,0,0,0,0,2121558,120658746,0,0,13681,472
12.718,0.249,87.032,0,0,0,0,2119970,120655568,0,0,13707,455
12.750,0.250,87,0,0,0,0,2118516,120657086,0,0,13659,455
12.500,0.250,87.250,0,0,0,0,2120206,120654050,0,0,13714,474
12.968,0.249,86.783,0,0,0,57344,2118516,120657174,0,0,13668,472
12.219,0.748,87.032,0,0,0,0,2119902,120636296,0,0,13707,444
12.968,0.249,86.783,0,0,0,0,2118516,120658692,0,0,13652,453
12.750,0,87.250,0,0,0,0,2120100,120655568,0,0,13710,468
13.151,0.248,86.352,0.248,0,0,0,2118516,120655568,0,0,13634,464
12.469,0,87.531,0,0,0,0,2031413,115650480,0,0,13200,444
12.285,1.720,85.995,0,0,0,12288,1831745,104232809,0,0,11989,785
13.119,0.495,86.386,0,0,0,0,2119994,120655656,0,0,13747,483
12.250,0.750,87,0,0,0,0,2118622,120655568,0,0,13670,452
12.500,0.250,87.250,0,0,0,0,2119876,120655568,0,0,13715,455
13.151,0.496,86.352,0,0,0,0,2118622,120657174,0,0,13677,460
12.469,0.499,87.032,0,0,0,65536,2120100,120655568,0,0,13745,481
13.184,0.249,86.567,0,0,0,0,2118516,120655568,0,0,13672,457
12.250,0.750,87,0,0,0,0,2120206,120655568,0,0,13725,445
12.531,0,87.469,0,0,0,0,2118516,120655568,0,0,13673,448
12.750,0.250,87,0,0,0,0,2121262,120657174,0,0,13714,468
12.285,1.229,86.486,0,0,0,28672,1736825,99287146,0,0,11433,748
12.500,0.250,87.250,0,0,0,53248,2118516,120655568,0,0,13658,460
12.935,0.498,86.567,0,0,0,0,2120244,120655568,0,0,13718,460
12.903,0.496,86.600,0,0,0,0,2118410,120655568,0,0,13687,478
12.687,0.746,86.567,0,0,0,0,2120088,120657174,0,0,13734,453
13.614,0,86.386,0,0,0,4096,2121298,120655480,0,0,13736,476
12.750,0.250,87,0,0,0,0,2118198,120655656,0,0,13675,513
12.655,0.496,86.600,0.248,0,0,40960,2117980,120655568,0,0,13750,481
12.563,0,87.437,0,0,0,0,2118516,120655568,0,0,13652,454
12.469,0.499,87.032,0,0,0,0,2120206,120655568,0,0,13700,452
12.099,1.235,86.667,0,0,0,389120,1734887,99248601,0,0,11501,768
12.718,0.249,87.032,0,0,0,0,2118516,120653962,0,0,13666,478
12.718,0.499,86.783,0,0,0,0,2120418,120657174,0,0,13725,462
13.217,0,86.783,0,0,0,61440,2118410,120655568,0,0,13658,475
12.935,0.249,86.816,0,0,0,0,2120244,120655568,0,0,13698,463
12.935,0.498,86.567,0,0,0,0,2118410,120655568,0,0,13693,483
12.750,0,87.250,0,0,0,0,2120206,120655568,0,0,13687,443
12,0.750,87.250,0,0,0,0,2120100,120655568,0,0,13720,443
13.151,0.496,86.352,0,0,0,0,2118516,120657174,0,0,13659,455
11.529,0.752,87.469,0.251,0,0,12288,2118298,120655568,0,0,13732,465
10.101,1.263,88.636,0,0,0,0,1743727,99264716,0,0,11453,709
12.718,0.249,87.032,0,0,0,0,2118622,120655568,0,0,13666,458
12.935,0.498,86.567,0,0,0,0,2120126,120657174,0,0,13719,473
12.531,0,87.469,0,0,0,0,2118516,120655568,0,0,13671,469
12.687,0.746,86.567,0,0,0,0,2120088,120655568,0,0,13741,522
12.687,0.746,86.567,0,0,0,106496,2118516,120657174,0,0,13694,467
12.312,0,87.688,0,0,0,0,2120100,120653962,0,0,13698,451
13.333,0.741,85.926,0,0,0,0,2118516,120655568,0,0,13672,489
12.935,0.249,86.816,0,0,0,0,2119864,120657174,0,0,13705,451
13,0,87,0,0,0,0,2118516,120653962,0,0,13654,461
9.367,1.519,89.114,0,0,0,32768,1744831,99259842,0,0,11473,693
13.300,0.493,85.961,0.246,0,0,53248,2124428,120631532,0,0,13745,500
12.563,0,87.437,0,0,0,0,2122448,120653962,0,0,13760,458
12.469,0.499,87.032,0,0,0,0,2118516,120657174,0,0,13670,451
12.903,0.496,86.600,0,0,0,0,2118516,120655568,0,0,13667,456
12.500,0.250,87.250,0,0,0,0,2120312,120655568,0,0,13720,476
12.687,0.746,86.567,0,0,0,8192,2118622,120657174,0,0,13681,455
12.312,0,87.688,0,0,0,28672,2119994,120653962,0,0,13717,458
12.091,0.252,87.657,0,0,0,0,2118516,120655568,0,0,13658,439
12.531,0,87.469,0,0,0,0,2120206,120655568,0,0,13700,470
11.750,0.250,88,0,0,0,0,1909580,108760158,0,0,12375,694
11.111,1.010,87.879,0,0,0,225280,1944999,110988283,0,0,12742,476
13.300,0.493,85.961,0.246,0,0,0,2120338,120655568,0,0,13714,472
12.718,0.499,86.783,0,0,0,53248,2118516,120657086,0,0,13683,492
12.718,0.499,86.783,0,0,0,0,2120100,120654050,0,0,13689,453
12.250,0.500,87.250,0,0,0,0,2118516,120655568,0,0,13656,445
12.935,0.498,86.567,0,0,0,0,2119075,120612206,0,0,13715,455
12.531,0,87.469,0,0,0,0,2118410,120653962,0,0,13676,465
13.184,0.249,86.567,0,0,0,0,2120206,120657174,0,0,13706,460
12.500,0.250,87.250,0,0,0,12288,2118516,120655568,0,0,13652,466
12.563,0,87.437,0,0,0,0,2120312,120655568,0,0,13700,460
10.777,1.003,88.221,0,0,0,4096,1744419,99306417,0,0,11478,746
12.624,0.990,86.386,0,0,0,0,2118410,120653962,0,0,13666,458
13,0,87,0,0,0,0,2120984,120621842,0,0,13724,487
13.547,0.493,85.961,0,0,0,0,2120656,120690900,0,0,13732,477
12.718,0.499,86.783,0,0,0,49152,2118516,120655568,0,0,13672,486
12.968,0,87.032,0,0,0,0,2120300,120655568,0,0,13706,458
12.469,0.748,86.783,0,0,0,0,2118410,120655480,0,0,13667,446
12.281,0.251,87.469,0,0,0,0,2120312,120655747,0,0,13724,450
12.718,0.499,86.783,0,0,0,0,2118516,120657086,0,0,13657,465
12.091,0,87.909,0,0,0,0,2120206,120655568,0,0,13696,451
9.572,1.511,88.665,0.252,0,0,32768,1743675,99255026,0,0,11482,707
12.718,0.499,86.783,0,0,0,0,2118516,120653962,0,0,13671,455
13.119,0.495,86.386,0,0,0,0,2120244,120655568,0,0,13741,485
13,0,87,0,0,0,0,2118516,120655568,0,0,13663,456
12.655,0.744,86.600,0,0,0,0,2119982,120657174,0,0,13728,457
13.433,0,86.567,0,0,0,0,2118410,120655568,0,0,13662,480
13.333,0.494,86.173,0,0,0,49152,2120206,120655568,0,0,13749,501
13.184,0.249,86.567,0,0,0,0,2118498,120655568,0,0,13718,461
13.184,0,86.816,0,0,0,0,2118516,120655568,0,0,13656,464
12.718,0.499,86.783,0,0,0,0,2121380,120655568,0,0,13740,465
23.472,1.467,75.061,0,0,0,348160,1716745,97981465,0,0,11537,1229
