"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/iperf3-1572270041-100-macsec-chachapoly-we-1500-dstat.csv",,,,"Date:","28 Oct 2019 21:31:10 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.642,0.089,99.209,0.060,0,6368.660,418266.561,0,0,0,0,3489.072,340.666
0.529,1.323,98.148,0,0,0,0,431259,113823457,0,0,3931,317
0,0.531,99.469,0,0,0,73728,478166,122452506,0,0,4069,231
0,0.267,99.733,0,0,0,0,478484,122454024,0,0,4061,218
0.265,0.531,99.204,0,0,0,0,478166,122455542,0,0,4049,208
0.531,0.265,99.204,0,0,0,356352,472300,122454024,0,0,4123,261
0.265,0.265,99.469,0,0,0,0,476894,122452506,0,0,4068,206
0,0.267,99.733,0,0,0,0,475092,122455542,0,0,4057,217
0.266,0.266,99.468,0,0,0,16384,476364,122452506,0,0,4061,223
0,0,100,0,0,0,0,479120,122449470,0,0,4059,268
0.266,0.266,99.468,0,0,0,0,478611,122454024,0,0,4047,216
3.351,1.289,95.361,0,0,0,0,381857,99864248,0,0,3540,683
3.158,0,96.842,0,0,0,0,480180,122452653,0,0,4136,276
0,0.270,99.730,0,0,0,0,478696,122450988,0,0,4050,219
0.536,0.804,98.660,0,0,0,45056,479438,122455652,0,0,4070,233
0.267,0.267,99.467,0,0,0,0,479838,122454024,0,0,4069,233
0.267,0,99.733,0,0,0,98304,481452,122450988,0,0,4088,211
0,0.531,99.469,0,0,0,0,474244,122455542,0,0,4050,213
0,0,99.733,0.267,0,0,0,474880,122452506,0,0,4045,208
0.266,0.266,99.468,0,0,0,0,472866,122455542,0,0,4070,227
0,0.532,99.468,0,0,0,12288,474456,122454024,0,0,4062,224
4.092,1.023,94.885,0,0,0,4382720,387924,99798457,0,0,3531,697
3.394,0.261,96.345,0,0,0,0,478060,122452506,0,0,4166,275
3.141,0.262,96.597,0,0,0,0,477742,122458578,0,0,4153,285
2.902,0,97.098,0,0,0,0,478484,122454024,0,0,4146,262
4.134,0.517,95.349,0,0,0,0,478342,122450988,0,0,4164,311
3.646,0.260,96.094,0,0,0,49152,474456,122450988,0,0,4232,288
3.141,0.262,96.597,0,0,0,0,480816,122455542,0,0,4188,276
3.403,0,96.597,0,0,0,0,479332,122452506,0,0,4146,270
2.887,0.262,96.850,0,0,0,0,480498,122454024,0,0,4143,266
3.394,0.261,96.345,0,0,0,0,479226,122457060,0,0,4148,282
2.604,1.562,95.833,0,0,0,24576,388438,99871837,0,0,3499,663
0.269,0.538,99.194,0,0,0,53248,479544,122454024,0,0,4060,223
0,0.270,99.730,0,0,0,0,475622,122450988,0,0,4051,219
0,0.267,99.733,0,0,0,0,474880,122454024,0,0,4045,206
0,0,100,0,0,0,0,474432,122455542,0,0,4066,229
0,0.532,99.468,0,0,0,0,474986,122452506,0,0,4081,228
0,0.267,99.733,0,0,0,0,474880,122454024,0,0,4056,223
0,0.267,99.733,0,0,0,12288,476364,122454024,0,0,4056,220
0.265,0.529,99.206,0,0,0,0,475304,122455542,0,0,4062,237
0.267,0,99.733,0,0,0,0,475940,122452506,0,0,4047,208
1.818,1.299,96.883,0,0,0,217088,390097,99968991,0,0,3508,658
0.539,0.270,99.191,0,0,0,0,474590,122452506,0,0,4071,233
0.538,0.269,99.194,0,0,0,0,478802,122450988,0,0,4065,241
0,0.532,99.468,0,0,0,49152,480816,122455542,0,0,4062,227
0.267,0,99.733,0,0,0,0,476976,122454024,0,0,4062,231
1.053,0.263,98.684,0,0,0,0,479862,122454024,0,0,4067,231
