"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/iperf3-1572270041-100-no-macsec-2928-dstat.csv",,,,"Date:","28 Oct 2019 15:17:12 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.228,0.062,99.647,0.064,0,6896.710,450314.520,0,0,0,0,1378.004,289.096
0.752,1.253,97.995,0,0,0,0,316411,115221571,0,0,4769,658
0.503,0,99.497,0,0,0,0,343490,123702540,0,0,5031,597
0.500,0.500,99,0,0,0,0,343560,123702540,0,0,5027,607
0.500,0.250,99.250,0,0,0,0,343630,123708432,0,0,5037,621
0.750,0.250,99,0,0,0,61440,343560,123702540,0,0,5030,599
0.500,0.500,99,0,0,0,0,344680,123702540,0,0,5029,592
0.251,0.251,99.499,0,0,0,0,339920,123708432,0,0,5044,649
0.500,0.500,99,0,0,0,0,344120,123705486,0,0,5034,609
0.501,0.251,99.248,0,0,0,0,338940,123702540,0,0,5028,599
0.500,0.250,99.250,0,0,0,12288,279510,123705486,0,0,5034,610
0.251,1.508,98.241,0,0,0,0,234209,101837194,0,0,4358,880
0.500,0.250,99.250,0,0,0,0,279440,123693702,0,0,5035,615
0.251,0.501,99.248,0,0,0,0,279510,123705486,0,0,5028,623
0.501,0,99.499,0,0,0,0,279580,123702540,0,0,5030,613
0.251,0.501,99.248,0,0,0,0,279510,123705486,0,0,5027,618
0.499,0.249,99.002,0.249,0,0,45056,279510,123705486,0,0,5039,631
0.750,0.250,99,0,0,0,499712,279510,123705486,0,0,5129,647
0.500,0.500,99,0,0,0,0,279510,123702540,0,0,5029,611
0.250,0.500,99.250,0,0,0,0,286860,123705486,0,0,5028,609
0.501,0.251,99.248,0,0,0,0,348670,123705486,0,0,5032,514
1.247,0.998,97.756,0,0,0,0,280119,101839367,0,0,4350,867
0.251,0.251,99.497,0,0,0,4681728,335160,123693702,0,0,5039,698
0.500,0.500,99,0,0,0,0,335300,123702540,0,0,5031,705
0.251,0.251,99.497,0,0,0,0,335300,123705486,0,0,5034,690
0.500,0.250,99.250,0,0,0,0,334530,123702540,0,0,5030,672
0.750,0.250,99,0,0,0,0,336000,123705486,0,0,5030,675
0.500,0.500,99,0,0,0,0,335580,123705486,0,0,5027,681
0.500,0.250,99.250,0,0,0,20480,334880,123705486,0,0,5036,712
0.251,0.251,99.497,0,0,0,0,334600,123702540,0,0,5031,679
0.501,0.251,99.248,0,0,0,0,335251,123705486,0,0,5031,696
1,1.250,97.750,0,0,0,0,281325,101783252,0,0,4356,905
0.498,0.498,98.756,0.249,0,0,28672,338030,123693702,0,0,5032,608
0.501,0.251,99.248,0,0,0,0,279510,123702540,0,0,5028,597
0.748,0.249,99.002,0,0,0,53248,281820,123705486,0,0,5034,616
0.251,0.251,99.497,0,0,0,0,345170,123702540,0,0,5029,602
0.500,0.500,99,0,0,0,0,346290,123705486,0,0,5032,617
0.748,0.249,99.002,0,0,0,0,346500,123705486,0,0,5030,629
0.501,0.251,99.248,0,0,0,0,346080,123705486,0,0,5029,600
0.251,0.501,99.248,0,0,0,0,346080,123702540,0,0,5028,606
0.501,0,99.499,0,0,0,12288,345520,123705486,0,0,5034,627
1,1.250,97.750,0,0,0,0,282780,101896433,0,0,4355,869
0.500,0.500,99,0,0,0,0,313740,123693793,0,0,5031,657
0.500,0.250,99.250,0,0,0,0,284690,123705486,0,0,5029,654
0.251,0.501,99.248,0,0,0,0,334600,123702540,0,0,5031,659
0.503,0,99.497,0,0,0,0,335020,123705486,0,0,5032,642
0.748,0.249,99.002,0,0,0,45056,333830,123702540,0,0,5031,649
0.500,0.500,99,0,0,0,0,334110,123705486,0,0,5028,651
0.251,0,99.749,0,0,0,0,333830,123705486,0,0,5029,645
0.251,0.501,99.248,0,0,0,0,332780,123705486,0,0,5029,645
0.501,0.251,99.248,0,0,0,0,333970,123702540,0,0,5026,645
0.500,1.500,98,0,0,0,0,276346,101812711,0,0,4353,902
0.501,0.251,99.248,0,0,0,319488,344890,123693702,0,0,5091,643
0.501,0.251,99.248,0,0,0,0,279510,123702540,0,0,5030,603
0.499,0.499,99.002,0,0,0,0,279510,123702540,0,0,5026,583
0.501,0.251,99.248,0,0,0,0,286230,123705486,0,0,5029,592
0.500,0.250,99.250,0,0,0,0,348040,123705486,0,0,5030,595
0.500,0.500,99,0,0,0,40960,347550,123705486,0,0,5036,606
0.500,0.250,99.250,0,0,0,0,348180,123702540,0,0,5027,585
0.500,0.250,99,0.250,0,0,0,347060,123705486,0,0,5031,599
0.500,0.500,99,0,0,0,0,348110,123705486,0,0,5030,593
