"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/iperf3-1572270041-100-orig-e-dstat.csv",,,,"Date:","28 Oct 2019 15:35:05 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.229,0.063,99.644,0.064,0,6875.278,448657.552,0,0,0,0,1393.472,292.673
1.036,1.295,97.668,0,0,0,0,432203,114889133,0,0,4160,352
0,0.262,99.475,0.262,0,0,61440,478176,122765718,0,0,4065,239
0.262,0.262,99.476,0,0,0,0,468078,122765718,0,0,4075,237
0,0.263,99.737,0,0,0,0,476340,122765718,0,0,4045,209
0,0,100,0,0,0,0,473982,122765718,0,0,4058,222
0,0.263,99.737,0,0,0,0,477564,122767232,0,0,4049,207
0,0,100,0,0,0,0,475626,122765718,0,0,4063,218
0.522,0.522,98.956,0,0,0,12288,476952,122767232,0,0,4062,229
0,0,100,0,0,0,0,473280,122765718,0,0,4052,220
0.261,0.522,99.217,0,0,0,0,474117,122767355,0,0,4075,236
2.051,1.282,96.667,0,0,0,0,378536,101063037,0,0,3541,707
0.262,0.262,99.475,0,0,0,0,475422,122767375,0,0,4069,230
0,0.262,99.738,0,0,0,0,472056,122767232,0,0,4067,226
1.039,0.260,98.442,0.260,0,0,45056,467568,122767232,0,0,4119,285
0,0,100,0,0,0,0,469518,122764204,0,0,4073,224
0.262,0.262,99.475,0,0,0,0,471240,122767338,0,0,4087,224
0.522,0.261,99.217,0,0,0,0,471648,122765718,0,0,4080,227
0,0.262,99.738,0,0,0,0,470424,122765718,0,0,4073,210
0.524,0.262,99.215,0,0,0,5353472,471750,122768746,0,0,4097,248
0.262,0.262,99.475,0,0,0,20480,471138,122765718,0,0,4072,236
1.042,1.562,97.396,0,0,0,0,377778,101137738,0,0,3485,688
0,0.267,99.733,0,0,0,0,457470,122765718,0,0,4057,209
0.262,0.262,99.475,0,0,0,0,459510,122764204,0,0,4059,226
0,0,100,0,0,0,290816,458388,122765718,0,0,4113,236
0.524,0.262,99.215,0,0,0,0,458898,122767232,0,0,4070,231
0.522,0.261,99.217,0,0,0,49152,457662,122765718,0,0,4066,220
0.262,0.262,99.476,0,0,0,0,459510,122765718,0,0,4070,225
0,0,100,0,0,0,0,456858,122765718,0,0,4048,207
0.779,0.519,98.701,0,0,0,57344,459000,122767232,0,0,4106,240
0.262,0.262,99.475,0,0,0,0,456450,122765718,0,0,4070,222
1.804,1.289,96.907,0,0,0,0,376714,100701809,0,0,3529,738
0.531,0.265,99.204,0,0,0,45056,455838,122767232,0,0,4076,236
0.264,0,99.736,0,0,0,0,457368,122765718,0,0,4061,225
0,0.262,99.738,0,0,0,36864,460326,122765718,0,0,4065,209
0.262,0.262,99.475,0,0,0,0,460326,122767232,0,0,4077,235
0,0.262,99.738,0,0,0,0,457184,122765718,0,0,4053,207
0.261,0.261,99.217,0.261,0,0,45056,460326,122765718,0,0,4076,242
0,0.263,99.737,0,0,0,0,458184,122767232,0,0,4050,206
0.262,0,99.738,0,0,0,0,459102,122765718,0,0,4064,223
0,0.263,99.737,0,0,0,0,458796,122768746,0,0,4062,220
1.292,1.292,97.416,0,0,0,0,377910,100984825,0,0,3664,717
0,0,100,0,0,0,0,464814,122770260,0,0,4068,214
0.262,0.524,99.215,0,0,0,45056,470832,122764204,0,0,4085,248
0.262,0.262,99.476,0,0,0,0,469302,122765718,0,0,4051,207
0.524,0.262,99.215,0,0,0,0,469710,122765718,0,0,4058,225
0,0.262,99.738,0,0,0,0,466332,122768746,0,0,4051,205
0,0.262,99.738,0,0,0,0,470322,122765718,0,0,4074,221
0.262,0.262,99.476,0,0,0,0,459816,122767232,0,0,4056,214
0.262,0.262,99.475,0,0,0,12288,463386,122767232,0,0,4072,242
0,0.524,99.476,0,0,0,0,462468,122765718,0,0,4069,228
0.522,0.261,99.217,0,0,0,0,410677,108831128,0,0,3661,610
0,1.309,98.691,0,0,0,0,436699,115044559,0,0,3865,279
0,0.263,99.737,0,0,0,0,466956,122765718,0,0,4059,227
0,0.262,99.738,0,0,0,0,465426,122767232,0,0,4051,213
0.522,0.522,98.956,0,0,0,45056,467364,122767232,0,0,4096,256
0.262,0,99.738,0,0,0,0,462252,122765718,0,0,4050,214
0.522,0.261,99.217,0,0,0,0,463794,122767232,0,0,4072,231
0.262,0.262,99.476,0,0,0,0,466242,122765718,0,0,4052,209
0.262,0.262,99.475,0,0,0,0,464202,122765718,0,0,4056,220
0,0.262,99.738,0,0,0,0,463896,122765718,0,0,4056,223
0.525,0,99.475,0,0,0,12288,465630,122768746,0,0,4076,243
0.785,1.571,97.644,0,0,0,0,371742,100689695,0,0,3486,699
0.531,0.265,99.204,0,0,0,0,459408,122762690,0,0,4070,234
0,0,100,0,0,0,0,456960,122768746,0,0,4058,211
0,0.262,99.738,0,0,0,266240,456858,122767232,0,0,4122,249
0,0.262,99.738,0,0,0,0,453072,122765718,0,0,4052,207
0.783,0.261,98.956,0,0,0,49152,449310,122765718,0,0,4095,246
0,0.262,99.738,0,0,0,0,457878,122767232,0,0,4059,219
0.262,0.262,99.476,0,0,0,0,460326,122765718,0,0,4060,227
0.262,0.262,99.475,0,0,0,0,463794,122767232,0,0,4069,226
0,0,100,0,0,0,0,454002,122765718,0,0,4060,229
0.781,1.562,97.656,0,0,0,0,377401,100756211,0,0,3497,704
0.266,0.266,99.202,0.266,0,0,249856,461958,122765718,0,0,4127,291
0.265,0.531,99.204,0,0,0,0,461979,122762813,0,0,4081,246
0.796,0.265,98.939,0,0,0,40960,462713,122768746,0,0,4084,239
0.266,0.266,99.468,0,0,0,0,462876,122767375,0,0,4073,231
0.794,0.265,98.942,0,0,0,0,459090,122765718,0,0,4074,237
0.266,0.266,99.468,0,0,0,0,462672,122765718,0,0,4058,212
0.262,0.262,99.475,0,0,0,20480,459000,122764204,0,0,4068,235
0,0.262,99.738,0,0,0,0,460836,122767232,0,0,4062,218
0,0.262,99.738,0,0,0,0,461856,122764204,0,0,4057,214
2.314,1.028,96.658,0,0,0,40960,374340,100963627,0,0,3733,750
3.351,0.258,96.392,0,0,0,0,463488,122765718,0,0,4183,282
1.832,0.262,97.906,0,0,0,0,463590,122768746,0,0,4120,256
0,0,100,0,0,0,0,464712,122762690,0,0,4053,220
0,0.263,99.737,0,0,0,0,463590,122767232,0,0,4043,202
0,0.524,99.476,0,0,0,45056,456910,122765718,0,0,4065,235
0.524,0,99.215,0.262,0,0,0,455022,122767232,0,0,4060,221
0,0.524,99.476,0,0,0,0,459714,122765824,0,0,4060,218
0,0,100,0,0,0,0,457164,122765718,0,0,4053,224
0.261,0.522,99.217,0,0,0,0,459306,122780858,0,0,4062,213
1.034,1.292,97.674,0,0,0,0,376826,101052439,0,0,3505,675
0.781,0.521,98.698,0,0,0,45056,454178,122779344,0,0,4094,249
0.781,0.260,98.958,0,0,0,0,455736,122759662,0,0,4069,227
0,0.263,99.737,0,0,0,0,459612,122764204,0,0,4066,217
0,0,100,0,0,0,0,459816,122765718,0,0,4067,221
0.522,0.522,98.956,0,0,0,0,460020,122768746,0,0,4080,227
0.262,0,99.738,0,0,0,20480,460428,122765718,0,0,4072,223
0.261,0.522,99.217,0,0,0,0,461346,122765718,0,0,4068,214
0,0.263,99.737,0,0,0,53248,462264,122755120,0,0,4100,239
0.783,0,99.217,0,0,0,0,460428,122777830,0,0,4090,235
0.521,0.521,98.958,0,0,0,0,410984,108847784,0,0,3661,606
0.781,1.042,98.177,0,0,0,0,428255,115055259,0,0,3902,280
0.263,0,99.737,0,0,0,53248,465324,122762690,0,0,4081,245
0,0.263,99.737,0,0,0,0,466242,122765718,0,0,4073,228
0,0.262,99.738,0,0,0,217088,466446,122765718,0,0,4113,226
0.262,0.262,99.476,0,0,0,0,465834,122765718,0,0,4065,208
0.262,0.262,99.475,0,0,0,0,456450,122765718,0,0,4071,233
0,0.262,99.738,0,0,0,0,457878,122767232,0,0,4059,217
0,0.525,99.475,0,0,0,16384,456552,122768746,0,0,4076,231
0,0.262,99.738,0,0,0,0,453186,122750578,0,0,4051,210
0,0.262,99.738,0,0,0,0,459102,122786914,0,0,4065,225
2.792,1.269,95.939,0,0,0,0,371150,100993908,0,0,3844,762
0.262,0.262,99.475,0,0,0,0,459306,122774802,0,0,4060,209
0.262,0.262,99.476,0,0,0,0,457980,122765718,0,0,4057,216
0,0.262,99.475,0.262,0,0,81920,457776,122767232,0,0,4087,251
0.262,0.262,99.476,0,0,0,0,456336,122764204,0,0,4059,215
0,0,100,0,0,0,0,457674,122765718,0,0,4060,216
0,0.525,99.475,0,0,0,0,455022,122767232,0,0,4054,203
0,0.262,99.738,0,0,0,0,457470,122753606,0,0,4074,228
0,0.262,99.738,0,0,0,20480,456858,122786914,0,0,4062,228
0.262,0.262,99.475,0,0,0,0,456246,122759662,0,0,4062,223
0.519,1.299,98.182,0,0,0,0,370392,100875818,0,0,3487,680
0,0.262,99.738,0,0,0,0,458592,122765718,0,0,4065,222
0.262,0.262,99.475,0,0,0,0,458898,122764204,0,0,4063,228
0,0.262,99.738,0,0,0,0,459714,122770260,0,0,4052,210
0,0.263,99.737,0,0,0,45056,455316,122765718,0,0,4064,220
0,0.262,99.738,0,0,0,0,461040,122764204,0,0,4068,228
0.262,0.262,99.476,0,0,0,0,460122,122768746,0,0,4060,213
0,0.525,99.475,0,0,0,0,460938,122764204,0,0,4065,213
0.262,0.262,99.476,0,0,0,4096,460326,122767232,0,0,4058,214
0,0.263,99.737,0,0,0,0,460938,122764204,0,0,4073,223
1.542,1.542,96.915,0,0,0,12288,382514,100985662,0,0,3780,731
0.525,0,99.475,0,0,0,0,461652,122709700,0,0,4076,268
0.262,0,99.738,0,0,0,0,465324,122765718,0,0,4058,221
0,0.262,99.738,0,0,0,16384,467262,122768746,0,0,4063,223
0,0.263,99.737,0,0,0,0,465630,122774802,0,0,4064,219
