"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/iperf3-1572270041-100-orig-jumbo-dstat.csv",,,,"Date:","28 Oct 2019 16:10:34 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.233,0.066,99.638,0.063,0,6821.258,445351.646,0,0,0,0,1417.532,296.933
9.726,1.496,88.778,0,0,0,1622016,3782375,114539557,0,0,68391,602
10,0.250,89.750,0,0,0,0,4030673,122498050,0,0,72091,428
11.765,0.245,87.990,0,0,0,0,4030530,122498050,0,0,72619,456
11.111,0.247,88.642,0,0,0,0,4030734,122499600,0,0,72685,436
10.174,0.496,89.330,0,0,0,0,4030734,122501150,0,0,72780,432
9.824,0,90.176,0,0,0,192512,4030938,122499600,0,0,72725,418
11.491,0.489,88.020,0,0,0,0,4030632,122499600,0,0,72684,451
10.918,0,89.082,0,0,0,0,4030734,122499600,0,0,72496,425
10.864,0.494,88.642,0,0,0,0,4030530,122499600,0,0,72338,446
10.474,0,89.526,0,0,0,0,4031040,122499600,0,0,72468,414
9.181,1.489,88.586,0.744,0,0,18911232,3344088,100427038,0,0,59914,867
11.358,0,88.642,0,0,0,0,4030530,122498050,0,0,72498,452
11.548,0.246,88.206,0,0,0,0,4030938,122499600,0,0,72512,467
11.520,0.245,88.235,0,0,0,0,4030938,122499600,0,0,72537,448
10.670,0.248,89.082,0,0,0,0,4030836,122499600,0,0,72464,421
10,0.250,89.750,0,0,0,0,4030632,122496500,0,0,72288,415
10.891,0.248,88.861,0,0,0,57344,4030836,122501150,0,0,72763,461
11.302,0.491,88.206,0,0,0,0,4030632,122498050,0,0,72867,439
10.891,0.248,88.861,0,0,0,0,4031142,122502700,0,0,72181,436
9.774,0.251,89.975,0,0,0,0,4030836,122501150,0,0,72658,404
9.406,1.238,89.356,0,0,0,0,3317743,99569888,0,0,59223,857
10.891,0.248,88.861,0,0,0,0,4030938,122499600,0,0,73021,440
10.422,0.496,89.082,0,0,0,45056,4030734,122498050,0,0,73011,448
10.224,0.249,89.526,0,0,0,0,4030836,122499600,0,0,72825,418
10.224,0.249,89.526,0,0,0,0,4030836,122501150,0,0,73145,431
9.091,0.253,90.657,0,0,0,0,4030938,122499600,0,0,73306,388
10.891,0.248,88.861,0,0,0,0,4030938,122499600,0,0,73436,444
10.891,0.248,88.861,0,0,0,0,4030734,122496500,0,0,73280,429
10.474,0.249,89.277,0,0,0,12288,4030836,122501150,0,0,72983,449
11.111,0.247,88.642,0,0,0,0,4030836,122498050,0,0,72961,438
7.576,1.263,91.162,0,0,0,245760,3350994,100585139,0,0,60148,814
10.448,0.249,89.303,0,0,0,0,4030959,122499723,0,0,72812,446
10.422,0.496,89.082,0,0,0,0,4030530,122501256,0,0,72596,454
9.572,0,90.428,0,0,0,0,4030979,122499600,0,0,71888,416
9.750,0.500,89.750,0,0,0,57344,4030734,122499600,0,0,72037,421
9.343,0,90.657,0,0,0,0,4030632,122499600,0,0,71808,401
10.864,0.247,88.889,0,0,0,0,4030530,122501150,0,0,71931,443
10.448,0.249,89.303,0,0,0,0,4030632,122498050,0,0,71873,421
10,0.250,89.750,0,0,0,0,4030632,122499600,0,0,71891,408
10,0.250,89.750,0,0,0,0,4030122,122496500,0,0,72313,413
8.933,1.489,89.578,0,0,0,40960,3343167,100396038,0,0,59791,852
10.891,0.248,88.861,0,0,0,0,4030632,122501150,0,0,72919,444
9.774,0.251,89.975,0,0,0,0,4030836,122501150,0,0,72682,415
9.750,0.500,89.750,0,0,0,0,4030734,122498050,0,0,72595,406
