"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/iperf3-1572270041-100-orig-jumbo-without-encryption-1500-dstat.csv",,,,"Date:","28 Oct 2019 16:28:07 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.270,0.067,99.600,0.063,0,6794.827,443767.795,0,0,0,0,1681.031,299.743
9.296,1.005,89.698,0,0,0,0,3765280,114006480,0,0,65240,481
9.091,0.505,90.404,0,0,0,0,4030530,122498193,0,0,69733,431
10.025,0,89.975,0,0,0,16384,4030530,122499600,0,0,69965,418
9.343,0.253,90.404,0,0,0,0,4030530,122499600,0,0,69938,401
9.296,0.503,90.201,0,0,0,0,4030326,122498050,0,0,70077,395
9.572,0.252,90.176,0,0,0,81920,4030632,122501150,0,0,69933,418
10,0.500,89.500,0,0,0,0,4030632,122499600,0,0,70036,413
9.114,0.253,90.633,0,0,0,4096,4030530,122501150,0,0,70443,417
10.670,0.248,89.082,0,0,0,0,4030836,122498050,0,0,70262,442
9.824,0,90.176,0,0,0,0,4030734,122502700,0,0,70072,409
8.728,1.247,90.025,0,0,0,0,3332317,100180588,0,0,57512,746
10.025,0.251,89.724,0,0,0,53248,4030428,122498050,0,0,69837,430
11.358,0.247,87.654,0.741,0,0,18890752,4030836,122501150,0,0,70825,459
10.250,0.250,89.500,0,0,0,0,4030632,122496500,0,0,71417,428
10.918,0.248,88.834,0,0,0,0,4030836,122499600,0,0,71253,447
11.139,0.248,88.614,0,0,0,0,4030326,122498050,0,0,70983,453
10.025,0.251,89.724,0,0,0,0,4030224,122501150,0,0,71381,419
10,0.250,89.750,0,0,0,32768,4030836,122499600,0,0,71091,425
10.224,0.499,89.277,0,0,0,0,4030734,122499600,0,0,71344,442
10.474,0.249,89.277,0,0,0,0,4030938,122502700,0,0,71203,422
9.204,1.244,89.552,0,0,0,0,3338305,100301489,0,0,58797,751
10.500,0,89.500,0,0,0,0,4030734,122498050,0,0,70676,427
10.697,0.249,89.055,0,0,0,352256,4030632,122501150,0,0,70651,474
10.670,0.248,88.834,0.248,0,0,49152,4030632,122499600,0,0,70914,446
10.697,0.249,89.055,0,0,0,0,4027776,122499600,0,0,70579,425
10.448,0.249,89.303,0,0,0,0,4031040,122499600,0,0,70371,427
11.139,0.248,88.614,0,0,0,0,4030428,122498050,0,0,70152,431
10.250,0.250,89.500,0,0,0,81920,4030632,122502700,0,0,70542,428
11.084,0.493,88.424,0,0,0,0,4031040,122498050,0,0,70101,451
11.166,0,88.834,0,0,0,12288,4031142,122501150,0,0,70527,458
8.728,1.496,89.776,0,0,0,0,3328267,99948193,0,0,58062,739
10.918,0.248,88.834,0,0,0,0,4030755,122499600,0,0,70439,443
10.250,0.250,89.500,0,0,0,0,4030775,122499723,0,0,70397,435
10.474,0.249,89.277,0,0,0,36864,4030938,122502843,0,0,70481,445
