"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/iperf3-1572270041-100-orig-we-dstat.csv",,,,"Date:","28 Oct 2019 15:53:00 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.230,0.065,99.642,0.063,0,6847.921,447007.562,0,0,0,0,1405.437,294.788
0.783,1.305,97.911,0,0,0,0,423569,114450073,0,0,3987,327
0.524,0.524,98.953,0,0,0,0,461142,122765718,0,0,4064,231
0.263,0.263,99.474,0,0,0,4096,461448,122767232,0,0,4056,212
0,0.265,99.735,0,0,0,0,459714,122767232,0,0,4056,213
0.263,0.263,99.474,0,0,0,61440,459816,122765718,0,0,4088,241
0.524,0.524,98.953,0,0,0,0,462570,122767232,0,0,4080,227
0,0.264,99.736,0,0,0,0,461754,122765718,0,0,4051,209
0,0.265,99.735,0,0,0,368640,461448,122767232,0,0,4139,248
0,0,100,0,0,0,0,461448,122765718,0,0,4052,205
0.524,0.524,98.953,0,0,0,0,461775,122767232,0,0,4068,230
0.777,1.813,97.150,0.259,0,0,16384,366459,100065951,0,0,3475,677
0.264,0,99.736,0,0,0,0,458592,122768889,0,0,4058,221
0,0.264,99.736,0,0,0,0,458082,122767232,0,0,4053,217
0,0,100,0,0,0,0,458796,122765718,0,0,4055,216
0.262,0.525,99.213,0,0,0,0,454614,122768746,0,0,4056,222
0.526,0,99.474,0,0,0,45056,460428,122764204,0,0,4070,238
0.525,0.262,99.213,0,0,0,0,458286,122767232,0,0,4052,216
0,0.264,99.736,0,0,0,5394432,458796,122768746,0,0,4064,225
0.263,0.263,99.474,0,0,0,0,458286,122764204,0,0,4068,210
0.264,0.264,99.472,0,0,0,0,459816,122767232,0,0,4061,218
0.787,1.312,97.900,0,0,0,0,376166,100063797,0,0,3427,634
0.533,0.267,99.200,0,0,0,49152,462672,122768746,0,0,4068,238
0.268,0,99.732,0,0,0,0,462978,122765718,0,0,4055,224
1.583,0.264,98.153,0,0,0,0,463794,122765718,0,0,4101,243
3.117,0.260,96.623,0,0,0,0,461354,122770260,0,0,4155,283
3.368,0,96.632,0,0,0,0,461142,122762690,0,0,4216,282
3.608,0.258,96.134,0,0,0,0,461244,122770260,0,0,4198,275
3.627,0,96.373,0,0,0,12288,462774,122764204,0,0,4187,297
2.604,0.260,97.135,0,0,0,0,461856,122768746,0,0,4146,261
3.618,0.258,96.124,0,0,0,0,462060,122765718,0,0,4155,278
1.823,1.042,97.135,0,0,0,0,373940,100062800,0,0,3564,674
0,0,100,0,0,0,0,460224,122765718,0,0,4047,211
0.525,0.262,99.213,0,0,0,0,465528,122767232,0,0,4066,227
1.562,0.521,97.656,0.260,0,0,110592,464508,122771774,0,0,4142,577
0.535,0,99.465,0,0,0,0,462660,122765718,0,0,4084,235
0.533,0.267,99.200,0,0,0,0,467772,122765718,0,0,4075,230
0,0.268,99.732,0,0,0,0,467058,122765718,0,0,4051,212
0.533,0.267,99.200,0,0,0,0,465222,122765718,0,0,4066,220
0.267,0.267,99.465,0,0,0,0,465426,122767232,0,0,4051,215
0.533,0.267,99.200,0,0,0,24576,466446,122767232,0,0,4075,234
0.265,1.587,98.148,0,0,0,0,379874,100156150,0,0,3427,606
0,0.264,99.736,0,0,0,0,457534,122767232,0,0,4082,228
0.262,0.525,99.213,0,0,0,0,466854,122765718,0,0,4054,219
0.263,0.263,99.211,0.263,0,0,950272,466956,122767232,0,0,4235,285
0.265,0,99.735,0,0,0,0,464406,122767232,0,0,4119,296
0.263,0.263,99.474,0,0,0,57344,463374,122767232,0,0,4106,247
0.263,0.263,99.474,0,0,0,0,458286,122767232,0,0,4066,220
0.263,0.263,99.474,0,0,0,0,467160,122764204,0,0,4061,227
0.263,0.263,99.474,0,0,0,0,460938,122767232,0,0,4054,221
0,0.265,99.735,0,0,0,0,467568,122767232,0,0,4057,227
0.522,0.261,99.217,0,0,0,0,431831,113208546,0,0,3752,204
0.525,1.312,98.163,0,0,0,12288,409334,109710293,0,0,3765,652
0,0,100,0,0,0,0,464202,122765824,0,0,4068,216
2.571,0.257,97.172,0,0,0,0,461754,122765718,0,0,4167,272
2.326,0,97.674,0,0,0,0,460224,122764204,0,0,4155,263
3.069,0.256,96.675,0,0,0,0,457854,122767232,0,0,4214,276
3.077,0,96.923,0,0,0,45056,459408,122765718,0,0,4248,289
2.821,0.256,96.923,0,0,0,0,458592,122767232,0,0,4183,271
2.067,0.258,97.674,0,0,0,245760,462672,122765718,0,0,4190,268
2.326,0,97.674,0,0,0,0,460326,122767232,0,0,4162,256
1.818,0.260,97.922,0,0,0,0,460632,122765718,0,0,4150,256
1.047,1.309,97.644,0,0,0,0,372938,100050687,0,0,3454,639
0.533,0.267,99.200,0,0,0,65536,461346,122768746,0,0,4095,227
0,0.269,99.731,0,0,0,0,463488,122765718,0,0,4056,220
0,0.532,99.468,0,0,0,0,464202,122764204,0,0,4060,225
0.263,0,99.474,0.263,0,0,0,460212,122767232,0,0,4054,223
0.525,0.262,99.213,0,0,0,0,464304,122765718,0,0,4056,220
0,0.265,99.735,0,0,0,0,464508,122767232,0,0,4055,222
0.263,0.263,99.474,0,0,0,12288,464610,122767232,0,0,4064,224
0.264,0.264,99.472,0,0,0,0,465324,122765718,0,0,4054,220
0.263,0.263,99.474,0,0,0,0,464202,122767232,0,0,4057,212
0.783,1.044,98.172,0,0,0,0,376545,100125971,0,0,3435,631
0,0,100,0,0,0,0,462060,122764204,0,0,4059,214
0.263,0.263,99.474,0,0,0,0,461265,122767232,0,0,4061,234
0,0.264,99.736,0,0,0,45056,459041,122767355,0,0,4080,246
0.264,0.264,99.472,0,0,0,0,458478,122767375,0,0,4056,227
