"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-macsec-aegis128l-e-1500-1500-dstat.csv",,,,"Date:","28 Oct 2019 22:06:16 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.645,0.091,99.204,0.059,0,6322.739,415451.871,0,0,0,0,3494.200,342.211
0.758,1.010,98.232,0,0,0,0,1137120,1137120,0,0,14580,14271
1.010,1.010,97.980,0,0,0,0,1137280,1137440,0,0,14544,14260
0.506,1.013,98.481,0,0,0,0,1137440,1137280,0,0,14559,14265
0.761,0.508,98.731,0,0,0,0,1137600,1137710,0,0,14596,14274
0.255,0.765,98.980,0,0,0,102400,1137440,1137600,0,0,14563,14290
0.506,1.013,98.481,0,0,0,0,1138289,1138162,0,0,14583,14268
1.263,0.758,97.980,0,0,0,0,1134400,1134240,0,0,14510,14243
0.756,1.511,97.733,0,0,0,0,2010643,2010496,0,0,14521,14157
0.254,1.018,98.728,0,0,0,0,2039616,2039616,0,0,14510,14211
1.008,1.008,97.985,0,0,0,49152,2040480,2040768,0,0,14577,14255
0.759,1.013,98.228,0,0,0,0,2036160,2036160,0,0,14496,14203
0.758,1.263,97.980,0,0,0,0,2040768,2040480,0,0,14508,14211
0.508,1.015,98.477,0,0,0,0,2040768,2040768,0,0,14558,14224
1.008,1.008,97.985,0,0,0,0,2040480,2040768,0,0,14538,14203
0.759,1.266,97.975,0,0,0,24576,3654880,3655136,0,0,14453,14122
0.759,1.013,98.228,0,0,0,0,3836832,3836832,0,0,14447,14140
0.508,1.015,98.477,0,0,0,0,3837376,3836832,0,0,14435,14160
0.758,1.263,97.980,0,0,0,0,3837920,3838464,0,0,14429,14142
1.005,1.508,97.487,0,0,0,0,3833024,3833134,0,0,14439,14155
1.010,0.758,97.980,0.253,0,0,131072,3841184,3841184,0,0,14526,14189
0.761,0.761,98.477,0,0,0,0,3841184,3840640,0,0,14509,14181
4.556,2.638,92.806,0,0,0,0,6705791,6705664,0,0,14472,14105
6.178,5.034,88.787,0,0,0,0,7392000,7393056,0,0,14463,14135
6.221,4.608,89.171,0,0,0,0,7388979,7388832,0,0,14443,14123
3.931,0.737,95.332,0,0,0,24576,7385664,7384608,0,0,14391,14137
6.921,0.716,92.363,0,0,0,4096,7386720,7386720,0,0,14455,14190
1.763,0.756,97.481,0,0,0,0,7339200,7340256,0,0,14254,13993
0.767,0.256,98.977,0,0,0,0,7389888,7388832,0,0,14357,14039
0.509,1.018,98.473,0,0,0,0,8951840,8951840,0,0,14210,13848
0.509,1.018,98.473,0,0,0,24576,9833626,9833626,0,0,14081,13797
0.761,0.761,97.208,1.269,0,0,13619200,9601560,9601560,0,0,13881,13509
0.506,1.266,98.228,0,0,0,0,9852160,9852160,0,0,14096,13797
1.015,0.761,98.223,0,0,0,0,9833544,9833544,0,0,14079,13778
0.506,1.266,98.228,0,0,0,0,9867912,9867912,0,0,14109,13818
1.266,0.759,97.975,0,0,0,40960,9832112,9833544,0,0,14116,13816
0.761,1.015,98.223,0,0,0,0,9931998,9932084,0,0,14078,13701
1.010,1.263,97.727,0,0,0,0,10282932,10281414,0,0,13876,13599
0.506,1.266,98.228,0,0,0,0,10337580,10339098,0,0,13955,13676
0.761,1.015,98.223,0,0,0,0,10316328,10316328,0,0,13924,13651
0.510,0.765,98.724,0,0,0,24576,10301148,10299630,0,0,13920,13632
0.506,1.266,98.228,0,0,0,8192,10366422,10367940,0,0,14004,13698
0.509,1.018,98.473,0,0,0,0,10248018,10248018,0,0,13845,13552
0.253,1.515,97.980,0.253,0,0,0,10340616,10339098,0,0,13974,13686
