"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-macsec-aegis128l-e-frag-1500-dstat.csv",,,,"Date:","28 Oct 2019 18:49:54 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.463,0.077,99.398,0.061,0,6588.576,431364.906,0,0,0,0,2528.107,317.141
1.010,1.010,97.980,0,0,0,45056,1134560,1134400,0,0,14577,14275
1.003,1.504,97.494,0,0,0,0,1134080,1134080,0,0,14563,14226
0.504,1.763,97.733,0,0,0,0,1133760,1133920,0,0,14589,14236
1.508,1.005,97.487,0,0,0,0,1133760,1133760,0,0,14588,14219
0.759,0.759,98.481,0,0,0,0,1133920,1133920,0,0,14564,14225
0.506,1.266,98.228,0,0,0,12288,1134609,1134592,0,0,14555,14250
0.759,1.013,98.228,0,0,0,4096,1134880,1134720,0,0,14539,14242
1.005,1.508,97.487,0,0,0,0,1994163,1994163,0,0,14591,14173
0.256,0.256,99.487,0,0,0,0,2039328,2039328,0,0,14497,14210
0.761,0.761,98.477,0,0,0,0,2038752,2039040,0,0,14519,14223
0.509,0.763,98.728,0,0,0,24576,2038752,2038464,0,0,14529,14223
1.010,1.010,97.727,0.253,0,0,0,2037600,2037888,0,0,14527,14244
1.515,1.010,97.475,0,0,0,28672,2039328,2039040,0,0,14554,14243
0.763,0.509,98.728,0,0,0,0,2037888,2038176,0,0,14515,14211
1.018,0.509,98.473,0,0,0,0,3607360,3607072,0,0,14423,14078
0.756,1.511,97.733,0,0,0,458752,3837376,3837376,0,0,14572,14213
0.508,1.015,98.477,0,0,0,0,3837920,3837920,0,0,14440,14150
0.509,0.763,98.728,0,0,0,0,3838464,3839008,0,0,14434,14158
1.013,0.759,98.228,0,0,0,0,3839008,3838464,0,0,14431,14156
0.759,1.013,98.228,0,0,0,0,3838464,3839008,0,0,14484,14162
0.505,1.515,97.980,0,0,0,12288,3838464,3837920,0,0,14497,14173
2.743,0.998,96.259,0,0,0,24576,6597055,6597984,0,0,14414,14038
3.902,1.463,94.634,0,0,0,192512,7392000,7392110,0,0,14478,14162
8.392,1.399,90.210,0,0,0,0,7393203,7393203,0,0,14502,14202
7.494,1.639,90.867,0,0,0,0,7392000,7392000,0,0,14493,14245
7.820,0.237,91.706,0.237,0,0,0,7392000,7392000,0,0,14466,14199
3.474,0.496,96.030,0,0,0,45056,7382496,7382496,0,0,14425,14094
1.015,0.508,98.477,0,0,0,4096,7387776,7387776,0,0,14394,14080
1.519,0.506,97.975,0,0,0,0,8901080,8900024,0,0,14222,13860
1.013,1.013,97.975,0,0,0,0,9856538,9856538,0,0,14120,13819
0.754,1.759,97.487,0,0,0,0,9806336,9807768,0,0,14040,13755
1.010,1.263,97.727,0,0,0,32768,9850728,9849296,0,0,14121,13813
0.759,1.013,97.722,0.506,0,0,14372864,9625904,9625904,0,0,13804,13507
0.253,1.772,97.975,0,0,0,0,9852160,9853592,0,0,14125,13804
1.013,1.013,97.975,0,0,0,0,9817792,9816360,0,0,14024,13760
0.761,1.015,98.223,0,0,0,0,9875760,9877278,0,0,13977,13631
1.010,1.263,97.727,0,0,0,40960,10276860,10276860,0,0,13896,13601
1.253,1.504,97.243,0,0,0,0,10317846,10317846,0,0,13956,13648
1.018,0.509,98.473,0,0,0,0,10320882,10320882,0,0,13927,13649
1.008,1.259,97.733,0,0,0,0,10295076,10295076,0,0,13896,13603
1.013,1.013,97.975,0,0,0,0,10355796,10354278,0,0,13977,13697
1.005,1.256,97.487,0.251,0,0,12288,10231320,10232838,0,0,13835,13541
0.765,0.510,98.724,0,0,0,0,10367940,10366422,0,0,13995,13708
