"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-macsec-aes-gcm-e-jumbo-MACsec-Ethernet-9000-dstat.csv",,,,"Date:","28 Oct 2019 20:55:22 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.594,0.086,99.260,0.060,0,6416.200,421075.337,0,0,0,0,3100.427,334.225
3.750,1.750,94.500,0,0,0,49152,2193600,2193440,0,0,28470,27529
2.273,2.273,95.455,0,0,0,0,2193760,2193760,0,0,28461,27485
2.764,2.261,94.975,0,0,0,0,2195040,2195040,0,0,28478,27535
3.266,2.513,94.221,0,0,0,0,3092640,3092640,0,0,30238,29243
3.518,2.764,93.719,0,0,0,0,4675968,4676256,0,0,33515,32540
4.271,2.010,93.719,0,0,0,24576,4691441,4691424,0,0,33626,32658
4.010,2.757,93.233,0,0,0,0,5793184,5793440,0,0,33260,32281
5.707,1.489,92.804,0,0,0,0,8648115,8647424,0,0,32840,31926
3.526,2.519,93.955,0,0,0,0,8587584,8588128,0,0,32611,31661
4.703,2.970,92.327,0,0,0,0,9279520,9280032,0,0,32049,31102
3.509,2.506,93.734,0.251,0,0,24576,14586528,14586528,0,0,28671,27727
3.283,2.273,94.444,0,0,0,0,14702688,14701632,0,0,28886,27939
4.010,2.256,93.734,0,0,0,0,14828352,14829408,0,0,29122,28175
4.229,2.488,93.284,0,0,0,0,16396088,16396464,0,0,27460,26482
3.474,3.474,93.052,0,0,0,110592,18053224,18053224,0,0,26277,25313
3.509,2.506,93.985,0,0,0,24576,18073272,18071840,0,0,26282,25342
3.970,2.978,93.052,0,0,0,0,18051792,18053224,0,0,26256,25298
3.258,2.506,94.236,0,0,0,0,18287330,18287416,0,0,25855,24853
4.218,2.730,93.052,0,0,0,0,18590946,18589428,0,0,25536,24577
4.444,2.716,92.840,0,0,0,36864,18472542,18472542,0,0,25380,24419
4.208,2.723,93.069,0,0,0,49152,18546924,18546924,0,0,25484,24556
