"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-macsec-aes-gcm-we-jumbo-Ethernet-9000-dstat.csv",,,,"Date:","28 Oct 2019 20:37:49 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.559,0.085,99.296,0.060,0,6439.766,422486.907,0,0,0,0,2865.656,331.861
2.532,1.772,95.696,0,0,0,32768,2203360,2203360,0,0,28594,27623
3.015,2.010,94.975,0,0,0,0,2202400,2202400,0,0,28571,27576
2.778,1.768,95.455,0,0,0,0,2202240,2202080,0,0,28566,27593
3.970,2.730,93.300,0,0,0,0,3150816,3150816,0,0,30495,29491
3.741,3.242,93.017,0,0,0,45056,4671360,4671470,0,0,33488,32552
4.020,2.010,93.970,0,0,0,0,4657169,4657042,0,0,33386,32430
3.483,3.731,92.537,0.249,0,0,6852608,5746880,5747424,0,0,33193,32057
4.020,2.261,93.719,0,0,0,0,8564736,8564339,0,0,32533,31561
4.715,2.730,92.556,0,0,0,0,8476064,8476608,0,0,32203,31227
4.293,1.768,93.939,0,0,0,73728,9162784,9162240,0,0,32181,31181
4.239,2.494,93.267,0,0,0,0,14778720,14779776,0,0,29034,28059
3.741,2.494,93.516,0.249,0,0,0,14798784,14798784,0,0,29067,28101
4,2.500,93.500,0,0,0,0,14854752,14854752,0,0,29172,28196
3.258,3.008,93.734,0,0,0,0,16120464,16120840,0,0,27071,26054
3.250,2.750,94,0,0,0,24576,17748208,17746776,0,0,25836,24872
3.250,2.750,94,0,0,0,0,17550592,17550592,0,0,25551,24578
2.278,2.532,95.190,0,0,0,0,17478992,17478992,0,0,25451,24490
3.008,2.757,94.236,0,0,0,0,17628172,17628172,0,0,25116,24092
3.258,2.256,94.486,0,0,0,0,18241806,18241806,0,0,25077,24117
3.990,2.244,93.766,0,0,0,24576,18205374,18205374,0,0,25032,24069
3.266,2.010,94.724,0,0,0,0,18143136,18144764,0,0,24948,23968
